,perc_error_2020-11-09_2021-01-02,perc_error_2020-11-16_2021-01-02,perc_error_2020-11-23_2021-01-02,perc_error_2020-11-30_2021-01-02,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-02,perc_error_2020-12-21_2021-01-02,perc_error_2020-12-28_2021-01-02
UCF-AEM,,-0.320,-0.031,-0.180,0.009,0.111,0.072,-0.069
LANL-GrowthRate,,,-0.169,-0.199,-0.003,0.102,-0.041,-0.072
IowaStateLW-STEM,-0.551,-0.254,-0.068,-0.169,-0.091,0.092,0.119,-0.008
Covid19Sim-Simulator,-0.074,,0.004,-0.186,0.069,0.136,0.117,-0.021
QJHong-Encounter,,,,0.011,-0.050,0.077,0.091,-0.000
COVIDhub-baseline,-0.450,-0.254,-0.148,-0.206,-0.081,0.031,0.086,-0.087
UCLA-SuEIR,-0.253,0.028,0.281,-0.292,0.019,-0.007,0.028,-0.126
IBF-TimeSeries,-0.391,-0.206,-0.117,-0.201,0.004,0.136,0.057,-0.232
CU-select,,,-0.172,-0.283,0.054,0.082,0.027,-0.164
USC-SI_kJalpha,-0.613,-0.625,-0.314,-0.410,0.020,0.174,0.108,-0.022
JHUAPL-Bucky,-0.274,0.966,0.838,0.064,0.037,0.300,0.205,-0.026
CEID-Walk,,,,,-0.078,0.035,0.073,-0.103
TTU-squider,,,,,-0.236,-0.029,0.086,0.050
LNQ-ens1,,,,,-0.037,0.056,0.093,-0.143
COVIDhub-ensemble,,,,,0.052,0.144,0.115,-0.024
Microsoft-DeepSTIA,,,,,-0.019,0.083,0.158,-0.137
OneQuietNight-ML,,,0.495,0.317,0.469,0.259,0.126,-0.019
IEM_MED-CovidProject,,,,,0.157,0.223,0.145,0.007
JHU_IDD-CovidSP,,,-0.215,-0.257,-0.266,-0.218,-0.166,-0.276
JCB-PRM,-0.558,0.033,0.300,0.261,0.172,0.269,0.329,0.153
Columbia_UNC-SurvCon,1.192,2.631,0.940,-0.489,0.319,0.178,0.454,0.010
BPagano-RtDriven,-0.248,0.056,,,0.135,0.247,0.189,0.100
MSRA-DeepST,,,,,-0.038,,,
CovidAnalytics-DELPHI,,-0.313,0.508,0.364,0.284,0.277,0.131,0.185
UMich-RidgeTfReg,,,,,0.104,0.261,0.185,-0.137
IQVIA_ACOE-STAN,,,,,,0.036,,
OliverWyman-Navigator,,,,,,0.177,0.251,0.046
Karlen-pypm,,,,0.186,0.256,0.368,0.334,0.250
USACE-ERDC_SEIR,,-0.423,-0.481,-0.550,,,,
UChicagoCHATTOPADHYAY-UnIT,,,,,,,-0.041,
DDS-NBDS,,,,,0.387,0.088,0.204,1.463
RobertWalraven-ESG,,,,,0.293,0.293,0.207,-0.115
JHU_CSSE-DECOM,,,,,-0.118,,,-0.112
Geneva-DetGrowth,,,,,,,,-0.026
UVA-Ensemble,,,,,0.107,0.382,0.532,0.223
