,mean_abs_error_2020-09-21_2020-11-14,mean_abs_error_2020-09-28_2020-11-14,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-14,mean_abs_error_2020-10-19_2020-11-14,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-09-21_2020-11-14,mean_sq_abs_error_2020-09-28_2020-11-14,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-14,mean_sq_abs_error_2020-10-19_2020-11-14,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-14
CU-select,,,723.4,523.4,406.2,336.1,218.1,89.4,,,17166045.4,2668133.8,1617999.8,1329445.0,492970.0,46108.2
COVIDhub-baseline,732.7,698.4,617.4,530.2,435.1,342.9,246.3,102.3,5648377.5,7508075.1,4366138.2,3389587.2,2215438.9,1261022.9,715934.6,86038.2
LNQ-ens1,,,,,423.4,299.2,200.6,71.9,,,,,1803604.4,796886.3,256258.3,46931.2
IowaStateLW-STEM,817.1,758.5,699.5,623.6,527.9,367.1,253.1,122.1,8424138.3,7604504.0,6068837.1,5028996.3,3590535.7,1625181.3,755852.0,140330.2
USC-SI_kJalpha,914.5,836.1,710.7,604.2,491.8,417.9,277.3,132.5,8657705.7,7360269.3,5295018.5,4141366.1,2761546.2,2284431.2,700949.8,182187.2
JHUAPL-Bucky,,,690.1,619.6,531.0,420.8,281.3,121.5,,,5827119.8,4709601.3,3479420.7,2249863.5,922199.6,183733.8
OliverWyman-Navigator,,,,,,282.8,208.6,81.1,,,,,,828495.2,549465.3,54919.5
CEID-Walk,,,,,434.8,343.9,246.9,102.1,,,,,2243850.6,1276983.3,713995.5,86019.0
COVIDhub-ensemble,,,,,484.9,362.5,235.7,99.6,,,,,2700565.4,1409935.1,606947.3,88333.7
LANL-GrowthRate,,892.7,818.1,692.3,581.3,433.0,200.8,83.7,,7320549.5,6299624.1,4579136.4,3217395.9,1690527.1,264886.5,56790.0
JHU_IDD-CovidSP,,,659.3,630.9,541.8,482.3,388.3,,,,5994316.3,5380691.2,3949657.5,2967103.2,1749225.7,
UCLA-SuEIR,,835.6,769.8,,,,,,,6721421.3,6219202.5,,,,,
Google_Harvard-CPF,,,,,509.0,379.4,247.1,121.3,,,,,4136538.6,1786558.8,819263.8,99920.7
UVA-Ensemble,,,,,595.5,,180.5,127.4,,,,,3357786.7,,242447.9,362856.8
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,71.4,,,,,,,,57151.4
RobertWalraven-ESG,1061.6,978.2,885.0,,,,,,10683100.5,9390879.2,7397365.0,,,,,
MITCovAlliance-SIR,1047.7,944.5,,796.7,667.4,550.1,,,13326096.5,10915764.8,,7866335.1,4115484.9,2800721.1,,
PandemicCentral-USCounty,,,,,,,301.9,184.2,,,,,,,844625.8,341457.2
