,mean_abs_error_2020-10-05_2020-11-28,mean_abs_error_2020-10-12_2020-11-28,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-11-28,mean_abs_error_2020-11-02_2020-11-28,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-10-05_2020-11-28,mean_sq_abs_error_2020-10-12_2020-11-28,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-11-28,mean_sq_abs_error_2020-11-02_2020-11-28,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-11-28
CU-select,,,839.1,744.2,571.8,372.8,223.4,95.1,,,7278374.3,5377514.4,4158445.9,1262736.0,444515.4,73666.4
COVIDhub-baseline,1164.9,1059.9,931.5,799.3,653.4,409.4,193.2,84.3,14414214.0,12267228.3,9352783.1,6224419.9,4705288.9,1648841.7,496729.5,74890.4
LNQ-ens1,,,,,534.4,288.1,171.6,72.0,,,,,2299266.2,1113116.4,341885.4,60415.8
COVIDhub-ensemble,,,,,632.4,380.2,187.7,76.3,,,,,4407726.3,1599523.8,493655.3,58874.3
LANL-GrowthRate,,1341.2,1203.4,1015.3,520.1,358.1,302.5,100.6,,16683530.5,13551675.6,8895745.4,2342135.1,1525672.5,1352928.1,93320.3
IowaStateLW-STEM,1309.3,1220.1,1097.5,844.8,685.9,478.9,238.0,107.3,19993128.9,17769671.9,14368766.6,8217274.7,5694572.8,2633597.4,800854.6,147647.3
CEID-Walk,,,,,655.0,409.8,193.8,84.8,,,,,4678503.4,1611945.9,492279.8,76869.1
USC-SI_kJalpha,1338.4,1200.3,1066.9,954.8,774.0,542.2,,,17666304.2,14859088.7,11883149.5,8944851.1,5023747.8,2816725.9,,
JHU_IDD-CovidSP,,,1048.6,997.4,900.7,,256.0,107.2,,,13387762.2,11391646.2,8834647.5,,718360.8,103499.5
OliverWyman-Navigator,,,,,,285.7,196.8,112.9,,,,,,794083.3,489377.1,126260.8
JHUAPL-Bucky,,1220.8,1100.1,951.2,757.3,512.1,398.5,169.2,,16834228.3,13868394.5,10852867.6,6444551.3,3535329.8,1843855.1,327057.9
UVA-Ensemble,,,,,505.0,929.8,309.5,120.0,,,,,2130253.3,29292934.4,1996816.9,194841.4
Google_Harvard-CPF,,,,,645.9,536.0,286.0,119.2,,,,,4698676.6,2149443.6,795327.5,284033.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,212.3,92.5,,,,,,,349629.9,68798.9
FAIR-NRAR,,,,,,,,84.5,,,,,,,,64091.4
MITCovAlliance-SIR,,1471.8,1324.4,1194.8,,,,,,24372500.5,16200335.5,13424153.5,,,,
OneQuietNight-ML,,,,,,,,93.1,,,,,,,,87065.7
Yu_Group-CLEP,,,,,,,,138.2,,,,,,,,161169.5
PandemicCentral-USCounty,,,,,,,464.2,,,,,,,,2398834.9,
RobertWalraven-ESG,1580.2,,,,,,,,23284474.0,,,,,,,
UCLA-SuEIR,1417.5,,,,,,,,20515167.2,,,,,,,
