,mean_abs_error_2020-11-16_2021-01-09,mean_abs_error_2020-11-23_2021-01-09,mean_abs_error_2020-11-30_2021-01-09,mean_abs_error_2020-12-07_2021-01-09,mean_abs_error_2020-12-14_2021-01-09,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2020-11-16_2021-01-09,mean_sq_abs_error_2020-11-23_2021-01-09,mean_sq_abs_error_2020-11-30_2021-01-09,mean_sq_abs_error_2020-12-07_2021-01-09,mean_sq_abs_error_2020-12-14_2021-01-09,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-09
CU-select,,,64808.0,35249.7,20035.2,13357.7,17551.1,4525.5,,,22460529048.8,4546237727.9,1035432082.8,629691067.1,683787266.7,36573057.0
COVIDhub-baseline,100964.1,80413.9,66092.6,42865.3,28016.1,12096.6,11475.5,5781.5,42870048120.1,27972895827.2,22254111436.5,10637125341.4,2908344433.8,332156166.6,464591115.3,74094540.8
OneQuietNight-ML,,90071.8,56268.3,,24665.5,9525.9,9673.4,5192.4,,24513159397.0,13565670222.2,,3133270783.5,391376094.7,236655420.0,54732909.3
IowaStateLW-STEM,106075.3,90314.3,65415.7,45648.4,29186.2,13173.0,7282.2,6829.4,46285689472.6,34780658009.3,22148804037.4,12393683482.2,3093510665.6,430886483.1,151485274.3,132816866.6
Covid19Sim-Simulator,,73854.2,66535.2,43046.1,22837.3,13840.9,11042.4,7003.4,,22950483062.3,21284861826.4,7557521919.3,1419159460.8,834710959.0,532131117.2,112762919.6
LANL-GrowthRate,,,54270.8,25802.5,25226.9,25199.0,19875.4,7983.2,,,15335946763.9,2045057616.6,3105735425.9,7916352767.8,3387052836.2,163537355.5
USC-SI_kJalpha,154364.4,91366.7,91924.0,37929.9,27300.4,14807.3,12064.0,6920.1,68151704584.9,37490116758.7,37974929632.8,6716717455.8,2106083279.6,1629937144.8,538354000.0,113249554.7
Microsoft-DeepSTIA,,,,,23661.3,13698.9,10571.2,5127.3,,,,,2509126389.4,595045991.8,377148675.6,77592346.7
COVIDhub-ensemble,,,,,18731.2,12536.9,11953.0,6273.7,,,,,1040826839.8,1140867963.4,397544231.4,89763094.1
UCLA-SuEIR,141431.8,94844.1,74816.8,49358.4,32414.6,15115.0,14249.1,5833.5,74673417893.5,32156849271.2,18958304338.8,9739040351.9,3335575728.0,603981072.2,607064470.5,73036668.7
JHUAPL-Bucky,255222.6,193917.0,57899.8,43554.9,47890.1,32499.8,22640.5,3572.2,160657126208.7,108375709526.0,8913261255.9,6458974475.5,14407437578.0,10865871098.7,2539738868.7,24752749.4
LNQ-ens1,,,,,17613.4,14328.1,17370.9,6221.1,,,,,970329180.4,1395202855.1,629363481.6,97573024.5
JHU_IDD-CovidSP,,,55416.6,45836.9,33092.4,19997.6,19771.6,14316.2,,,16321401548.6,10590319733.4,6320027827.2,1716514933.3,1198831108.9,548808978.4
BPagano-RtDriven,122342.9,,,,30775.6,22519.6,13604.3,5062.7,44904948900.5,,,,2653414498.2,4396762463.9,2081717567.7,82565451.6
RobertWalraven-ESG,,,,,20231.6,15586.3,18331.2,7114.7,,,,,1167321936.8,1502536129.7,888625825.8,114420917.9
JCB-PRM,94802.1,111679.8,90550.1,54846.8,35473.3,28267.6,12232.1,,35227083357.7,39346695105.0,21573004634.1,8425831740.8,2997986438.9,4263850588.8,1212887914.2,
JHU_CSSE-DECOM,,,,,28392.9,18109.5,13219.8,7504.5,,,,,3021091024.3,2684024560.5,456665336.5,133438814.6
OliverWyman-Navigator,,,,,,18757.9,10217.2,6174.1,,,,,,1431788733.8,528396996.3,102374497.7
CEID-Walk,,,,,,,11323.9,5678.9,,,,,,,455046973.6,68821096.7
Karlen-pypm,,,,52505.8,52633.3,30411.8,23437.3,5650.9,,,,8494760393.6,12407043453.8,10806423603.9,8911390332.1,60531996.0
UMich-RidgeTfReg,,,,,,33026.7,13587.5,5860.2,,,,,,14349013366.3,638733139.7,95357882.5
JHU_UNC_GAS-StatMechPool,,,,,30905.8,16543.4,23837.8,11064.7,,,,,3887122548.9,1336591438.8,1887598633.2,342252134.9
TTU-squider,,,,,39191.2,23231.5,16932.6,9585.0,,,,,3233572703.6,1186373429.4,590822881.2,225133470.8
CovidAnalytics-DELPHI,,,,74339.4,43343.9,26805.0,17484.8,8751.4,,,,15755006374.4,5327132206.9,7737878824.7,1069323258.6,191237035.4
IEM_MED-CovidProject,,,,,64352.6,33041.9,16797.7,6682.1,,,,,27857199089.1,15977478561.3,1908302491.3,120274753.8
Google_Harvard-CPF,,,,,39385.1,43562.5,20307.4,6692.3,,,,,4678192164.8,15028164720.7,2401583631.6,113738920.2
UCSB-ACTS,,,,,55174.2,22233.7,23038.1,7953.4,,,,,5861440918.1,1193487956.1,3339417646.5,525173196.9
DDS-NBDS,,,,,39010.6,29982.3,155793.1,11977.2,,,,,8236415929.9,5073000353.2,568145025940.7,425792611.1
Geneva-DetGrowth,,,,,,,,5864.0,,,,,,,,97943075.4
Wadhwani_AI-BayesOpt,,,,94821.7,35113.6,39978.6,,12088.9,,,,19962349838.6,3557358083.1,5569962249.9,,348048433.3
USACE-ERDC_SEIR,109969.4,108664.5,107045.4,,,,,,31392974195.2,35747736498.2,35046136022.6,,,,,
IQVIA_ACOE-STAN,,,,,41572.4,,,,,,,,6004049538.8,,,
UVA-Ensemble,,,,,44611.5,38505.1,24775.2,18239.1,,,,,8990860841.2,17677719393.3,3360730451.9,7684227275.7
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,8295.5,,,,,,,,202275410.0
