,perc_error_2020-10-12_2020-12-05,perc_error_2020-10-19_2020-12-05,perc_error_2020-10-26_2020-12-05,perc_error_2020-11-02_2020-12-05,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-05,perc_error_2020-11-23_2020-12-05,perc_error_2020-11-30_2020-12-05
CU-select,,,-0.440,-0.383,-0.094,-0.012,-0.031,-0.183
BPagano-RtDriven,,-0.435,-0.393,-0.445,-0.181,0.110,0.261,-0.009
Covid19Sim-Simulator,-0.593,-0.724,-0.318,-0.368,-0.231,,-0.029,-0.152
LANL-GrowthRate,,-0.802,-0.742,-0.260,0.026,0.298,0.007,-0.151
JCB-PRM,-0.543,-0.599,-0.446,-0.473,-0.417,-0.082,0.115,0.033
QJHong-Encounter,,,,-0.377,-0.294,0.015,0.120,-0.068
IBF-TimeSeries,-0.657,-0.581,-0.490,-0.477,-0.315,-0.071,0.022,-0.190
Karlen-pypm,,,,-0.146,-0.014,0.275,0.346,-0.042
UCLA-SuEIR,-0.754,-0.744,-0.609,-0.483,-0.226,-0.029,0.091,-0.184
JHUAPL-Bucky,-0.686,-0.537,-0.498,-0.403,-0.274,0.373,0.325,-0.086
COVIDhub-ensemble,,,,,-0.200,0.022,0.082,-0.157
LNQ-ens1,,,,,-0.113,0.137,0.007,-0.193
IowaStateLW-STEM,-0.727,-0.696,-0.574,-0.515,-0.471,-0.156,0.069,-0.086
COVIDhub-baseline,-0.617,-0.589,-0.541,-0.507,-0.389,-0.180,-0.060,-0.164
USC-SI_kJalpha,-0.685,-0.658,-0.546,-0.490,-0.446,-0.252,0.055,-0.164
Columbia_UNC-SurvCon,-0.540,-0.438,-0.339,0.451,0.231,0.684,0.349,-0.254
JHU_CSSE-DECOM,,,,,-0.302,0.113,0.218,-0.102
UVA-Ensemble,,,,,,0.133,0.029,0.146
MSRA-DeepST,,,,,-0.414,0.050,0.134,-0.160
OliverWyman-Navigator,,,,,,0.107,0.169,-0.062
UMich-RidgeTfReg,,,,,0.138,0.379,0.225,-0.120
CEID-Walk,,,,,-0.378,-0.174,-0.058,-0.178
UCF-AEM,,,,,,-0.260,0.012,-0.155
USACE-ERDC_SEIR,-0.626,,-0.524,,,-0.128,-0.159,-0.279
DDS-NBDS,,,,,0.151,0.931,0.369,-0.103
TTU-squider,,,,,-0.528,-0.387,-0.172,0.002
IQVIA_ACOE-STAN,,,,,,,-0.015,-0.148
RobertWalraven-ESG,,,,,0.199,0.419,0.307,-0.308
USC-SI_kJalpha_RF,,,,,-0.251,,,
OneQuietNight-ML,,,,,,,0.386,-0.032
Geneva-DetGrowth,,,,,,,,-0.031
UChicagoCHATTOPADHYAY-UnIT,,,,,,,0.047,-0.210
JHU_IDD-CovidSP,,,-0.673,-0.689,,-0.274,-0.241,-0.345
CovidAnalytics-DELPHI,,-0.845,-0.731,-0.641,-0.508,-0.321,0.344,0.214
