,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-12,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-03-06
LNQ-ens1,,0.117,0.992,0.475,0.154,-0.035,0.029,-0.171,-0.053,-0.073,-0.255,-0.113,-0.170,-0.313,-0.284,-0.369,-0.318,-0.336,-0.113,0.117,-0.042,-0.292,-0.037,-0.005,-0.020,-0.226,0.010,0.595,0.430,0.305,0.134,0.135
QJHong-Encounter,,0.307,0.624,0.208,0.077,0.092,0.258,0.140,-0.169,-0.051,-0.335,-0.115,-0.075,-0.301,-0.244,-0.329,-0.377,-0.358,-0.294,0.005,0.129,-0.001,-0.050,0.017,-0.030,0.002,0.085,0.361,0.749,0.576,0.500,0.454
Columbia_UNC-SurvCon,0.205,-0.003,0.028,0.024,-0.075,-0.162,0.004,-0.233,-0.153,0.074,-0.213,-0.286,-0.018,-0.069,-0.361,-0.369,-0.350,0.270,0.231,0.956,0.531,-0.446,0.319,0.240,0.568,-0.028,-0.173,0.408,0.800,0.566,0.299,0.060
COVIDhub-ensemble,,,0.259,0.263,0.233,0.152,0.031,-0.133,-0.067,-0.047,-0.256,-0.232,-0.209,-0.334,-0.406,-0.461,-0.437,-0.393,-0.200,0.008,0.085,-0.190,0.052,0.111,0.031,-0.094,0.017,0.474,0.647,0.518,0.438,0.261
USC-SI_kJalpha,0.144,0.286,0.442,-0.048,-0.015,-0.151,-0.117,-0.243,-0.179,-0.156,-0.404,-0.209,-0.277,-0.334,-0.406,-0.477,-0.463,-0.448,-0.446,-0.317,0.030,-0.260,0.020,0.155,0.019,-0.059,-0.049,0.343,0.602,0.272,0.350,0.227
COVIDhub-baseline,-0.259,-0.074,0.132,0.257,0.324,0.211,0.289,0.106,0.046,-0.001,-0.223,-0.167,-0.183,-0.321,-0.402,-0.463,-0.481,-0.478,-0.389,-0.223,-0.147,-0.204,-0.081,-0.017,-0.003,-0.111,0.028,0.449,0.644,0.624,0.719,0.651
UCLA-SuEIR,-0.185,0.087,0.280,0.353,0.231,-0.026,0.036,-0.074,0.018,-0.248,-0.477,-0.331,-0.379,-0.500,-0.538,-0.610,-0.520,-0.445,-0.226,-0.035,0.147,-0.267,0.019,-0.083,-0.119,-0.250,-0.086,0.553,0.406,0.558,0.958,0.152
USACE-ERDC_SEIR,-0.308,-0.202,0.031,0.074,-0.057,-0.103,-0.010,-0.215,-0.110,-0.099,-0.242,0.004,-0.197,,-0.332,,-0.418,,,-0.221,-0.358,-0.496,,,,,,,,,,
IowaStateLW-STEM,-0.043,0.155,0.293,0.248,0.287,,0.122,0.140,0.143,0.083,-0.124,-0.257,-0.253,-0.449,-0.533,-0.576,-0.505,-0.481,-0.471,-0.206,-0.050,-0.158,-0.091,0.033,0.009,-0.073,-0.110,0.299,0.708,0.563,0.533,0.601
UMich-RidgeTfReg,-0.337,0.102,0.141,0.244,0.293,0.325,0.503,-0.138,-0.072,-0.019,-0.250,-0.128,-0.120,-0.267,-0.375,-0.408,-0.358,-0.415,0.138,0.525,0.343,-0.252,0.104,0.255,0.162,-0.413,0.200,0.745,0.412,0.667,0.729,0.365
Karlen-pypm,,,,0.933,0.833,0.385,0.181,0.048,-0.087,-0.106,-0.243,-0.302,-0.296,-0.381,-0.332,-0.304,-0.224,-0.178,-0.014,0.387,0.559,0.101,0.256,0.409,0.390,0.468,0.076,0.365,0.639,0.492,0.144,0.059
LANL-GrowthRate,-0.419,-0.307,-0.142,-0.190,-0.231,-0.232,-0.232,-0.350,-0.369,-0.445,-0.434,-0.416,-0.514,-0.556,-0.594,-0.664,-0.653,-0.249,0.026,0.269,-0.115,-0.194,-0.003,0.092,-0.161,-0.118,-0.062,0.504,0.500,0.057,0.161,0.024
DDS-NBDS,,,,-0.234,0.134,0.043,0.421,-0.021,-0.037,0.015,-0.278,0.658,0.392,-0.284,-0.255,-0.308,-0.189,-0.077,0.151,1.204,0.675,0.027,0.387,-0.013,0.001,11.002,0.306,1.632,3.829,1.885,4.684,4.900
CU-select,,,,,,0.202,0.540,0.077,0.281,0.393,0.112,0.106,0.062,-0.188,-0.281,-0.344,-0.387,-0.359,-0.094,-0.056,-0.121,-0.264,0.054,0.026,-0.085,-0.260,0.736,1.406,0.823,0.661,0.690,0.734
Covid19Sim-Simulator,0.022,0.206,0.453,0.683,0.471,,-0.096,-0.292,-0.307,-0.240,-0.351,-0.493,-0.465,-0.292,-0.387,-0.586,-0.335,-0.365,-0.231,,-0.054,-0.180,0.069,0.122,0.038,-0.139,0.033,0.508,0.581,0.405,0.672,0.633
JHUAPL-Bucky,,,,,,,,,-0.026,0.097,-0.149,-0.086,-0.226,-0.378,-0.459,-0.441,-0.460,-0.390,-0.274,0.530,0.542,0.014,0.037,0.295,0.165,-0.110,0.099,0.494,0.542,0.004,0.234,0.210
