,mean_abs_error_2020-08-10_2020-10-03,mean_abs_error_2020-08-17_2020-10-03,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-03,mean_abs_error_2020-09-07_2020-10-03,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-08-10_2020-10-03,mean_sq_abs_error_2020-08-17_2020-10-03,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-03,mean_sq_abs_error_2020-09-07_2020-10-03,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-03
COVIDhub-baseline,18885.4,16456.9,9667.6,6193.1,5032.9,3919.3,2117.5,981.2,1580770035.8,1923134909.2,440244633.8,137649363.4,86947716.5,61324588.2,15236095.7,5003149.5
Covid19Sim-Simulator,,,11484.3,6189.6,4707.5,4220.8,2772.1,943.2,,,258303206.2,88261405.6,88918238.3,73354017.8,34638098.5,1946731.7
LNQ-ens1,,,,,4221.6,4632.7,2167.7,602.9,,,,,58028759.6,75583668.7,15045277.4,740510.7
COVIDhub-ensemble,,,,,4203.1,4709.4,2331.7,633.3,,,,,59348651.9,75521826.9,17132527.5,883074.2
CEID-Walk,,,,,4562.0,4016.6,2072.8,974.8,,,,,66166917.9,61855130.6,14286114.9,5080949.2
USC-SI_kJalpha,18682.5,14175.6,13531.2,8790.1,5451.3,6401.8,2376.8,915.7,799435828.0,463954625.7,360398587.9,205834530.1,84531987.7,147643233.6,15477985.7,2292146.9
UCLA-SuEIR,13086.4,16796.0,11866.9,8427.5,6280.8,6126.8,2630.0,964.3,361528108.4,1076953530.2,460013428.8,225309024.4,116623067.3,117839997.5,21745144.1,4000592.6
JCB-PRM,,,,,4271.5,4776.0,2299.0,756.0,,,,,83668190.2,109841057.4,23101501.7,1073840.4
JHUAPL-Bucky,,,,,5713.0,3355.1,2149.1,1024.9,,,,,74434083.6,43036509.9,11993533.5,4537504.2
IowaStateLW-STEM,,15202.0,14850.2,7811.2,6670.2,4211.5,2880.3,1483.3,,1167226876.9,1092301791.9,228250234.7,354108057.4,42378482.4,19961530.1,9600260.9
USACE-ERDC_SEIR,17841.7,14158.8,12969.1,10224.4,5760.3,5454.7,4029.3,932.8,752170513.3,678872525.5,495093306.3,316717209.3,121178057.4,87714467.7,126108868.7,3687749.6
CU-select,,,8886.0,12319.3,11746.2,5338.9,3228.5,950.4,,,227026597.5,713770974.4,534900052.0,76707694.7,47295725.5,3580943.9
DDS-NBDS,,,,,5406.1,5107.5,2728.6,1005.9,,,,,93242570.2,84928545.9,23863539.6,2205763.2
UMich-RidgeTfReg,,,,,5674.3,4307.4,2810.5,1322.7,,,,,117301869.6,51150814.4,19866098.3,4171435.9
Karlen-pypm,,,,8170.4,6668.4,5488.7,3133.7,1048.8,,,,152715529.4,121546946.0,88171759.6,39695500.3,2241320.6
JHU_IDD-CovidSP,,,,7689.2,6422.0,5962.1,4295.1,1698.3,,,,150416621.2,123931115.0,124608872.7,70946174.7,7547672.7
LANL-GrowthRate,,15217.6,15051.8,10423.8,7900.2,6031.3,3122.2,1106.2,,375774124.6,462751747.9,283231396.7,187725984.2,99196020.3,30795477.8,3250445.7
OliverWyman-Navigator,,,,,,4064.5,3016.4,1630.5,,,,,,53737546.4,43040027.5,14458637.9
IQVIA_ACOE-STAN,,,,,,,2376.1,961.1,,,,,,,19432178.0,2434410.3
RobertWalraven-ESG,,15138.0,12679.0,13029.2,10756.1,9114.0,5227.5,2209.7,,514527654.2,312440079.4,443167087.6,292415592.4,231634893.5,105105485.2,15560022.8
Geneva-DetGrowth,,,,,,,,702.5,,,,,,,,2862514.3
CovidAnalytics-DELPHI,,21808.0,15361.4,13196.6,10433.5,8443.2,5955.9,2904.8,,2157691590.1,498645739.7,370646922.6,213003681.7,164386640.5,89231962.7,17105039.3
TTU-squider,,,,,,12924.7,,4015.4,,,,,,592859164.2,,59474126.0
IHME-CurveFit,95513.1,,,,,,,,61142808745.3,,,,,,,
