,mean_abs_error_2021-01-04_2021-02-27,mean_abs_error_2021-01-11_2021-02-27,mean_abs_error_2021-01-18_2021-02-27,mean_abs_error_2021-01-25_2021-02-27,mean_abs_error_2021-02-01_2021-02-27,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-02-27,mean_sq_abs_error_2021-01-04_2021-02-27,mean_sq_abs_error_2021-01-11_2021-02-27,mean_sq_abs_error_2021-01-18_2021-02-27,mean_sq_abs_error_2021-01-25_2021-02-27,mean_sq_abs_error_2021-02-01_2021-02-27,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-02-27
USC-SI_kJalpha,53852.3,22212.6,28603.8,21249.3,16882.6,8947.4,3481.8,1475.0,9121073065.7,3306604383.2,6175397854.2,1500398210.9,830601054.7,422761863.1,39406817.2,17468642.0
LANL-GrowthRate,,,76146.2,16404.6,10033.1,6380.4,3800.0,3122.7,,,26002427494.9,799326339.7,430339872.8,189074544.0,34009179.4,31648363.5
Karlen-pypm,,,,38849.6,8725.1,6339.6,2910.9,1650.2,,,,6985257550.2,277544067.9,292632244.5,29941756.0,7000385.7
JHU_IDD-CovidSP,,,44786.5,29395.7,17302.0,10783.1,9678.7,1913.5,,,8369663351.5,3815041609.9,1340412754.2,721425555.7,540136646.0,29586806.7
LNQ-ens1,,,,,8838.3,6179.5,2488.9,1701.3,,,,,329410572.9,175232138.2,20948428.3,14356457.3
JHUAPL-Bucky,70040.0,111698.3,67051.3,24563.3,20914.8,11835.4,7480.4,2075.6,31473531611.8,44410602204.6,14423509020.4,2259258585.1,2138068112.9,602187264.2,478605637.3,11934423.9
RobertWalraven-ESG,,,,,9632.8,6212.5,2901.5,1908.6,,,,,256434623.3,213450133.4,52287822.2,15911881.3
IEM_MED-CovidProject,,,,,11715.8,6748.6,2193.1,1872.9,,,,,434699491.1,357481968.5,18158701.6,18170347.8
COVIDhub-ensemble,,,,,20241.7,9356.1,3307.8,1345.4,,,,,1294192706.5,541722366.5,67583645.4,6423327.5
Covid19Sim-Simulator,68757.6,116945.7,86482.9,46520.6,28830.0,15272.4,5176.7,1387.3,37772760261.5,50001585152.1,29318690394.9,7953580438.6,2577149093.1,1245467866.4,116236111.4,9038196.9
Microsoft-DeepSTIA,,,,,24226.8,6518.1,2862.9,1867.8,,,,,1900796339.1,410077960.6,69355309.8,15145962.8
IowaStateLW-STEM,46190.1,89528.0,92257.8,49482.2,27964.5,16751.6,8274.4,1331.1,9686204535.7,22563406234.9,31387567933.8,9588298027.0,2253236479.3,1387813420.6,234532917.0,9143923.5
JHU_CSSE-DECOM,,,,,36112.8,14004.3,4168.5,1164.5,,,,,4437074448.6,1192691806.5,42036922.1,2615570.0
CU-select,,,102348.6,57243.6,34151.2,18647.0,3221.7,1786.1,,,74955377603.4,11293159068.2,5382451495.6,1835519182.1,39073039.3,20508725.9
BPagano-RtDriven,,,,,24717.3,7915.4,6069.9,1908.8,,,,,2916653712.4,312469544.1,157330804.8,10315979.1
COVIDhub-trained_ensemble,,,,,24554.9,10047.5,20031.5,1284.9,,,,,1398226258.5,365830876.3,961360597.1,5884107.2
UCLA-SuEIR,75974.9,88803.6,49402.3,35157.6,28430.4,18174.8,,3111.4,40077435903.3,34719706339.4,17806027322.9,6464194407.6,3292928228.0,1723435258.2,,71125656.2
MOBS-GLEAM_COVID,,,,,21300.9,13730.6,9877.5,1354.0,,,,,2616690729.9,886832674.3,467609806.4,7563763.2
Google_Harvard-CPF,,,,,24282.4,11748.0,4550.1,2645.3,,,,,1969132110.3,912770850.9,55164553.0,20924635.9
OneQuietNight-ML,,,,,22784.0,14997.3,5283.1,2149.0,,,,,998046687.8,620478393.2,98117617.9,15357605.0
COVIDhub-baseline,68243.2,109840.5,90615.0,51887.9,34593.6,17895.6,7140.7,2046.9,24125637133.6,40330618802.8,35736828905.5,9758736687.0,4096659819.1,1469254690.3,196447392.0,30442984.1
JHU_UNC_GAS-StatMechPool,,,,,18162.3,10384.9,7118.1,4736.6,,,,,1204462869.4,829872237.9,177076166.0,65106459.5
UVA-Ensemble,,,,,20397.6,,4347.4,2198.2,,,,,1519015372.7,,124383517.9,22993881.0
MIT_ISOLAT-Mixtures,,,,,23777.1,14914.5,6271.3,2423.7,,,,,2418796830.3,1855374642.3,313424001.1,15170463.7
SigSci-TS,,,,,29571.1,,5914.7,1596.9,,,,,2259535295.7,,172341538.3,11500889.5
CEID-Walk,,,,,34754.1,17491.2,7041.4,1708.8,,,,,4488404836.2,1398765980.5,184225275.3,14852010.5
OliverWyman-Navigator,,,,,,14450.2,5583.3,2049.6,,,,,,912440733.3,147397539.8,19821700.5
CovidAnalytics-DELPHI,,,124873.7,106850.5,41052.3,11907.1,7046.2,3016.3,,,181879795304.6,134013451829.8,9124131345.0,929820008.1,361140170.5,48766110.6
TTU-squider,,,,,24712.7,18844.1,11592.8,3983.4,,,,,3863454304.4,1917057097.8,796180064.7,45675561.8
UMich-RidgeTfReg,,,,,38629.8,21117.9,8180.5,4941.6,,,,,3716091249.0,1929366335.2,272369160.9,70414753.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,2220.0,,,,,,,,24589320.5
IUPUI-HkPrMobiDyR,,,,,,,,2649.1,,,,,,,,40845717.6
Geneva-DetGrowth,,,,,,,,2889.3,,,,,,,,47826085.0
DDS-NBDS,,,,,211735.9,156326.1,,12492.7,,,,,509945183319.5,233629742042.2,,1498184200.6
