,perc_error_2020-07-06_2020-08-15,perc_error_2020-07-13_2020-08-22,perc_error_2020-07-20_2020-08-29,perc_error_2020-07-27_2020-09-05,perc_error_2020-08-03_2020-09-12,perc_error_2020-08-10_2020-09-19,perc_error_2020-08-17_2020-09-26,perc_error_2020-08-24_2020-10-03,perc_error_2020-08-31_2020-10-10,perc_error_2020-09-07_2020-10-17,perc_error_2020-09-14_2020-10-24,perc_error_2020-09-21_2020-10-31,perc_error_2020-09-28_2020-11-07,perc_error_2020-10-05_2020-11-14,perc_error_2020-10-12_2020-11-21,perc_error_2020-10-19_2020-11-28,perc_error_2020-10-26_2020-12-05,perc_error_2020-11-02_2020-12-12,perc_error_2020-11-09_2020-12-19,perc_error_2020-11-16_2020-12-26,perc_error_2020-11-23_2021-01-02,perc_error_2020-11-30_2021-01-09,perc_error_2020-12-07_2021-01-16,perc_error_2020-12-14_2021-01-23,perc_error_2020-12-21_2021-01-30,perc_error_2020-12-28_2021-02-06
COVIDhub-baseline,-0.214,0.007,0.247,0.356,0.422,0.279,0.269,0.070,-0.001,-0.087,-0.316,-0.297,-0.355,-0.498,-0.551,-0.555,-0.540,-0.534,-0.439,-0.243,-0.145,-0.229,-0.116,0.010,0.088,0.014
IowaStateLW-STEM,0.053,0.314,0.398,0.315,0.342,,0.054,0.061,0.058,-0.040,-0.251,-0.402,-0.432,-0.615,-0.667,-0.665,-0.573,-0.546,-0.529,-0.238,-0.065,-0.199,-0.143,0.046,0.083,0.035
CU-select,,,,,,0.293,0.590,0.065,0.293,0.352,0.113,0.049,-0.042,-0.377,-0.438,-0.439,-0.439,-0.409,-0.094,-0.126,-0.169,-0.323,-0.028,-0.007,-0.071,-0.201
Columbia_UNC-SurvCon,0.282,0.047,0.040,0.014,-0.141,-0.234,-0.106,-0.355,-0.251,0.006,-0.317,-0.406,-0.150,-0.224,-0.491,-0.422,-0.337,0.674,0.574,1.932,0.946,-0.539,0.340,0.643,1.024,0.100
UCLA-SuEIR,-0.131,0.204,0.418,0.410,0.239,-0.058,-0.056,-0.123,-0.059,-0.401,-0.605,-0.490,-0.559,-0.670,-0.685,-0.710,-0.608,-0.522,-0.249,0.015,0.285,-0.337,-0.028,-0.121,-0.105,-0.226
USACE-ERDC_SEIR,-0.344,-0.225,0.071,0.078,-0.100,-0.166,-0.136,-0.330,-0.220,-0.224,-0.376,-0.223,-0.398,,-0.522,,-0.523,,,-0.358,-0.479,-0.608,,,,
Covid19Sim-Simulator,0.192,0.405,0.626,0.795,0.522,,-0.140,-0.349,-0.432,-0.364,-0.480,-0.641,-0.632,-0.466,-0.529,-0.687,-0.317,-0.370,-0.174,,0.007,-0.217,0.115,0.216,0.126,-0.108
IBF-TimeSeries,,,,,,,,,,-0.202,-0.393,-0.295,-0.412,,-0.596,-0.547,-0.489,-0.506,-0.373,-0.184,-0.114,-0.225,-0.057,0.082,0.080,-0.017
CovidAnalytics-DELPHI,-0.263,-0.208,-0.045,0.160,0.274,0.123,-0.063,-0.282,-0.384,-0.494,-0.614,-0.686,-0.755,-0.781,-0.790,-0.824,-0.731,-0.643,-0.513,-0.289,0.513,,0.206,0.166,-0.036,0.020
LANL-GrowthRate,-0.455,-0.337,-0.187,-0.257,-0.297,-0.308,-0.361,-0.467,-0.493,-0.574,-0.582,-0.587,-0.679,-0.726,-0.743,-0.768,-0.741,-0.272,0.022,0.248,-0.166,-0.224,-0.080,0.219,-0.131,-0.021
USC-SI_kJalpha,0.312,0.431,0.544,-0.144,-0.131,-0.271,-0.267,-0.388,-0.335,-0.337,-0.561,-0.409,-0.506,-0.533,-0.588,-0.607,-0.545,-0.530,-0.551,-0.557,-0.312,-0.522,-0.346,-0.209,-0.258,-0.284
JHUAPL-Bucky,,,,,,,,,,,-0.263,-0.224,-0.403,-0.557,-0.612,-0.511,-0.497,-0.418,-0.286,0.867,0.844,0.085,0.019,0.420,0.312,-0.042
JCB-PRM,,,,,,,,,,-0.237,-0.339,-0.389,-0.380,-0.380,-0.452,-0.556,-0.445,-0.502,-0.514,0.007,0.304,0.288,0.289,0.546,0.745,0.583
JHU_IDD-CovidSP,,,,,,,,,,-0.282,-0.436,-0.527,-0.477,-0.495,-0.619,-0.620,-0.672,-0.696,,-0.253,-0.212,-0.264,-0.258,-0.172,-0.101,-0.128
BPagano-RtDriven,,,,,,,,,,,,,,,,-0.400,-0.392,-0.464,-0.226,0.080,,,,,,
UCF-AEM,,,,,,,,,,,,,,,,,,,,-0.313,-0.028,-0.195,-0.013,0.113,0.116,0.007
RobertWalraven-ESG,,,,,,,-0.320,-0.364,-0.461,-0.584,-0.673,-0.650,,-0.732,,,,,,,,,,,,
IHME-CurveFit,,,0.950,1.012,1.300,1.899,,,,,,,,,,,,,,,,,,,,
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.499,0.233,,,,
