,perc_error_2020-07-06_2020-08-29,perc_error_2020-07-13_2020-08-29,perc_error_2020-07-20_2020-08-29,perc_error_2020-07-27_2020-08-29,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-08-29,perc_error_2020-08-17_2020-08-29,perc_error_2020-08-24_2020-08-29
Columbia_UNC-SurvCon,0.368,0.070,0.040,0.025,-0.075,-0.117,0.054,-0.085
USACE-ERDC_SEIR,-0.384,-0.244,0.071,0.085,-0.057,-0.064,0.048,-0.097
USC-SI_kJalpha,0.410,0.465,0.544,-0.090,-0.015,-0.080,-0.013,-0.064
CovidAnalytics-DELPHI,-0.213,-0.188,-0.045,0.137,0.228,0.136,0.058,-0.055
UCLA-SuEIR,-0.075,0.255,0.418,0.391,0.231,0.011,0.088,-0.025
QJHong-Encounter,,,,0.278,0.077,0.050,0.151,0.026
LANL-GrowthRate,,-0.355,-0.187,-0.219,-0.231,-0.183,-0.136,-0.199
LNQ-ens1,,,,,0.154,-0.010,0.069,-0.083
DDS-NBDS,,,,,0.134,0.073,0.226,-0.031
COVIDhub-baseline,-0.153,0.048,0.247,0.314,0.324,0.184,0.220,0.050
COVIDhub-ensemble,,,,,0.233,0.141,0.068,-0.050
OliverWyman-Navigator,,,,,,0.031,0.083,-0.047
IowaStateLW-STEM,0.169,0.399,0.397,0.288,0.287,,0.127,0.178
CEID-Walk,,,,,,0.160,0.214,0.047
CU-select,,,,,,0.154,0.297,-0.034
Covid19Sim-Simulator,0.414,0.513,0.626,0.749,0.471,,-0.119,-0.288
Karlen-pypm,,,,1.183,0.833,0.344,0.159,0.072
JHU_IDD-CovidSP,,,,0.497,0.481,0.342,0.256,0.086
RobertWalraven-ESG,,,,,0.234,0.433,-0.179,-0.184
UMich-RidgeTfReg,,,,,0.293,0.245,0.179,-0.379
TTU-squider,,,,,,,0.070,0.379
IHME-CurveFit,,,0.949,1.033,1.241,1.602,,
Geneva-DetGrowth,,,,,,,,-0.091
