,mean_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-07-06_2020-07-11
UCLA-SuEIR,1135.4,9087013.3
OliverWyman-Navigator,1139.2,7362439.5
IowaStateLW-STEM,1402.8,8900776.1
Geneva-DetGrowth,1458.6,25504568.4
COVIDhub-baseline,1513.0,17004021.6
USC-SI_kJalpha,1657.8,29681123.7
CovidActNow-SEIR_CAN,1792.8,24364879.5
Covid19Sim-Simulator,2038.8,21373371.1
CovidAnalytics-DELPHI,2107.2,19555362.5
USACE-ERDC_SEIR,2719.8,31302474.6
LANL-GrowthRate,2855.7,47962909.0
JHU_IDD-CovidSP,4222.4,79500677.1
RobertWalraven-ESG,7046.7,219214560.5
