,perc_error_2020-09-28_2020-11-21,perc_error_2020-10-05_2020-11-21,perc_error_2020-10-12_2020-11-21,perc_error_2020-10-19_2020-11-21,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-21,perc_error_2020-11-09_2020-11-21,perc_error_2020-11-16_2020-11-21
Karlen-pypm,,,,-0.343,-0.224,-0.226,-0.160,0.006
Columbia_UNC-SurvCon,-0.298,-0.278,-0.492,-0.414,-0.350,0.093,-0.038,0.189
CU-select,,,-0.438,-0.409,-0.387,-0.357,-0.208,-0.090
BPagano-RtDriven,,,,-0.378,-0.352,-0.435,-0.206,-0.001
JHUAPL-Bucky,,,-0.613,-0.492,-0.460,-0.393,-0.297,-0.003
LNQ-ens1,,,,,-0.318,-0.319,-0.108,0.040
Covid19Sim-Simulator,-0.758,-0.529,-0.530,-0.651,-0.335,-0.379,-0.310,
QJHong-Encounter,,,,-0.383,-0.377,-0.359,-0.301,-0.091
IBF-TimeSeries,-0.558,,-0.597,-0.517,-0.406,-0.428,-0.276,0.080
DDS-NBDS,,,,,-0.189,-0.151,-0.090,0.172
JCB-PRM,-0.543,-0.446,-0.452,-0.521,-0.417,-0.425,-0.340,-0.168
RobertWalraven-ESG,,-0.788,,,-0.312,-0.292,-0.035,0.169
UMich-RidgeTfReg,,,,,-0.358,-0.389,-0.035,0.077
LANL-GrowthRate,,-0.779,-0.743,-0.729,-0.653,-0.259,-0.103,0.053
COVIDhub-ensemble,,,,,-0.437,-0.394,-0.237,-0.057
OliverWyman-Navigator,,,,,,-0.363,-0.187,-0.050
USC-SI_kJalpha,-0.685,-0.604,-0.589,-0.558,-0.463,-0.423,-0.358,-0.183
COVIDhub-baseline,-0.517,-0.561,-0.551,-0.526,-0.481,-0.460,-0.351,-0.156
UCLA-SuEIR,-0.699,-0.726,-0.685,-0.674,-0.520,-0.424,-0.251,-0.100
USACE-ERDC_SEIR,-0.585,,-0.523,,-0.418,,,-0.074
UChicagoCHATTOPADHYAY-UnIT,,,,,,,-0.134,0.002
JHU_CSSE-DECOM,,,,,-0.442,,-0.301,-0.031
IowaStateLW-STEM,-0.586,-0.671,-0.668,-0.635,-0.505,-0.458,-0.417,-0.115
MSRA-DeepST,,,,,,-0.448,-0.290,-0.046
USC-SI_kJalpha_RF,,,,,,-0.391,-0.271,
CEID-Walk,,,,,-0.483,-0.461,-0.347,-0.149
JHU_IDD-CovidSP,,,-0.620,-0.608,-0.659,-0.688,,-0.381
Geneva-DetGrowth,,,,,,,,0.051
IQVIA_ACOE-STAN,,,,,,,-0.342,-0.146
UVA-Ensemble,,,,,,,,0.122
CovidAnalytics-DELPHI,,,-0.790,-0.804,-0.693,-0.651,-0.559,-0.431
TTU-squider,,,,,-0.751,-0.573,-0.538,-0.442
UCF-AEM,,,,,,,,-0.242
