,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-15,mean_abs_error_2020-07-20_2020-08-15,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-15,mean_sq_abs_error_2020-07-20_2020-08-15,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-15
COVIDhub-baseline,292.3,220.6,197.6,134.6,86.8,37.9,1953758.1,1356854.1,1176625.7,532571.0,261743.9,29416.0
LNQ-ens1,,,232.9,110.4,69.9,32.1,,,1612294.2,298402.9,131437.0,27123.8
LANL-GrowthRate,635.8,452.9,310.7,154.1,89.9,37.1,12477943.8,5954682.7,4981310.6,687092.1,211453.5,25815.3
COVIDhub-ensemble,,,233.6,108.9,73.9,35.3,,,1743939.1,406941.1,189398.7,27139.4
USC-SI_kJalpha,670.2,474.0,426.9,126.2,85.6,38.9,11631957.8,3390044.3,2160115.4,418138.9,188343.4,54245.5
JHU_IDD-CovidSP,,311.4,231.0,173.2,104.6,48.5,,2240340.4,1204585.4,384696.8,112540.2,29264.8
IowaStateLW-STEM,520.3,589.2,332.2,183.2,108.0,,5723498.5,9011170.4,27111378.4,1161505.4,370816.0,
UCLA-SuEIR,,,,151.7,95.9,36.9,,,,799944.5,236459.8,24590.7
OliverWyman-Navigator,,,,225.2,97.2,35.8,,,,1080774.6,192209.9,25385.1
CU-select,1141.7,687.8,455.5,215.2,118.2,41.8,60225335.7,21270039.4,10466080.5,1475049.5,634890.2,37940.1
RobertWalraven-ESG,,,,,94.1,54.8,,,,,204520.1,69228.8
CEID-Walk,,,,,,38.1,,,,,,28242.9
Yu_Group-CLEP,,,,,,55.1,,,,,,42962.4
