,mean_abs_error_2020-09-28_2020-11-21,mean_abs_error_2020-10-05_2020-11-21,mean_abs_error_2020-10-12_2020-11-21,mean_abs_error_2020-10-19_2020-11-21,mean_abs_error_2020-10-26_2020-11-21,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-21,mean_sq_abs_error_2020-09-28_2020-11-21,mean_sq_abs_error_2020-10-05_2020-11-21,mean_sq_abs_error_2020-10-12_2020-11-21,mean_sq_abs_error_2020-10-19_2020-11-21,mean_sq_abs_error_2020-10-26_2020-11-21,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-21
CU-select,,,39716.6,33681.7,27771.8,21514.9,10168.6,3328.3,,,3413897450.8,2296348675.5,1528944086.5,1018937549.5,188550853.5,34890671.1
Karlen-pypm,,,,30050.5,20962.7,15770.7,8691.2,4370.4,,,,1995591948.0,977684899.1,613525663.4,180362934.4,59736263.3
JCB-PRM,54752.3,43359.2,41589.5,41973.2,29955.2,25568.6,15065.4,4904.7,5902089115.0,3728435446.1,3526641694.0,3623561559.3,2011530629.1,1436799733.5,460333864.6,61081470.1
LNQ-ens1,,,,,26180.6,19131.1,7029.0,2876.3,,,,,1482879434.1,837127036.2,151206763.9,17720702.4
COVIDhub-baseline,52366.7,53409.3,48445.6,42212.5,34149.5,27525.3,15408.1,4304.5,5117783378.9,5319496947.2,4766302778.7,3586476492.8,2315942612.5,1592466473.7,457817123.5,48777675.3
LANL-GrowthRate,,70504.9,63014.9,55491.7,43998.2,18112.9,8410.3,4227.9,,9606903753.5,7713300231.4,5923614531.5,3953589824.4,708180335.1,171350139.0,50108882.2
DDS-NBDS,,,,,20763.1,16582.0,8749.1,7229.7,,,,,1070445177.2,628514874.7,213021265.7,277787569.9
BPagano-RtDriven,,,,36214.2,31607.5,27861.1,11487.9,5338.7,,,,2743560768.1,2067272265.4,1559550689.2,255947749.4,83604712.8
JHU_CSSE-DECOM,,,,,30994.4,24560.0,13174.2,2883.9,,,,,2135148218.5,1294220087.7,382328837.4,27393210.1
JHUAPL-Bucky,,,54044.4,42075.8,34863.0,25814.3,14652.8,5403.6,,,5933238281.5,3941010748.5,2657806363.8,1424662639.5,459365914.9,88829676.0
USC-SI_kJalpha,69639.3,57911.8,49103.8,43239.6,34810.8,26531.4,15947.6,4969.2,8993997677.1,6537740287.4,5339948780.9,3785869517.2,2330672235.3,1489257405.2,463894458.0,54099335.1
OliverWyman-Navigator,,,,,,21648.2,8411.0,3019.4,,,,,,1060039011.8,161837480.1,25639263.5
UMich-RidgeTfReg,,,,,28451.7,22758.0,12455.3,5665.7,,,,,1735413090.4,1233756408.4,381612960.9,90449066.4
Covid19Sim-Simulator,63193.1,51049.5,50402.3,47345.5,34818.8,27395.7,17393.7,,7295403001.0,5208243641.9,4867196011.9,4480785714.7,2383357917.7,1499816842.0,570775049.8,
USACE-ERDC_SEIR,63994.3,,46311.9,,30748.4,,,4060.3,7860581913.8,,4786446011.1,,1864034481.7,,,37987773.9
MSRA-DeepST,,,,,,25330.4,11385.2,2831.8,,,,,,1518905663.0,343653776.2,31323066.8
COVIDhub-ensemble,,,,,34979.7,26347.5,13713.1,3329.8,,,,,2467046367.6,1441290385.6,381883328.1,35207437.4
IowaStateLW-STEM,58229.0,63381.4,58416.7,50964.5,36755.1,27974.9,16244.9,3590.6,6333338813.2,7321555496.2,6426288097.4,5060848995.1,2658441780.6,1541882560.3,549570739.1,29006872.7
RobertWalraven-ESG,82088.8,74736.0,,,39818.2,27164.2,8419.7,4425.0,12744933706.7,10144092662.3,,,3262048804.0,1597742764.2,175248455.8,48191157.4
UChicagoCHATTOPADHYAY-UnIT,,,,,,,6474.0,2643.8,,,,,,,82251316.0,16213965.4
JHU_UNC_GAS-StatMechPool,,,,,32258.6,24592.3,14831.2,5349.7,,,,,2309315937.5,1346097076.0,452420439.1,74948369.7
Google_Harvard-CPF,,,,,34097.0,28470.2,12596.5,5049.2,,,,,2394200098.0,1939356719.3,285991207.2,65862177.2
CEID-Walk,,,,,34598.6,27664.8,15427.9,4166.5,,,,,2362606250.8,1610576701.2,457912280.5,47396428.8
USC-SI_kJalpha_RF,,,,,,23833.8,12208.8,,,,,,,1517108412.3,420087150.8,
UCSB-ACTS,,,,,34527.3,24176.0,17158.8,6867.6,,,,,2796689470.1,1309179407.6,629012500.6,107046621.2
JHU_IDD-CovidSP,,,55630.1,49627.6,46517.0,40869.1,,9042.5,,,6063130311.6,4671931436.0,4201003007.4,3270126819.9,,162625367.3
UCLA-SuEIR,69529.8,69304.0,62290.1,58451.5,47800.4,35625.7,19994.1,5774.4,8060805324.8,8787908588.9,7466941487.6,6286564486.5,4305789722.3,2661025461.6,817064111.1,87293350.9
IQVIA_ACOE-STAN,,,,,,,14798.9,4481.0,,,,,,,445521343.9,55272869.0
Geneva-DetGrowth,,,,,,,,3568.4,,,,,,,,34682215.4
CovidAnalytics-DELPHI,,,69044.2,64143.4,48758.5,40194.8,27599.4,13426.9,,,9479374170.9,8019241531.9,4808280611.7,3420527113.5,1594573138.7,424652796.3
UVA-Ensemble,,,,,,,,5370.0,,,,,,,,77095603.6
TTU-squider,,,,,52689.4,37279.2,25084.5,11505.8,,,,,5420495042.3,3128158974.7,1476319140.0,360943617.1
