,mean_abs_error_2020-12-28_2021-02-20,mean_abs_error_2021-01-04_2021-02-20,mean_abs_error_2021-01-11_2021-02-20,mean_abs_error_2021-01-18_2021-02-20,mean_abs_error_2021-01-25_2021-02-20,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-20,mean_sq_abs_error_2020-12-28_2021-02-20,mean_sq_abs_error_2021-01-04_2021-02-20,mean_sq_abs_error_2021-01-11_2021-02-20,mean_sq_abs_error_2021-01-18_2021-02-20,mean_sq_abs_error_2021-01-25_2021-02-20,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-20
USC-SI_kJalpha,67486.6,44916.3,21796.5,37032.0,17284.3,12965.6,6499.4,2522.3,14991266081.4,6651532507.3,3366179808.0,7674751224.9,985514436.4,488894151.3,225009911.4,30216809.7
LANL-GrowthRate,,,95057.9,56266.4,8793.2,5656.8,4568.3,1780.7,,,29394449932.7,14217209898.8,237114458.8,129932962.3,98785962.2,10067219.7
JHU_IDD-CovidSP,,,26003.3,34670.7,21767.9,12229.0,7076.0,4922.0,,,2512339051.6,5291566023.6,2212750043.2,692909931.3,306563108.9,145556866.8
LNQ-ens1,,,,,12715.3,6040.3,4064.1,1495.6,,,,,742157936.0,134829033.7,85898286.1,17790605.8
Karlen-pypm,,,,68039.3,29881.9,7197.1,4801.9,1775.7,,,,18047536487.6,4218614821.6,177271255.9,173964576.8,26530482.2
IEM_MED-CovidProject,,,,,22114.0,8708.0,4726.1,1593.1,,,,,1330695285.2,244723351.5,192489681.3,22549299.2
JHUAPL-Bucky,102822.4,57771.2,90667.9,54863.2,19612.5,15211.9,8154.4,4212.4,122684531633.5,21005705777.4,28708054320.7,9558048763.9,1624566760.5,1182093087.3,330849076.8,267854502.1
RobertWalraven-ESG,,,,,24664.4,7573.5,4732.8,1895.5,,,,,2161355302.1,156967517.5,128619499.0,35406144.2
UCLA-SuEIR,56549.9,59804.2,71411.3,38198.7,26037.7,20216.9,11210.2,,15535511865.8,22841354103.3,21675205181.2,10823817624.9,3529997477.2,1572522536.2,658134436.5,
OneQuietNight-ML,,,,,27000.4,13946.3,6195.3,2462.2,,,,,1335083175.4,371832419.0,201325997.8,29121928.0
COVIDhub-ensemble,,,,,28610.5,14471.7,6407.1,2270.6,,,,,2909941009.6,656610806.2,263554826.9,41573721.1
Covid19Sim-Simulator,51912.7,50994.6,89525.7,68888.5,36183.1,21116.7,9783.3,3532.0,26933296547.7,23777350150.1,29738060512.5,18727495555.9,4811531039.1,1366116739.5,561654810.5,61043873.4
Microsoft-DeepSTIA,,,,,44444.5,15925.9,5098.2,2048.6,,,,,7026276075.1,868025110.1,224892569.8,35575322.5
IowaStateLW-STEM,58010.6,35668.4,70524.9,72701.0,36964.2,19605.5,10562.6,4434.8,14424914203.0,5507709259.7,13792300338.9,19671921051.6,5448565826.3,1083790880.7,578514517.9,80529780.9
BPagano-RtDriven,,,,,31581.0,18137.7,5377.9,3255.7,,,,,5414241998.1,1554233008.5,157087274.0,63399204.7
Google_Harvard-CPF,,,,,38081.4,14947.3,7406.2,2448.8,,,,,7237651083.9,749799188.9,334506926.7,18583997.8
JHU_UNC_GAS-StatMechPool,,,,,34615.4,13350.4,7556.5,3559.7,,,,,3566095519.1,614380865.2,420350922.6,44411023.8
COVIDhub-baseline,50308.3,50423.5,85850.8,69373.1,37102.3,23281.8,10783.0,3639.4,17886892069.9,13927341281.7,24524881014.3,21382850991.6,5013621280.5,1843421488.9,583182202.9,60773727.5
