,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-15,mean_abs_error_2020-07-20_2020-08-15,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-15,mean_sq_abs_error_2020-07-20_2020-08-15,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-15
COVIDhub-baseline,12706.8,6329.9,7085.0,5208.0,3132.2,1181.4,542536758.3,121850926.1,342576441.1,170539280.5,50337326.5,6907449.6
USC-SI_kJalpha,17231.0,16013.4,13961.9,3005.9,2517.9,1084.0,1623898750.3,1309827202.8,950723368.0,46286954.8,21732971.2,10135389.8
USACE-ERDC_SEIR,19615.2,12969.9,9782.8,5829.3,2540.1,1149.4,997374678.7,390909327.6,452811357.1,148969508.4,37052344.9,9410449.7
UCLA-SuEIR,12832.6,13062.8,10739.4,6048.5,3711.1,1623.2,797908683.9,1117737719.0,503339624.5,125773100.7,51529522.8,7065745.9
LNQ-ens1,,,11127.1,3357.4,2119.4,921.7,,,644753057.1,58586665.8,17461043.7,8002552.7
COVIDhub-ensemble,,,7219.7,4064.1,2583.3,1088.5,,,280563123.2,89624683.3,32293102.1,6746011.0
LANL-GrowthRate,21270.9,18525.8,9056.6,6451.6,3596.7,1366.9,1882056176.3,2296035301.7,430658595.1,276521619.3,100242263.8,19016327.2
CovidAnalytics-DELPHI,18983.1,14314.8,11754.2,9438.7,6650.6,2548.0,881123238.5,460041737.8,307226572.3,299954111.0,169988669.2,21670434.5
JHU_IDD-CovidSP,,14969.7,8767.4,6959.6,4100.4,1546.1,,1036260355.6,367763317.7,167974706.1,41827343.8,5557360.7
IowaStateLW-STEM,19006.8,22467.6,13427.4,6547.6,3814.3,,2745049666.8,3176353241.9,1825659153.9,332017852.6,76357967.4,
DDS-NBDS,,,,5600.3,2853.2,1373.6,,,,132448216.9,46107489.3,13315131.5
OliverWyman-Navigator,,,,11809.3,3668.6,1100.7,,,,471413569.3,40614342.8,8623235.5
RobertWalraven-ESG,,,38201.9,9449.3,2644.9,1667.4,,,25328809501.8,508120265.6,24357530.4,15391235.2
Covid19Sim-Simulator,22363.3,22341.0,19732.1,15873.2,6181.6,,4257415006.3,4295120041.1,3050157952.7,1835336744.6,159911374.3,
CEID-Walk,,,,,,1139.3,,,,,,7111107.8
CovidActNow-SEIR_CAN,59416.2,,,,,,42158363022.9,,,,,
CU-select,,,,,,1153.8,,,,,,8593407.8
Geneva-DetGrowth,,,,,,1312.8,,,,,,6694859.4
Karlen-pypm,,,49834.0,17077.9,7690.8,2025.0,,,15404313247.5,1581914725.2,214415038.5,13670828.0
IHME-CurveFit,,,35729.1,25854.2,18345.8,9594.0,,,11814633741.2,6551886588.0,2294011667.1,486003873.1
UMich-RidgeTfReg,,,,,,1474.6,,,,,,6523231.3
