,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,919,895.6,912.0,903.0,915.8,1001.0,933.6,976.4,968.0,914.8,,933.7,,,876.0,937.5,898.1,896.7,,889.6,934.9,881.0,888.0,914.0,904.0,712.1,914.0,896.9,,-23.4,-7.0,-16.0,-3.2,82.0,14.6,57.4,49.0,-4.2,,14.7,,,-43.0,18.5,-20.9,-22.3,,-29.4,15.9,-38.0,-31.0,-5.0,-15.0,-206.9,-5.0,-22.1,,True,True,True,False,True,False,False,True,,True,,,False,True,True,True,,False,True,False,False,True,True,False,True,True,
Alaska,14,12.0,13.0,12.0,12.6,12.0,13.1,18.6,13.0,12.9,,11.2,,,,15.6,12.6,12.3,,12.7,12.4,12.0,13.0,12.3,13.0,14.7,12.0,12.5,,-2.0,-1.0,-2.0,-1.4,-2.0,-0.9,4.6,-1.0,-1.1,,-2.8,,,,1.6,-1.4,-1.7,,-1.3,-1.6,-2.0,-1.0,-1.7,-1.0,0.7,-2.0,-1.5,,True,False,True,False,True,False,True,True,,False,,,,True,True,True,,True,True,False,True,True,True,True,False,True,
Arizona,1580,1484.4,1595.0,1503.0,1583.4,1881.0,1693.1,,1687.0,,,1598.5,,,1592.0,1565.9,1655.8,1503.2,,1486.2,1517.1,1422.5,1529.0,1529.9,1592.0,921.5,1513.0,1494.7,1554.0,-95.6,15.0,-77.0,3.4,301.0,113.1,,107.0,,,18.5,,,12.0,-14.1,75.8,-76.8,,-93.8,-62.9,-157.5,-51.0,-50.1,12.0,-658.5,-67.0,-85.3,-26.0,True,True,True,False,False,,False,,,True,,,True,True,True,True,,True,True,False,True,True,True,False,True,True,True
Arkansas,259,264.4,266.0,271.0,265.5,316.0,213.4,296.4,261.0,282.9,,281.7,,,233.0,273.0,260.6,268.0,,238.5,279.6,242.0,252.0,249.9,265.0,204.9,264.0,257.3,,5.4,7.0,12.0,6.5,57.0,-45.6,37.4,2.0,23.9,,22.7,,,-26.0,14.0,1.6,9.0,,-20.5,20.6,-17.0,-7.0,-9.1,6.0,-54.1,5.0,-1.7,,False,False,False,False,False,False,True,False,,False,,,False,False,True,False,,False,False,False,False,False,False,False,True,True,
California,5899,5871.6,6087.0,5912.0,5985.1,6055.0,5885.5,6674.6,6159.0,5993.7,,5926.7,,,6111.0,6289.1,6024.7,5885.9,,5689.1,5909.5,5778.0,5930.0,5873.9,5926.0,5354.1,5920.0,5872.1,5983.0,-27.4,188.0,13.0,86.1,156.0,-13.5,775.6,260.0,94.7,,27.7,,,212.0,390.1,125.7,-13.1,,-209.9,10.5,-121.0,31.0,-25.1,27.0,-544.9,21.0,-26.9,84.0,False,True,False,False,True,False,False,False,,False,,,False,False,False,True,,False,True,False,False,True,True,False,True,True,False
Colorado,1674,1689.0,1708.0,1697.0,1693.9,1691.0,1711.7,1705.5,1686.0,1703.9,,1647.8,,,1706.0,1720.8,1708.8,1706.2,,1683.0,1688.0,1691.0,1676.0,1690.7,1685.0,1717.5,1689.0,1688.3,,15.0,34.0,23.0,19.9,17.0,37.7,31.5,12.0,29.9,,-26.2,,,32.0,46.8,34.8,32.2,,9.0,14.0,17.0,2.0,16.7,11.0,43.5,15.0,14.3,,False,False,False,False,False,False,True,False,,False,,,False,False,False,False,,True,True,False,True,False,True,False,False,True,
Connecticut,4311,4310.6,4355.0,4316.0,4314.7,4314.0,4367.8,4291.5,4307.0,,,4295.8,,,4332.0,4348.5,4317.4,4345.8,,4289.9,4309.6,4311.0,4299.0,4338.5,4304.0,4363.8,4316.0,4314.7,,-0.4,44.0,5.0,3.7,3.0,56.8,-19.5,-4.0,,,-15.2,,,21.0,37.5,6.4,34.8,,-21.1,-1.4,0.0,-12.0,27.5,-7.0,52.8,5.0,3.7,,False,False,False,False,False,False,False,,,False,,,False,False,False,False,,False,False,True,False,False,False,False,False,False,
Delaware,507,446.1,456.0,449.0,449.2,448.0,466.1,450.5,445.0,456.8,,448.5,,,454.0,460.8,456.8,453.6,,442.4,450.1,444.0,443.0,450.4,447.0,442.9,452.0,447.8,,-60.9,-51.0,-58.0,-57.8,-59.0,-40.9,-56.5,-62.0,-50.2,,-58.5,,,-53.0,-46.2,-50.2,-53.4,,-64.6,-56.9,-63.0,-64.0,-56.6,-60.0,-64.1,-55.0,-59.2,,True,True,True,True,True,True,False,True,,True,,,True,True,True,True,,False,True,False,False,True,True,False,True,True,
District of Columbia,548,548.4,552.0,551.0,550.4,549.0,550.5,568.1,543.0,559.1,,550.4,,,578.0,548.2,540.2,,,542.7,544.4,539.0,544.0,554.0,544.0,552.3,549.0,548.0,,0.4,4.0,3.0,2.4,1.0,2.5,20.1,-5.0,11.1,,2.4,,,30.0,0.2,-7.8,,,-5.3,-3.6,-9.0,-4.0,6.0,-4.0,4.3,1.0,-0.0,,False,False,False,False,False,False,False,False,,False,,,False,True,False,,,False,False,False,False,False,False,False,False,True,
Florida,3390,3358.1,3474.0,3363.0,3450.2,3797.0,3607.1,,3443.0,3410.3,,3442.2,,,3536.0,3493.7,3532.2,3321.1,,3442.9,3451.3,3290.0,3466.0,3354.1,3496.0,2364.4,3411.0,3378.8,3411.0,-31.9,84.0,-27.0,60.2,407.0,217.1,,53.0,20.3,,52.2,,,146.0,103.7,142.2,-68.9,,52.9,61.3,-100.0,76.0,-35.9,106.0,-1025.6,21.0,-11.2,21.0,False,True,False,False,False,,False,True,,False,,,False,False,False,False,,False,False,False,False,False,False,False,True,True,True
Georgia,2776,2807.6,2952.0,2837.0,2838.3,2821.0,2747.2,2825.5,2812.0,2921.0,2794.3,2834.8,,,2835.0,2827.6,3010.9,2814.7,,2703.5,2894.7,2765.5,2753.0,2806.6,2831.0,2498.5,2808.0,2807.1,2925.0,31.6,176.0,61.0,62.3,45.0,-28.8,49.5,36.0,145.0,18.3,58.8,,,59.0,51.6,234.9,38.7,,-72.5,118.7,-10.5,-23.0,30.6,55.0,-277.5,32.0,31.1,149.0,False,False,False,False,True,False,False,False,True,False,,,False,False,False,False,,False,False,True,True,True,False,False,False,True,False
Hawaii,18,17.0,18.0,17.0,18.0,21.0,18.0,20.5,18.0,,,16.4,,,,18.8,18.4,17.2,,16.7,17.0,17.0,18.0,17.2,17.0,23.0,18.0,17.1,,-1.0,0.0,-1.0,0.0,3.0,-0.0,2.5,0.0,,,-1.6,,,,0.8,0.4,-0.8,,-1.3,-1.0,-1.0,0.0,-0.8,-1.0,5.0,0.0,-0.9,,True,False,True,False,True,False,True,,,False,,,,True,True,True,,False,False,False,True,True,False,False,True,True,
Idaho,91,90.7,97.0,91.0,93.5,90.0,93.8,109.3,95.0,91.7,,96.2,,,91.0,100.5,98.9,90.0,,95.2,91.6,89.0,91.0,90.6,92.0,95.1,91.0,90.6,,-0.3,6.0,0.0,2.5,-1.0,2.8,18.3,4.0,0.7,,5.2,,,0.0,9.5,7.9,-1.0,,4.2,0.6,-2.0,0.0,-0.4,1.0,4.1,0.0,-0.4,,False,True,False,False,False,False,False,False,,False,,,True,False,False,False,,False,False,False,True,False,False,False,True,False,
Illinois,6873,6937.6,7051.0,6961.0,7000.7,6765.0,6798.3,7202.5,6798.0,6926.7,,6802.9,,,7304.0,7044.4,6937.6,6996.1,7291.5,7038.1,6933.3,7475.0,6900.0,6857.8,6856.0,6637.9,6955.0,6902.5,7011.0,64.6,178.0,88.0,127.7,-108.0,-74.7,329.5,-75.0,53.7,,-70.1,,,431.0,171.4,64.6,123.1,418.5,165.1,60.3,602.0,27.0,-15.2,-17.0,-235.1,82.0,29.5,138.0,False,False,False,False,False,False,False,True,,False,,,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False
Indiana,2616,2641.1,2652.0,2659.0,2645.8,2628.0,2645.6,2688.7,2622.0,,,2423.1,,,2549.0,2472.3,2629.2,2646.0,2751.0,2615.6,2642.8,2613.0,2631.0,2604.1,2629.0,2742.2,2698.0,2638.8,2749.0,25.1,36.0,43.0,29.8,12.0,29.6,72.7,6.0,,,-192.9,,,-67.0,-143.7,13.2,30.0,135.0,-0.4,26.8,-3.0,15.0,-11.9,13.0,126.2,82.0,22.8,133.0,False,False,False,True,False,False,True,,,False,,,False,False,True,False,False,True,False,True,True,True,True,False,False,True,False
Iowa,704,715.1,737.0,712.0,718.9,731.0,771.3,730.0,717.0,700.4,,713.8,,,712.0,753.5,721.7,734.4,,711.4,709.9,735.0,705.0,722.3,713.0,720.4,719.0,714.7,,11.1,33.0,8.0,14.9,27.0,67.3,26.0,13.0,-3.6,,9.8,,,8.0,49.5,17.7,30.4,,7.4,5.9,31.0,1.0,18.3,9.0,16.4,15.0,10.7,,False,True,False,False,False,False,False,True,,True,,,True,False,False,False,,True,True,False,True,False,True,False,False,True,
Kansas,268,267.3,281.0,267.0,269.1,274.0,265.7,280.4,261.0,269.0,,266.8,,,281.0,296.5,269.6,262.7,,260.8,271.3,266.0,265.0,265.4,267.0,204.7,267.0,266.9,,-0.7,13.0,-1.0,1.1,6.0,-2.3,12.4,-7.0,1.0,,-1.2,,,13.0,28.5,1.6,-5.3,,-7.2,3.3,-2.0,-3.0,-2.6,-1.0,-63.3,-1.0,-1.1,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Kentucky,554,549.1,560.0,549.0,558.3,552.0,548.9,626.9,563.0,555.9,,548.9,,,586.0,588.2,556.2,547.8,569.0,535.9,549.9,542.0,541.0,568.0,546.0,493.9,557.0,547.0,,-4.9,6.0,-5.0,4.3,-2.0,-5.1,72.9,9.0,1.9,,-5.1,,,32.0,34.2,2.2,-6.2,15.0,-18.1,-4.1,-12.0,-13.0,14.0,-8.0,-60.1,3.0,-7.0,,False,False,True,True,False,False,False,True,,False,,,False,False,True,False,False,False,True,False,False,False,False,False,True,False,
Louisiana,3190,3183.0,3200.0,3204.0,3184.4,3187.0,3192.2,3244.1,3164.0,3236.1,,3212.6,,,3147.0,3107.9,3179.7,3155.1,,3170.6,3212.3,3154.0,3162.0,3156.0,3179.0,2966.5,3150.0,3175.1,3224.0,-7.0,10.0,14.0,-5.6,-3.0,2.2,54.1,-26.0,46.1,,22.6,,,-43.0,-82.1,-10.3,-34.9,,-19.4,22.3,-36.0,-28.0,-34.0,-11.0,-223.5,-40.0,-14.9,34.0,False,False,True,True,True,False,False,False,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Maine,104,103.7,107.0,104.0,105.0,106.0,103.3,108.3,110.0,104.6,,106.9,,,104.0,111.7,105.5,105.0,,103.8,103.2,103.0,102.0,103.7,104.0,98.6,105.0,104.0,,-0.3,3.0,0.0,1.0,2.0,-0.7,4.3,6.0,0.6,,2.9,,,0.0,7.7,1.5,1.0,,-0.2,-0.8,-1.0,-2.0,-0.3,0.0,-5.4,1.0,0.0,,False,True,False,False,False,False,False,False,,False,,,True,False,False,False,,True,False,False,False,False,True,False,False,True,
Maryland,3157,3174.9,3231.0,3178.0,3188.8,3188.0,3194.8,3192.8,3168.0,3172.9,,3150.3,,,3313.0,3308.4,3156.3,3192.5,,3159.4,3144.1,3168.0,3149.0,3166.5,3153.0,3139.9,3247.0,3170.0,3279.0,17.9,74.0,21.0,31.8,31.0,37.8,35.8,11.0,15.9,,-6.7,,,156.0,151.4,-0.7,35.5,,2.4,-12.9,11.0,-8.0,9.5,-4.0,-17.1,90.0,13.0,122.0,False,False,False,False,False,False,True,True,,True,,,False,False,True,False,,True,True,True,True,True,True,True,False,True,False
Massachusetts,8041,8056.7,8085.0,8078.0,8026.6,7966.0,7954.2,7993.3,7959.0,,,7961.1,,,8200.0,8059.0,7991.1,8079.9,,7998.9,7995.6,8023.0,8008.0,8010.7,8000.0,7968.6,8038.0,8033.7,8110.0,16.7,45.0,38.0,-13.4,-74.0,-85.8,-46.7,-81.0,,,-78.9,,,160.0,19.0,-48.9,39.9,,-41.1,-44.4,-17.0,-32.0,-29.3,-40.0,-71.4,-2.0,-6.3,70.0,False,False,True,False,False,False,False,,,False,,,False,False,False,False,,False,False,False,False,False,False,False,True,True,False
