,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,2776,2881.0,2119.6,2227.0,2393.0,2618.7,,2736.5,2522.0,2292.9,2527.0,2021.9,2975.9,105.0,-656.4,-549.0,-383.0,-157.3,,-39.5,-254.0,-483.1,-249.0,-754.1,199.9,False,False,False,False,,True,False,False,False,False,False
Hawaii,18,17.0,18.0,17.0,,18.0,,17.0,593.0,18.8,17.0,18.8,21.9,-1.0,-0.0,-1.0,,0.0,,-1.0,575.0,0.8,-1.0,0.8,3.9,True,False,,True,,False,False,True,False,True,False
Idaho,91,108.1,91.2,84.0,85.0,107.2,,79.0,,92.3,95.0,88.0,94.6,17.1,0.2,-7.0,-6.0,16.2,,-12.0,,1.3,4.0,-3.0,3.6,True,True,True,True,,True,,True,True,True,True
Illinois,6873,8154.0,6367.6,7560.0,7209.0,7647.3,4080.5,6730.0,9215.0,7654.5,6827.0,6684.8,8368.9,1281.0,-505.4,687.0,336.0,774.3,-2792.5,-143.0,2342.0,781.5,-46.0,-188.2,1495.9,True,True,True,True,False,True,False,True,True,True,False
Indiana,2616,3068.9,2384.7,2691.0,2715.0,2813.7,1574.5,3434.5,3127.0,2516.6,2548.0,2595.3,3426.8,452.9,-231.3,75.0,99.0,197.7,-1041.5,818.5,511.0,-99.4,-68.0,-20.7,810.8,True,True,True,True,False,False,False,True,True,True,False
Iowa,704,966.0,541.8,740.0,608.0,847.1,,893.0,995.0,732.3,824.0,539.2,1113.0,262.0,-162.2,36.0,-96.0,143.1,,189.0,291.0,28.3,120.0,-164.8,409.0,True,True,True,True,,True,False,True,True,True,False
Kansas,268,253.6,273.5,332.0,319.0,238.8,,260.0,299.0,313.9,225.0,223.3,262.9,-14.4,5.5,64.0,51.0,-29.2,,-8.0,31.0,45.9,-43.0,-44.7,-5.1,True,False,False,False,,True,False,False,False,False,True
Kentucky,554,667.9,448.3,562.0,473.0,466.4,220.5,528.0,,604.0,475.0,647.5,575.2,113.9,-105.7,8.0,-81.0,-87.6,-333.5,-26.0,,50.0,-79.0,93.5,21.2,True,True,True,True,False,True,,True,True,True,True
Louisiana,3190,3662.4,2937.7,2853.0,3264.0,3459.6,,3313.0,3353.0,3135.8,3124.0,2895.0,3324.7,472.4,-252.3,-337.0,74.0,269.6,,123.0,163.0,-54.2,-66.0,-295.0,134.7,True,True,True,True,,True,True,True,True,True,True
Maine,104,116.9,97.7,121.0,147.0,139.2,,90.0,,94.0,127.0,123.8,98.6,12.9,-6.3,17.0,43.0,35.2,,-14.0,,-10.0,23.0,19.8,-5.4,True,False,False,False,,False,,True,False,False,True
