,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2776,2954.3,2898.1,3602.0,2833.9,2873.0,2613.7,2675.1,,2794.3,2862.1,2726.0,2738.1,2928.7,2706.0,2911.1,,2961.0,2742.0,2796.0,2841.0,2873.6,2862.0,2472.8,2759.5,2889.5,3057.0,178.3,826.0,57.9,97.0,-162.3,-100.9,,18.3,86.1,-50.0,-37.9,152.7,-70.0,135.1,,185.0,-34.0,20.0,65.0,97.6,86.0,-303.2,-16.5,113.5,281.0,False,True,True,True,True,,True,True,True,True,True,True,True,,False,True,True,True,True,True,False,True,True,False
Hawaii,18,17.0,17.0,27.0,19.6,17.0,17.9,22.6,,,17.4,,17.6,21.1,17.0,17.5,,17.0,17.0,23.0,33.0,17.5,19.0,22.6,17.0,17.7,,-1.0,9.0,1.6,-1.0,-0.1,4.6,,,-0.6,,-0.4,3.1,-1.0,-0.5,,-1.0,-1.0,5.0,15.0,-0.5,1.0,4.6,-1.0,-0.3,,False,False,False,True,False,,,True,,True,False,False,True,,False,False,False,False,True,False,False,False,True,
Idaho,91,94.4,93.6,136.0,94.6,88.0,93.4,117.3,95.7,,90.5,86.0,106.4,92.6,111.0,89.4,,97.3,87.0,89.0,92.0,90.6,93.0,95.7,91.0,91.6,,3.4,45.0,3.6,-3.0,2.4,26.3,4.7,,-0.5,-5.0,15.4,1.6,20.0,-1.6,,6.3,-4.0,-2.0,1.0,-0.4,2.0,4.7,0.0,0.6,,False,False,True,True,False,False,,True,False,False,True,False,True,,False,False,True,True,True,True,False,True,True,
Illinois,6873,7058.3,6974.5,9323.0,7090.3,6655.0,6782.0,7300.5,6885.4,,6705.7,7408.0,7208.2,6817.7,6706.0,7130.5,7400.0,6863.3,8424.5,7537.0,6787.0,6829.6,6765.0,6536.6,7424.0,6975.8,7247.0,185.3,2450.0,217.3,-218.0,-91.0,427.5,12.4,,-167.3,535.0,335.2,-55.3,-167.0,257.5,527.0,-9.7,1551.5,664.0,-86.0,-43.4,-108.0,-336.4,551.0,102.8,374.0,False,False,False,True,False,True,,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,False
Indiana,2616,2643.0,2618.3,3427.0,2648.1,2640.0,2698.2,2693.7,,,2450.7,2455.0,2461.9,2644.3,2605.0,2661.0,2722.0,2640.5,2655.0,2653.0,2621.0,2585.7,2611.0,2744.4,2652.0,2678.6,2806.0,27.0,811.0,32.1,24.0,82.2,77.7,,,-165.3,-161.0,-154.1,28.3,-11.0,45.0,106.0,24.5,39.0,37.0,5.0,-30.3,-5.0,128.4,36.0,62.6,190.0,False,False,True,False,False,,,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False
Iowa,704,739.3,729.5,1033.0,760.8,837.0,825.6,736.9,725.7,,759.7,706.0,818.6,775.1,725.0,798.5,,750.3,822.5,836.0,692.0,736.9,724.0,731.5,756.0,742.3,,35.3,329.0,56.8,133.0,121.6,32.9,21.7,,55.7,2.0,114.6,71.1,21.0,94.5,,46.3,118.5,132.0,-12.0,32.9,20.0,27.5,52.0,38.3,,False,False,False,False,True,True,,False,True,False,False,True,False,,False,False,False,True,True,True,True,False,False,
Kansas,268,267.3,264.8,405.0,267.0,268.0,264.6,261.6,275.5,,272.9,295.0,291.4,262.0,257.0,259.1,,261.4,260.0,273.0,256.0,265.6,259.0,196.2,260.0,267.8,,-0.7,137.0,-1.0,0.0,-3.4,-6.4,7.5,,4.9,27.0,23.4,-6.0,-11.0,-8.9,,-6.6,-8.0,5.0,-12.0,-2.4,-9.0,-71.8,-8.0,-0.2,,False,False,True,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,
Kentucky,554,552.9,546.8,756.0,575.1,588.0,556.1,700.8,588.3,,566.7,566.0,599.3,571.8,575.0,551.2,599.0,557.7,541.5,559.0,537.0,577.7,544.0,520.1,586.0,561.5,,-1.1,202.0,21.1,34.0,2.1,146.8,34.3,,12.7,12.0,45.3,17.8,21.0,-2.8,45.0,3.7,-12.5,5.0,-17.0,23.7,-10.0,-33.9,32.0,7.5,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Louisiana,3190,3158.9,3142.7,3707.0,3198.9,3188.0,3231.0,3221.5,,,3244.3,3159.0,3141.2,3419.1,3247.0,3100.8,,3239.3,3148.0,3156.0,3159.0,3163.1,3191.0,3002.9,3115.0,3195.2,,-31.1,517.0,8.9,-2.0,41.0,31.5,,,54.3,-31.0,-48.8,229.1,57.0,-89.2,,49.3,-42.0,-34.0,-31.0,-26.9,1.0,-187.1,-75.0,5.2,,False,True,True,False,False,,,False,True,False,False,False,False,,False,False,False,True,True,True,False,False,True,
Maine,104,101.9,101.6,148.0,109.6,111.0,95.9,115.5,113.4,,113.9,110.0,116.9,110.8,122.0,107.5,,103.8,105.0,105.0,109.0,104.1,107.0,109.0,109.0,106.1,,-2.1,44.0,5.6,7.0,-8.1,11.5,9.4,,9.9,6.0,12.9,6.8,18.0,3.5,,-0.2,1.0,1.0,5.0,0.1,3.0,5.0,5.0,2.1,,False,False,False,False,False,False,,False,False,False,False,False,False,,True,True,True,False,True,False,False,False,True,
