,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New Jersey,14948,13556.0,13455.9,15742.0,13195.3,12963.0,12905.1,13002.1,13446.0,,12989.4,13482.0,13130.6,13139.6,12948.0,13147.6,,13236.4,13217.0,13169.0,12937.0,13239.2,13212.0,12855.8,13223.0,13296.1,13663.0,-1392.0,794.0,-1752.7,-1985.0,-2042.9,-1945.9,-1502.0,,-1958.6,-1466.0,-1817.4,-1808.4,-2000.0,-1800.4,,-1711.6,-1731.0,-1779.0,-2011.0,-1708.8,-1736.0,-2092.2,-1725.0,-1651.9,-1285.0,True,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True
New Mexico,491,507.4,499.3,631.0,499.7,495.0,540.1,509.9,509.4,,538.4,479.0,492.4,481.3,498.0,506.9,,508.9,485.0,551.0,465.0,487.1,495.0,464.9,510.0,501.5,,16.4,140.0,8.7,4.0,49.1,18.9,18.4,,47.4,-12.0,1.4,-9.7,7.0,15.9,,17.9,-6.0,60.0,-26.0,-3.9,4.0,-26.1,19.0,10.5,,False,True,True,False,False,False,,False,True,True,True,True,True,,False,True,False,False,True,True,False,False,True,
New York,31938,32210.9,32127.9,35773.0,31341.0,31193.0,31050.2,31052.5,,,31579.8,31792.0,31342.9,31415.6,30985.0,31098.3,,31449.3,31250.0,24809.0,31130.0,31248.1,31354.0,32347.8,31007.0,31345.8,31947.0,272.9,3835.0,-597.0,-745.0,-887.8,-885.5,,,-358.2,-146.0,-595.1,-522.4,-953.0,-839.7,,-488.7,-688.0,-7129.0,-808.0,-689.9,-584.0,409.8,-931.0,-592.2,9.0,False,False,False,False,False,,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,True
North Carolina,1353,1317.7,1297.0,2071.0,1408.2,1840.0,1473.7,1406.0,1390.8,1513.3,1328.9,1286.0,1523.7,1410.2,1549.0,1308.8,,1383.6,1290.5,1378.0,1393.0,1389.0,1333.0,1213.4,1375.0,1337.9,,-35.3,718.0,55.2,487.0,120.7,53.0,37.8,160.3,-24.1,-67.0,170.7,57.2,196.0,-44.2,,30.6,-62.5,25.0,40.0,36.0,-20.0,-139.6,22.0,-15.1,,False,False,False,False,False,False,False,True,False,False,False,False,False,,True,False,True,False,False,True,False,True,True,
North Dakota,78,77.7,77.3,125.0,88.2,81.0,72.3,104.4,90.1,,86.6,87.0,96.3,85.3,83.0,86.9,,84.2,97.0,92.0,82.0,82.8,82.0,79.6,95.0,86.3,,-0.3,47.0,10.2,3.0,-5.7,26.4,12.1,,8.6,9.0,18.3,7.3,5.0,8.9,,6.2,19.0,14.0,4.0,4.8,4.0,1.6,17.0,8.3,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Ohio,2804,2893.3,2856.0,3382.0,2895.1,2770.0,2881.4,2774.4,2990.3,,2762.0,2922.0,3037.8,2889.6,2820.0,2918.2,3135.0,2872.5,2948.0,2958.0,2719.0,2828.5,2809.0,2803.6,2915.0,2886.2,2974.0,89.3,578.0,91.1,-34.0,77.4,-29.6,186.3,,-42.0,118.0,233.8,85.6,16.0,114.2,331.0,68.5,144.0,154.0,-85.0,24.5,5.0,-0.4,111.0,82.2,170.0,False,False,True,True,True,False,,True,False,False,True,True,False,False,True,False,False,True,True,True,True,False,True,False
Oklahoma,384,379.4,377.1,511.0,396.3,415.0,385.2,435.7,414.7,,407.6,367.0,424.5,421.6,419.0,370.5,,396.2,375.0,377.0,390.0,377.7,391.0,394.4,380.0,385.2,,-4.6,127.0,12.3,31.0,1.2,51.7,30.7,,23.6,-17.0,40.5,37.6,35.0,-13.5,,12.2,-9.0,-7.0,6.0,-6.3,7.0,10.4,-4.0,1.2,,False,False,False,True,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,True,
Oregon,202,200.1,197.4,261.0,197.5,212.0,176.2,263.8,204.5,,204.9,194.0,226.4,191.7,195.0,182.7,,203.4,178.0,178.0,177.0,189.6,190.0,202.5,194.0,187.3,,-1.9,59.0,-4.5,10.0,-25.8,61.8,2.5,,2.9,-8.0,24.4,-10.3,-7.0,-19.3,,1.4,-24.0,-24.0,-25.0,-12.4,-12.0,0.5,-8.0,-14.7,,False,False,False,False,False,False,,False,False,False,False,False,False,,True,False,False,False,False,False,True,False,False,
Pennsylvania,6603,6720.1,6663.8,7927.0,6723.0,6488.0,7010.2,6956.0,,,6610.1,6544.0,6649.8,6816.4,6831.0,6782.6,,6626.9,6763.5,6902.0,6496.0,6696.4,6572.0,6606.9,6779.0,6652.5,6860.0,117.1,1324.0,120.0,-115.0,407.2,353.0,,,7.1,-59.0,46.8,213.4,228.0,179.6,,23.9,160.5,299.0,-107.0,93.4,-31.0,3.9,176.0,49.5,257.0,False,False,True,False,False,,,True,True,True,False,False,False,,True,False,False,True,True,True,True,False,True,False
Rhode Island,927,946.3,933.6,1063.0,909.3,869.0,922.7,893.0,917.2,,942.2,930.0,839.8,893.6,911.0,958.2,,905.2,950.0,941.0,870.0,922.6,881.0,723.1,914.0,926.8,,19.3,136.0,-17.7,-58.0,-4.3,-34.0,-9.8,,15.2,3.0,-87.2,-33.4,-16.0,31.2,,-21.8,23.0,14.0,-57.0,-4.4,-46.0,-203.9,-13.0,-0.2,,False,True,False,True,False,True,,True,True,False,False,True,False,,False,False,True,False,True,False,False,True,True,
South Carolina,711,700.3,689.1,1044.0,767.3,1052.0,796.9,875.5,760.1,,800.6,675.0,744.0,750.5,863.0,679.3,,799.5,672.0,707.0,811.0,703.4,758.0,652.6,693.0,722.1,,-10.7,333.0,56.3,341.0,85.9,164.5,49.1,,89.6,-36.0,33.0,39.5,152.0,-31.7,,88.5,-39.0,-4.0,100.0,-7.6,47.0,-58.4,-18.0,11.1,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,True,False,False,False,False,
South Dakota,91,93.6,91.5,158.0,92.4,123.0,82.6,104.1,94.6,,92.5,82.0,107.0,88.9,88.0,86.8,,89.1,96.5,84.0,87.0,82.9,87.0,85.6,98.0,91.1,,2.6,67.0,1.4,32.0,-8.4,13.1,3.6,,1.5,-9.0,16.0,-2.1,-3.0,-4.2,,-1.9,5.5,-7.0,-4.0,-8.1,-4.0,-5.4,7.0,0.1,,False,True,False,False,False,False,,True,False,False,True,False,False,,True,False,False,False,False,False,False,False,True,
Tennessee,584,578.0,566.4,969.0,577.7,708.0,524.7,593.2,,,603.9,582.0,613.8,556.9,545.0,573.9,,588.7,538.0,550.0,652.0,550.3,579.0,514.7,549.0,551.8,,-6.0,385.0,-6.3,124.0,-59.3,9.2,,,19.9,-2.0,29.8,-27.1,-39.0,-10.1,,4.7,-46.0,-34.0,68.0,-33.7,-5.0,-69.3,-35.0,-32.2,,False,False,False,False,False,,,False,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,
Texas,2388,2249.6,2219.9,3478.0,2325.1,2631.0,2343.1,2502.9,2258.9,,2302.6,2274.0,2516.2,2318.8,2367.0,2231.9,,2300.0,2272.0,2272.0,2221.0,2206.5,2318.0,2242.8,2290.0,2305.4,2350.0,-138.4,1090.0,-62.9,243.0,-44.9,114.9,-129.1,,-85.4,-114.0,128.2,-69.2,-21.0,-156.1,,-88.0,-116.0,-116.0,-167.0,-181.5,-70.0,-145.2,-98.0,-82.6,-38.0,False,True,False,True,True,True,,True,True,True,True,True,False,,True,True,True,False,False,True,False,True,True,True
Utah,167,172.4,168.7,345.0,180.3,217.0,189.7,244.3,174.3,,180.7,162.0,216.9,170.3,182.0,167.5,,184.6,180.0,161.0,167.0,156.1,178.0,165.5,166.0,171.7,,5.4,178.0,13.3,50.0,22.7,77.3,7.3,,13.7,-5.0,49.9,3.3,15.0,0.5,,17.6,13.0,-6.0,0.0,-10.9,11.0,-1.5,-1.0,4.7,,False,False,False,False,False,False,,False,True,False,True,False,True,,False,False,False,True,False,False,True,True,True,
Vermont,56,55.0,55.0,71.0,57.8,55.0,57.5,68.4,58.8,,56.2,56.0,56.8,63.8,56.0,56.0,,57.3,55.0,56.0,64.0,58.5,57.0,53.7,55.0,56.2,,-1.0,15.0,1.8,-1.0,1.5,12.4,2.8,,0.2,0.0,0.8,7.8,0.0,-0.0,,1.3,-1.0,0.0,8.0,2.5,1.0,-2.3,-1.0,0.2,,False,False,False,False,False,False,,True,True,True,False,True,True,,False,False,True,False,False,False,False,False,True,
Virginia,1724,1683.4,1668.1,2335.0,1743.6,1886.0,1896.4,1921.9,1651.3,,1680.3,1806.0,1805.9,1654.4,1781.0,1729.6,,1647.3,1722.0,1727.0,1668.0,1677.2,1653.0,1570.8,1693.0,1711.3,,-40.6,611.0,19.6,162.0,172.4,197.9,-72.7,,-43.7,82.0,81.9,-69.6,57.0,5.6,,-76.7,-2.0,3.0,-56.0,-46.8,-71.0,-153.2,-31.0,-12.7,,False,True,False,False,False,False,,False,False,False,False,False,True,,False,True,True,False,False,False,False,True,True,
Washington,1310,1328.4,1316.0,1587.0,1315.5,1312.0,1257.8,1369.5,1365.6,,1269.0,1318.0,1309.8,1310.7,1398.0,1272.6,,1361.1,1270.0,1279.0,1353.0,1264.2,1325.0,1285.9,1298.0,1302.9,,18.4,277.0,5.5,2.0,-52.2,59.5,55.6,,-41.0,8.0,-0.2,0.7,88.0,-37.4,,51.1,-40.0,-31.0,43.0,-45.8,15.0,-24.1,-12.0,-7.1,,False,True,True,False,False,False,,False,True,True,True,False,False,,False,False,False,False,False,True,False,True,True,
West Virginia,93,95.4,94.6,125.0,97.3,89.0,85.0,102.3,102.4,,97.7,87.0,103.4,96.5,103.0,94.9,,97.5,88.0,91.0,102.0,99.9,95.0,96.0,96.0,97.4,,2.4,32.0,4.3,-4.0,-8.0,9.3,9.4,,4.7,-6.0,10.4,3.5,10.0,1.9,,4.5,-5.0,-2.0,9.0,6.9,2.0,3.0,3.0,4.4,,False,False,False,False,False,False,,False,False,False,False,False,True,,False,False,True,False,False,True,False,False,False,
Wisconsin,777,775.6,766.2,1055.0,788.4,812.0,784.2,752.6,,,787.2,798.0,865.6,769.7,861.0,780.9,840.5,758.1,787.0,791.0,741.0,756.6,755.0,672.2,785.0,788.8,,-1.4,278.0,11.4,35.0,7.2,-24.4,,,10.2,21.0,88.6,-7.3,84.0,3.9,63.5,-18.9,10.0,14.0,-36.0,-20.4,-22.0,-104.8,8.0,11.8,,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Wyoming,20,19.9,19.6,33.0,21.4,18.0,19.4,21.0,24.2,,16.9,18.0,21.8,23.9,22.0,21.2,,23.0,18.0,31.0,20.0,18.6,21.0,21.9,24.5,20.5,,-0.1,13.0,1.4,-2.0,-0.6,1.0,4.2,,-3.1,-2.0,1.8,3.9,2.0,1.2,,3.0,-2.0,11.0,0.0,-1.4,1.0,1.9,4.5,0.5,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,
US,126120,125877.6,124817.6,145030.0,125945.3,127024.0,124892.3,127535.0,126164.9,,124522.7,125962.0,126925.3,126920.9,125467.0,124109.5,,124992.7,125435.5,,134947.0,122837.7,124200.0,121417.6,124543.0,124608.9,126490.0,-242.4,18910.0,-174.7,904.0,-1227.7,1415.0,44.9,,-1597.3,-158.0,805.3,800.9,-653.0,-2010.5,,-1127.3,-684.5,,8827.0,-3282.3,-1920.0,-4702.4,-1577.0,-1511.1,370.0,False,True,False,False,False,True,,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False,False
