,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,PSI-DRAFT,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-PSI-DRAFT,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,919,1044.4,870.2,1040.4,708.0,705.6,1478.0,983.0,810.8,1316.3,125.4,-48.8,121.4,-211.0,-213.4,559.0,64.0,-108.2,397.3,True,False,False,False,True,True,False
Alaska,14,10.0,10.0,3.0,,10.3,10.0,13.3,11.6,13.2,-4.0,-4.0,-11.0,,-3.7,-4.0,-0.7,-2.4,-0.8,False,,True,False,True,True,True
Arizona,1580,1523.4,1259.3,2761.7,1242.0,1285.5,3003.5,2476.1,1479.8,2167.3,-56.6,-320.7,1181.7,-338.0,-294.5,1423.5,896.1,-100.2,587.3,False,False,False,False,False,False,False
Arkansas,259,139.0,126.2,115.2,175.0,185.0,292.0,140.1,184.7,165.2,-120.0,-132.8,-143.8,-84.0,-74.0,33.0,-118.9,-74.3,-93.8,False,True,True,True,True,True,True
California,5899,6309.1,5348.0,5921.3,4753.0,4817.9,6489.0,5397.5,6361.1,5924.9,410.1,-551.0,22.3,-1146.0,-1081.1,590.0,-501.5,462.1,25.9,True,False,False,False,False,False,True
Colorado,1674,2644.1,2196.6,2095.4,1435.0,1645.8,2054.0,1608.5,1784.4,2429.8,970.1,522.6,421.4,-239.0,-28.2,380.0,-65.5,110.4,755.8,True,True,True,True,True,True,True
Connecticut,4311,5991.0,5182.1,4759.3,3966.0,5151.8,4667.0,4658.2,3885.6,4798.5,1680.0,871.1,448.3,-345.0,840.8,356.0,347.2,-425.4,487.5,True,True,True,True,True,True,True
Delaware,507,694.1,567.6,519.8,430.0,451.8,646.0,538.6,394.3,716.8,187.1,60.6,12.8,-77.0,-55.2,139.0,31.6,-112.7,209.8,True,True,True,True,True,True,False
District of Columbia,548,734.4,624.4,570.5,551.0,535.1,646.0,553.7,519.4,689.6,186.4,76.4,22.5,3.0,-12.9,98.0,5.7,-28.6,141.6,True,True,True,True,True,True,True
Florida,3390,3449.0,2986.8,3931.1,2643.0,2997.3,3628.0,2783.3,2499.7,3480.2,59.0,-403.2,541.1,-747.0,-392.7,238.0,-606.7,-890.3,90.2,False,False,False,False,False,False,False
Georgia,2776,2804.9,2430.7,2287.6,1884.0,2034.6,2602.0,2160.7,1943.9,2893.6,28.9,-345.3,-488.4,-892.0,-741.4,-174.0,-615.3,-832.1,117.6,False,False,False,False,False,False,False
Hawaii,18,17.0,17.0,19.0,,18.2,17.0,22.6,19.2,24.8,-1.0,-1.0,1.0,,0.2,-1.0,4.6,1.2,6.8,False,,True,False,False,False,False
Idaho,91,108.1,97.1,81.0,76.0,98.1,79.0,109.0,85.2,92.7,17.1,6.1,-10.0,-15.0,7.1,-12.0,18.0,-5.8,1.7,True,True,True,True,False,True,True
Illinois,6873,8692.9,7278.7,8261.6,7038.5,6407.4,10598.0,7645.8,6001.1,9545.2,1819.9,405.7,1388.6,165.5,-465.6,3725.0,772.8,-871.9,2672.2,True,True,True,False,True,True,False
Indiana,2616,3174.3,2728.6,2322.7,2385.0,2500.2,4090.0,2426.7,2727.7,3890.0,558.3,112.6,-293.3,-231.0,-115.8,1474.0,-189.3,111.7,1274.0,True,True,True,False,True,True,False
