,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,919,847.9,630.2,1446.0,447.0,523.5,860.6,-71.1,-288.8,527.0,-472.0,-395.5,-58.4,False,False,False,True
Alaska,14,9.0,9.0,5.0,,12.2,14.3,-5.0,-5.0,-9.0,,-1.8,0.3,False,,True,True
Arizona,1580,1045.6,778.9,904.4,628.0,671.9,1090.1,-534.4,-801.1,-675.6,-952.0,-908.1,-489.9,False,False,False,True
Arkansas,259,272.4,195.8,155.8,208.0,136.8,216.8,13.4,-63.2,-103.2,-51.0,-122.2,-42.2,False,False,False,False
California,5899,6073.9,4568.7,4377.7,4388.0,3845.2,4833.4,174.9,-1330.3,-1521.3,-1511.0,-2053.8,-1065.6,False,False,False,False
Colorado,1674,2052.0,1579.9,1312.4,1324.0,1480.5,2417.9,378.0,-94.1,-361.6,-350.0,-193.5,743.9,True,True,True,False
Connecticut,4311,6458.9,4889.3,3987.2,3366.0,3925.6,4504.5,2147.9,578.3,-323.8,-945.0,-385.4,193.5,True,True,True,True
Delaware,507,624.9,450.1,503.1,338.0,360.9,543.8,117.9,-56.9,-3.9,-169.0,-146.1,36.8,True,False,False,True
District of Columbia,548,824.6,600.8,550.7,490.0,406.7,648.8,276.6,52.8,2.7,-58.0,-141.3,100.8,True,True,True,True
Florida,3390,3767.6,2835.6,3345.6,2319.0,2160.7,2987.2,377.6,-554.4,-44.4,-1071.0,-1229.3,-402.8,True,False,False,False
Georgia,2776,3289.7,2468.1,4234.3,2283.0,2139.6,2897.9,513.7,-307.9,1458.3,-493.0,-636.4,121.9,False,True,False,True
Hawaii,18,40.6,31.4,24.2,,23.9,37.2,22.6,13.4,6.2,,5.9,19.2,True,,True,True
Idaho,91,126.9,102.3,83.1,72.0,100.4,113.7,35.9,11.3,-7.9,-19.0,9.4,22.7,True,True,True,True
Illinois,6873,8000.1,5900.2,6117.1,5070.0,4825.6,6780.9,1127.1,-972.8,-755.9,-1803.0,-2047.4,-92.1,True,False,False,True
Indiana,2616,3638.4,2660.5,5350.6,1827.0,2101.9,3171.1,1022.4,44.5,2734.6,-789.0,-514.1,555.1,False,True,True,True
Iowa,704,702.6,500.2,1117.3,840.0,580.1,895.9,-1.4,-203.8,413.3,136.0,-123.9,191.9,False,False,False,False
Kansas,268,324.7,254.2,249.6,888.0,444.7,333.6,56.7,-13.8,-18.4,620.0,176.7,65.6,True,False,False,False
Kentucky,554,606.6,468.6,502.2,329.0,528.2,529.7,52.6,-85.4,-51.8,-225.0,-25.8,-24.3,True,False,True,True
Louisiana,3190,4235.6,3368.0,2814.3,2566.0,2926.3,3465.2,1045.6,178.0,-375.7,-624.0,-263.7,275.2,True,True,True,True
Maine,104,112.0,90.5,82.0,61.0,88.1,138.7,8.0,-13.5,-22.0,-43.0,-15.9,34.7,False,False,False,False
Maryland,3157,4196.0,3058.7,2174.3,2153.0,2285.2,3135.3,1039.0,-98.3,-982.7,-1004.0,-871.8,-21.7,True,True,True,True
Massachusetts,8041,12686.1,9298.7,7645.3,7156.0,7063.3,8911.0,4645.1,1257.7,-395.7,-885.0,-977.7,870.0,True,True,True,True
Michigan,6153,9851.6,7589.2,6954.2,5046.0,5897.5,7904.6,3903.6,1641.2,1006.2,-902.0,-50.5,1956.6,True,True,True,True
Minnesota,1452,1565.1,1117.6,2016.8,969.0,638.5,1420.6,113.1,-334.4,564.8,-483.0,-813.5,-31.4,False,False,False,True
Mississippi,1035,900.1,667.2,479.0,344.0,587.8,834.2,-134.9,-367.8,-556.0,-691.0,-447.2,-200.8,False,False,False,False
Missouri,1014,1151.0,850.6,994.6,869.0,606.0,1041.6,240.0,-60.4,83.6,-42.0,-305.0,130.6,True,True,False,True
Montana,22,31.7,25.6,13.2,16.0,22.5,33.4,9.7,3.6,-8.8,-6.0,0.5,11.4,True,True,True,False
Nebraska,267,250.9,183.4,341.3,1302.0,257.5,278.6,-16.1,-83.6,74.3,1035.0,-9.5,11.6,False,False,True,True
Nevada,500,666.6,507.2,466.4,475.0,431.5,574.9,166.6,7.2,-33.6,-25.0,-68.5,74.9,True,True,True,True
New Hampshire,367,290.3,210.6,163.1,152.0,153.9,286.7,-76.7,-156.4,-203.9,-215.0,-213.1,-80.3,False,False,False,False
New Jersey,14948,23058.9,17133.1,15744.4,11750.0,12441.7,14628.3,8110.9,2185.1,796.4,-3198.0,-2506.3,-319.7,True,True,True,True
New Mexico,491,559.6,400.2,408.1,341.0,274.2,475.3,68.6,-90.8,-82.9,-150.0,-216.8,-15.7,False,False,False,True
New York,31938,43871.6,36394.6,32084.0,25622.0,30410.1,33069.1,12720.6,5243.6,933.0,-5529.0,-740.9,1918.1,True,True,True,True
North Carolina,1353,1298.3,961.1,1126.5,731.0,841.4,1063.1,-54.7,-391.9,-226.5,-622.0,-511.6,-289.9,False,False,False,False
