,actual_deaths,Baseline,IHME-CurveFit,error-Baseline,error-IHME-CurveFit,beat_baseline-IHME-CurveFit
Alabama,919,787.9,290.0,-131.1,-629.0,False
Alaska,14,18.9,16.5,4.9,2.5,True
Arizona,1580,765.6,479.7,-814.4,-1100.3,False
Arkansas,259,157.3,130.9,-101.7,-128.1,False
California,5899,6470.3,1743.4,571.3,-4155.6,False
Colorado,1674,1711.3,648.7,37.3,-1025.3,False
Connecticut,4311,6775.1,2884.0,2464.1,-1427.0,True
Delaware,507,382.4,135.9,-124.6,-371.1,False
District of Columbia,548,549.4,213.1,1.4,-334.9,False
Florida,3390,3859.3,1536.6,469.3,-1853.4,False
Georgia,2776,3190.7,1981.0,414.7,-795.0,False
Hawaii,18,19.9,26.1,1.9,8.1,False
Idaho,91,211.6,61.2,120.6,-29.8,True
Illinois,6873,6908.6,2093.0,35.6,-4780.0,False
Indiana,2616,2720.7,930.5,104.7,-1685.5,False
Iowa,704,410.1,442.0,-293.9,-262.0,True
Kansas,268,457.7,272.7,189.7,4.7,True
Kentucky,554,629.0,466.2,75.0,-87.8,False
Louisiana,3190,5790.9,1703.8,2600.9,-1486.2,True
Maine,104,181.9,53.3,77.9,-50.7,True
Maryland,3157,2678.9,1111.5,-478.1,-2045.5,False
Massachusetts,8041,11070.3,3897.9,3029.3,-4143.1,False
Michigan,6153,11380.7,3361.2,5387.7,-2631.8,True
Minnesota,1452,764.9,301.3,-687.1,-1150.7,False
Mississippi,1035,780.0,398.5,-255.0,-636.5,False
Missouri,1014,997.4,385.5,26.4,-585.5,False
Montana,22,49.4,14.2,27.4,-7.8,True
Nebraska,267,136.4,245.3,-130.6,-21.7,True
Nevada,500,611.4,240.0,111.4,-260.0,False
New Hampshire,367,185.9,70.3,-181.1,-296.7,False
New Jersey,14948,24194.6,7116.0,10389.6,-6689.0,True
New Mexico,491,340.9,104.7,-150.1,-386.3,False
New York,32051,69247.7,23741.0,37313.7,-8193.0,True
North Carolina,1353,1294.1,309.8,-58.9,-1043.2,False
North Dakota,78,28.7,275.7,-49.3,197.7,False
Ohio,2804,2619.9,770.6,-184.1,-2033.4,False
Oklahoma,384,573.7,306.2,189.7,-77.8,True
Oregon,202,290.9,120.3,88.9,-81.7,True
Pennsylvania,6603,8363.3,2323.2,1760.3,-4279.8,False
Rhode Island,927,1007.6,577.8,77.6,-352.2,False
South Carolina,711,494.6,261.3,-216.4,-449.7,False
South Dakota,91,16.9,98.3,-74.1,7.3,True
Tennessee,584,562.0,234.7,-22.0,-349.3,False
Texas,2603,2530.4,1165.7,-16.6,-1381.3,False
Utah,167,115.7,222.9,-51.3,55.9,False
Vermont,56,146.4,42.8,90.4,-13.2,True
Virginia,1724,1617.6,771.3,-106.4,-952.7,False
Washington,1310,1917.4,779.2,607.4,-530.8,True
West Virginia,93,136.3,34.5,43.3,-58.5,False
Wisconsin,777,969.1,340.3,192.1,-436.7,False
Wyoming,20,21.7,243.4,1.7,223.4,False
US,126448,187412.3,65974.1,62480.3,-58957.9,True
