,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,919,869.1,1199.0,901.9,894.6,1007.0,787.5,996.2,1024.0,,,831.8,781.0,1027.7,854.5,857.9,,,757.5,933.0,1170.0,843.7,854.0,886.5,864.6,932.6,-49.9,280.0,-17.1,-24.4,88.0,-131.5,77.2,105.0,,,-87.2,-138.0,108.7,-64.5,-61.1,,,-161.5,14.0,251.0,-75.3,-65.0,-32.5,-54.4,13.6,False,True,True,False,False,False,False,,,False,False,False,False,False,,,False,True,False,False,False,True,False,True
Alaska,14,10.0,19.0,10.1,11.8,10.0,12.2,36.8,10.0,15.8,,10.2,,23.4,12.4,10.3,,11.9,25.0,,22.0,10.6,14.0,10.1,9.5,10.6,-4.0,5.0,-3.9,-2.2,-4.0,-1.8,22.8,-4.0,1.8,,-3.8,,9.4,-1.6,-3.7,,-2.1,11.0,,8.0,-3.4,0.0,-3.9,-4.5,-3.4,False,True,True,False,True,False,False,True,,True,,False,True,True,,True,False,,False,True,True,True,False,True
Arizona,1580,1462.4,1870.0,1460.0,1781.8,2304.0,1113.8,1755.6,2550.0,,,1859.9,1475.0,1715.5,1861.4,1484.3,,2118.0,1302.5,1642.0,2509.0,1582.3,2130.0,1753.3,1375.1,1475.5,-117.6,290.0,-120.0,201.8,724.0,-466.2,175.6,970.0,,,279.9,-105.0,135.5,281.4,-95.7,,538.0,-277.5,62.0,929.0,2.3,550.0,173.3,-204.9,-104.5,False,False,False,False,False,False,False,,,False,True,False,False,True,,False,False,True,False,True,False,False,False,True
Arkansas,259,214.0,419.0,217.0,244.0,415.0,208.8,386.3,218.0,255.5,,261.6,194.0,319.3,227.8,207.2,,260.1,185.0,195.0,509.0,221.7,245.0,246.9,188.3,218.6,-45.0,160.0,-42.0,-15.0,156.0,-50.2,127.3,-41.0,-3.5,,2.6,-65.0,60.3,-31.2,-51.8,,1.1,-74.0,-64.0,250.0,-37.3,-14.0,-12.1,-70.7,-40.4,False,True,True,False,False,False,True,True,,True,False,False,True,False,,True,False,False,False,True,True,True,False,True
California,5899,5946.3,8452.0,5992.0,6157.0,7524.0,5195.3,7104.7,6282.0,6073.0,,6253.1,5993.0,7522.9,5524.0,5760.9,,5566.5,5642.0,5870.0,7513.0,5773.0,5904.0,6323.4,5549.5,5918.8,47.3,2553.0,93.0,258.0,1625.0,-703.7,1205.7,383.0,174.0,,354.1,94.0,1623.9,-375.0,-138.1,,-332.5,-257.0,-29.0,1614.0,-126.0,5.0,424.4,-349.5,19.8,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,True,False,False,True,False,False,True
Colorado,1674,1761.3,2185.0,1779.0,1740.8,1682.0,1603.0,1743.8,1712.0,1799.9,,1787.3,1696.0,1849.7,1701.2,1760.2,,1675.7,1596.5,1801.0,1741.0,1913.9,1676.0,1621.7,1658.2,1789.3,87.3,511.0,105.0,66.8,8.0,-71.0,69.8,38.0,125.9,,113.3,22.0,175.7,27.2,86.2,,1.7,-77.5,127.0,67.0,239.9,2.0,-52.3,-15.8,115.3,False,False,True,True,True,True,True,False,,False,True,False,True,True,,True,True,False,True,False,True,True,True,False
Connecticut,4311,4433.9,5079.0,4487.5,4363.5,4292.0,4258.1,4371.3,4314.0,,,4242.2,4363.0,4487.3,4410.8,4452.4,,4322.6,4143.5,4323.0,4193.0,4595.7,4292.0,4041.8,4260.7,4393.5,122.9,768.0,176.5,52.5,-19.0,-52.9,60.3,3.0,,,-68.8,52.0,176.3,99.8,141.4,,11.6,-167.5,12.0,-118.0,284.7,-19.0,-269.2,-50.3,82.5,False,False,True,True,True,True,True,,,True,True,False,True,False,,True,False,True,True,False,True,False,True,True
Delaware,562,489.4,640.0,477.0,455.5,444.0,411.2,454.3,450.0,454.3,,426.1,455.0,501.7,434.8,467.1,,448.9,495.5,494.0,463.0,457.4,453.0,423.2,467.9,472.7,53.4,204.0,41.0,19.5,8.0,-24.8,18.3,14.0,18.3,,-9.9,19.0,65.7,-1.2,31.1,,12.9,59.5,58.0,27.0,21.4,17.0,-12.8,31.9,36.7,False,True,True,True,True,True,True,True,,True,True,False,True,True,,True,False,False,True,True,True,True,True,True
District of Columbia,548,554.7,682.0,546.1,557.9,548.0,508.6,567.9,546.0,533.3,,537.2,604.0,566.6,549.1,,,543.6,449.0,562.0,536.0,636.5,534.0,540.2,533.9,548.7,6.7,134.0,-1.9,9.9,0.0,-39.4,19.9,-2.0,-14.7,,-10.8,56.0,18.6,1.1,,,-4.4,-99.0,14.0,-12.0,88.5,-14.0,-7.8,-14.1,0.7,False,True,False,True,False,False,True,False,,False,False,False,True,,,True,False,False,False,False,False,False,False,True
Florida,3390,3411.4,5639.0,3411.3,3530.8,4263.0,2824.8,3350.2,3502.0,,,3252.4,3403.0,4235.6,3447.5,3166.8,,3677.1,3199.5,3281.0,4674.0,3417.6,3630.0,3113.8,3234.3,3437.9,21.4,2249.0,21.3,140.8,873.0,-565.2,-39.8,112.0,,,-137.6,13.0,845.6,57.5,-223.2,,287.1,-190.5,-109.0,1284.0,27.6,240.0,-276.2,-155.7,47.9,False,True,False,False,False,False,False,,,False,True,False,False,False,,False,False,False,False,False,False,False,False,False
