,actual_deaths,Baseline,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,919,1099.3,1189.6,776.6,703.2,1153.5,180.3,270.6,-142.4,-215.8,234.5,False,True,False,False
Alaska,14,16.9,5.0,10.7,13.9,14.4,2.9,-9.0,-3.3,-0.1,0.4,False,False,True,True
Arizona,1580,1729.1,2023.7,1036.8,1021.8,2150.0,149.1,443.7,-543.2,-558.2,570.0,False,False,False,False
Arkansas,259,193.9,180.8,199.1,215.3,243.9,-65.1,-78.2,-59.9,-43.7,-15.1,False,True,True,True
California,5899,6144.6,5437.8,4169.9,6004.0,5103.3,245.6,-461.2,-1729.1,105.0,-795.7,False,False,True,False
Colorado,1674,1855.6,1598.4,1513.0,1680.9,2007.2,181.6,-75.6,-161.0,6.9,333.2,True,True,True,False
Connecticut,4311,6608.1,4469.8,4521.9,4271.8,4756.4,2297.1,158.8,210.9,-39.2,445.4,True,True,True,True
Delaware,507,522.7,396.5,394.8,422.6,535.3,15.7,-110.5,-112.2,-84.4,28.3,False,False,False,False
District of Columbia,548,816.7,530.4,655.7,539.1,700.6,268.7,-17.6,107.7,-8.9,152.6,True,True,True,True
Florida,3390,4066.1,4369.4,2827.7,2591.9,3682.3,676.1,979.4,-562.3,-798.1,292.3,False,True,False,True
Georgia,2776,2928.3,3226.5,2374.5,2599.0,2927.3,152.3,450.5,-401.5,-177.0,151.3,False,False,False,True
Hawaii,18,17.0,19.0,18.0,24.1,28.9,-1.0,1.0,-0.0,6.1,10.9,False,True,False,False
Idaho,91,87.6,75.1,91.8,105.2,93.6,-3.4,-15.9,0.8,14.2,2.6,False,True,False,True
Illinois,6873,8809.4,6998.6,5246.5,6259.1,9288.4,1936.4,125.6,-1626.5,-613.9,2415.4,True,True,True,False
Indiana,2616,4086.3,3632.9,2442.5,2572.1,4696.0,1470.3,1016.9,-173.5,-43.9,2080.0,True,True,True,False
Iowa,704,820.4,759.0,413.6,1449.9,1322.6,116.4,55.0,-290.4,745.9,618.6,True,False,False,False
Kansas,268,379.7,356.4,244.7,678.6,333.4,111.7,88.4,-23.3,410.6,65.4,True,True,False,True
Kentucky,554,653.7,639.3,415.1,649.0,572.6,99.7,85.3,-138.9,95.0,18.6,True,False,True,True
Louisiana,3190,4164.9,3193.2,2942.9,3344.7,3454.8,974.9,3.2,-247.1,154.7,264.8,True,True,True,True
Maine,104,112.0,90.3,143.5,114.9,120.3,8.0,-13.7,39.5,10.9,16.3,False,False,False,False
Maryland,3157,4133.1,2534.1,3346.9,2874.3,3346.7,976.1,-622.9,189.9,-282.7,189.7,True,True,True,True
Massachusetts,8041,11664.7,7477.2,7272.6,7242.6,8684.1,3623.7,-563.8,-768.4,-798.4,643.1,True,True,True,True
Michigan,6153,7997.3,6133.4,5718.8,6386.6,6691.4,2072.3,208.4,-206.2,461.6,766.4,True,True,True,True
Minnesota,1452,1675.1,1877.1,1259.0,1511.8,2064.5,223.1,425.1,-193.0,59.8,612.5,False,True,True,False
Mississippi,1035,1300.9,1102.2,815.9,713.7,1554.4,265.9,67.2,-219.1,-321.3,519.4,True,True,False,False
Missouri,1014,1339.6,1484.1,823.1,783.8,1468.9,427.6,572.1,-88.9,-128.2,556.9,False,True,True,False
Montana,22,16.0,14.0,16.2,22.0,24.2,-6.0,-8.0,-5.8,-0.0,2.2,False,True,True,True
Nebraska,267,172.3,205.9,132.4,580.7,243.9,-94.7,-61.1,-134.6,313.7,-23.1,True,False,False,True
Nevada,500,666.6,495.4,464.0,483.3,643.1,166.6,-4.6,-36.0,-16.7,143.1,True,True,True,True
New Hampshire,367,455.3,215.3,236.1,250.2,388.5,88.3,-151.7,-130.9,-116.8,21.5,False,False,False,True
New Jersey,14948,18753.1,14525.9,12065.5,13308.3,14938.6,5511.1,1283.9,-1176.5,66.3,1696.6,True,True,True,True
New Mexico,491,536.0,371.6,344.6,326.8,550.4,45.0,-119.4,-146.4,-164.2,59.4,False,False,False,False
New York,32051,39895.9,31556.2,30828.6,37306.8,32494.6,8830.9,491.2,-236.4,6241.8,1429.6,True,True,True,True
North Carolina,1353,1455.4,1129.8,1137.9,925.2,1215.2,102.4,-223.2,-215.1,-427.8,-137.8,False,False,False,False
North Dakota,78,103.6,78.5,70.7,83.4,138.4,25.6,0.5,-7.3,5.4,60.4,True,True,True,False
Ohio,2804,3411.9,2755.1,2350.9,2258.7,3134.1,607.9,-48.9,-453.1,-545.3,330.1,True,True,True,True
Oklahoma,384,505.1,452.8,417.0,454.6,504.2,121.1,68.8,33.0,70.6,120.2,True,True,True,True
Oregon,202,250.4,200.7,221.7,219.4,208.8,48.4,-1.3,19.7,17.4,6.8,True,True,True,True
Pennsylvania,6603,11252.9,9562.2,7221.8,5198.0,8719.4,4649.9,2959.2,618.8,-1405.0,2116.4,True,True,True,True
Rhode Island,927,1121.4,672.4,720.4,813.2,1046.0,194.4,-254.6,-206.6,-113.8,119.0,False,False,True,True
South Carolina,711,715.0,712.4,594.5,519.6,848.4,4.0,1.4,-116.5,-191.4,137.4,True,False,False,False
South Dakota,91,123.1,125.9,138.4,62.5,126.9,32.1,34.9,47.4,-28.5,35.9,False,False,True,False
Tennessee,584,469.3,479.7,296.8,480.0,380.7,-114.7,-104.3,-287.2,-104.0,-203.3,True,False,True,False
Texas,2603,2575.1,2283.8,1811.7,2027.0,3268.3,36.1,-255.2,-727.3,-512.0,729.3,False,False,False,False
Utah,167,183.6,139.4,122.5,121.2,199.7,16.6,-27.6,-44.5,-45.8,32.7,False,False,False,False
Vermont,56,53.0,52.3,59.4,74.8,76.0,-3.0,-3.7,3.4,18.8,20.0,False,False,False,False
Virginia,1724,2066.4,1363.0,1743.6,1699.5,2153.0,342.4,-361.0,19.6,-24.5,429.0,False,True,True,False
Washington,1310,1596.1,1114.7,1286.9,1327.8,1287.4,286.1,-195.3,-23.1,17.8,-22.6,True,True,True,True
West Virginia,93,95.1,74.6,97.5,80.6,114.9,2.1,-18.4,4.5,-12.4,21.9,False,False,False,False
Wisconsin,777,818.3,646.7,648.1,863.9,650.6,41.3,-130.3,-128.9,86.9,-126.4,False,False,False,False
Wyoming,20,7.0,6.0,12.2,15.4,17.2,-13.0,-14.0,-7.8,-4.6,-2.8,False,True,True,True
US,126448,160742.0,129034.3,110324.7,122314.9,140567.7,37380.0,5672.3,-13037.3,-1047.1,17205.7,True,True,True,True
