,count,mean,median,std,min,25%,75%,max
UCLA-SuEIR,51.0,147036.8,8913.5,500334.0,0.4,298.0,28280.0,3253788.8
IowaStateLW-STEM,51.0,175338.6,18360.2,526395.0,8.9,2470.5,88258.0,3455881.0
LANL-GrowthRate,51.0,189511.9,7063.7,761505.8,0.0,793.7,45173.3,5316448.9
Baseline_0.98,51.0,192005.6,3670.4,851564.3,1.0,372.7,26462.0,5991860.2
IHME-CurveFit,51.0,228847.7,6205.0,715491.4,1.0,502.7,80364.9,4521747.1
YYG-ParamSearch,51.0,357910.8,11431.9,1101525.3,0.5,626.2,197256.9,7140909.5
Auquan-SEIR,51.0,451673.0,14161.0,2127962.4,9.0,1460.0,103045.0,14961424.0
USACE-ERDC_SEIR,51.0,667738.3,13858.9,2495278.2,1.5,631.2,123329.4,15959095.3
MIT_CovidAnalytics-DELPHI,51.0,742064.4,14161.0,2705706.9,0.0,612.5,216754.0,18498601.0
Baseline,51.0,944990.0,3481.0,3540244.4,1.0,239.0,169570.2,24119324.2
PSI-DRAFT,51.0,1199660.7,30276.0,3956786.3,1.0,936.5,289016.5,22090000.0
