,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3572,4077.7,3239.2,2757.5,3204.0,,3165.8,505.7,-332.8,-814.5,-368.0,,-406.2,True,False,True,,True
Alaska,121,101.3,107.5,37.4,,,67.6,-19.7,-13.5,-83.6,,,-53.4,True,False,,,False
Arizona,6624,8360.0,6381.9,7062.3,7428.0,,7165.5,1736.0,-242.1,438.3,804.0,,541.5,True,True,True,,True
Arkansas,2449,2031.1,1604.7,2327.1,1823.0,,1582.2,-417.9,-844.3,-121.9,-626.0,,-866.8,False,True,False,,False
California,19116,23017.0,20368.2,36199.6,20742.0,,20277.2,3901.0,1252.2,17083.6,1626.0,,1161.2,True,False,True,,True
Colorado,2983,2250.6,2157.5,2358.0,2271.0,,2112.7,-732.4,-825.5,-625.0,-712.0,,-870.3,False,True,True,,False
Connecticut,4961,4529.3,4568.5,4614.5,4598.0,,4536.9,-431.7,-392.5,-346.5,-363.0,,-424.1,True,True,True,,True
Delaware,763,655.4,654.1,679.1,669.0,,647.7,-107.6,-108.9,-83.9,-94.0,,-115.3,False,True,True,,False
District of Columbia,678,631.7,645.5,911.5,647.0,,631.8,-46.3,-32.5,233.5,-31.0,,-46.2,True,False,True,,True
Florida,18442,21327.6,14677.8,24316.7,18438.0,,18832.2,2885.6,-3764.2,5874.7,-4.0,,390.2,False,False,True,,True
Georgia,9424,11672.6,8742.4,12098.3,8210.0,,9384.2,2248.6,-681.6,2674.3,-1214.0,,-39.8,True,False,True,,True
Hawaii,240,268.7,463.1,63.1,,,178.3,28.7,223.1,-176.9,,,-61.7,False,False,,,False
Idaho,913,1027.6,717.1,1336.7,835.0,,684.8,114.6,-195.9,423.7,-78.0,,-228.2,False,False,True,,False
Illinois,12838,10015.1,10133.7,14727.7,9308.0,,9267.6,-2822.9,-2704.3,1889.7,-3530.0,,-3570.4,True,True,False,,False
Indiana,5663,4203.9,4318.7,6151.6,4224.0,,3949.8,-1459.1,-1344.3,488.6,-1439.0,,-1713.2,True,True,True,,False
Iowa,2375,2090.1,3389.6,3027.9,2027.0,,1697.0,-284.9,1014.6,652.9,-348.0,,-678.0,False,False,False,,False
Kansas,1529,744.7,956.1,946.0,681.0,,729.5,-784.3,-572.9,-583.0,-848.0,,-799.5,True,True,False,,False
Kentucky,1885,1661.9,1753.4,3577.5,1318.0,,1625.3,-223.1,-131.6,1692.5,-567.0,,-259.7,True,False,False,,False
Louisiana,6391,7309.6,5686.1,7894.6,7292.0,,7249.4,918.6,-704.9,1503.6,901.0,,858.4,True,False,True,,True
Maine,191,144.9,186.6,177.7,254.0,,144.2,-46.1,-4.4,-13.3,63.0,,-46.8,True,True,False,,False
Maryland,4602,4536.3,4145.4,4351.4,4008.0,,4107.0,-65.7,-456.6,-250.6,-594.0,,-495.0,False,False,False,,False
Massachusetts,10676,10694.7,9899.4,12180.3,10179.0,,9583.6,18.7,-776.6,1504.3,-497.0,,-1092.4,False,False,False,,False
Michigan,9467,7892.3,7736.2,9899.3,7715.0,,7146.0,-1574.7,-1730.8,432.3,-1752.0,,-2321.0,False,True,False,,False
Minnesota,3580,2533.6,2787.8,4927.1,2504.0,,2578.4,-1046.4,-792.2,1347.1,-1076.0,,-1001.6,True,False,False,,True
Mississippi,3779,5025.3,3750.0,3963.0,4600.0,,3885.7,1246.3,-29.0,184.0,821.0,,106.7,True,True,True,,True
Missouri,3844,2561.6,2646.1,5147.5,2148.0,,2115.7,-1282.4,-1197.9,1303.5,-1696.0,,-1728.3,True,False,False,,False
Montana,669,284.0,267.4,106.6,256.0,,203.6,-385.0,-401.6,-562.4,-413.0,,-465.4,False,False,False,,False
Nebraska,989,572.0,667.3,903.4,582.0,,492.8,-417.0,-321.7,-85.6,-407.0,,-496.2,True,True,True,,False
Nevada,2119,2652.0,1985.6,3486.7,2347.0,,2500.2,533.0,-133.4,1367.7,228.0,,381.2,True,False,True,,True
New Hampshire,523,470.6,455.2,509.4,531.0,,482.4,-52.4,-67.8,-13.6,8.0,,-40.6,False,True,True,,True
New Jersey,16965,15821.3,16115.1,16311.9,16314.0,,16134.7,-1143.7,-849.9,-653.1,-651.0,,-830.3,True,True,True,,True
New Mexico,1527,1091.4,1000.3,1592.6,1108.0,,931.0,-435.6,-526.7,65.6,-419.0,,-596.0,False,True,True,,False
New York,34514,33825.3,33245.1,33883.6,33524.0,,33389.2,-730.7,-1310.9,-672.4,-1032.0,,-1166.8,False,True,False,,False
North Carolina,5219,4762.0,4713.7,6109.2,4748.0,,4111.9,-457.0,-505.3,890.2,-471.0,,-1107.1,False,False,False,,False
North Dakota,921,219.1,463.0,465.8,266.0,,172.0,-701.9,-458.0,-455.2,-655.0,,-749.0,True,True,True,,False
Ohio,6378,6070.4,5819.0,7321.2,5788.0,,6166.9,-307.6,-559.0,943.2,-590.0,,-211.1,False,False,False,,True
Oklahoma,1717,1737.6,1598.2,2965.9,1657.0,,1410.8,20.6,-118.8,1248.9,-60.0,,-306.2,False,False,False,,False
Oregon,896,985.1,765.5,1301.0,676.0,,808.8,89.1,-130.5,405.0,-220.0,,-87.2,False,False,False,,True
Pennsylvania,10234,8956.6,8848.8,14168.7,8182.0,,8252.6,-1277.4,-1385.2,3934.7,-2052.0,,-1981.4,False,False,False,,False
Rhode Island,1346,1251.7,1123.2,1469.6,1206.0,,1142.5,-94.3,-222.8,123.6,-140.0,,-203.5,False,False,False,,False
South Carolina,4346,5344.7,4392.7,4923.3,4110.0,,4435.4,998.7,46.7,577.3,-236.0,,89.4,True,True,True,,True
South Dakota,942,244.1,520.6,282.1,302.0,,204.0,-697.9,-421.4,-659.9,-640.0,,-738.0,True,True,True,,False
Tennessee,4541,4061.3,3220.0,5835.7,3436.0,,3492.2,-479.7,-1321.0,1294.7,-1105.0,,-1048.8,False,False,False,,False
Texas,21788,25373.0,20921.8,26960.6,25749.0,21192.0,20761.6,3590.0,-861.2,5177.6,3966.0,-591.0,-1021.4,True,False,False,True,True
Utah,863,689.9,782.6,874.8,717.0,,672.4,-173.1,-80.4,11.8,-146.0,,-190.6,True,True,True,,False
Vermont,67,58.0,63.4,59.8,64.0,,60.6,-9.0,-3.6,-7.2,-3.0,,-6.4,True,True,True,,True
Virginia,4054,3880.4,3586.2,2905.0,3247.0,,3206.8,-173.6,-467.8,-1149.0,-807.0,,-847.2,False,False,False,,False
Washington,2703,2445.0,2213.9,4205.5,2422.0,,2624.3,-258.0,-489.1,1502.5,-281.0,,-78.7,False,False,False,,True
West Virginia,718,664.0,501.6,375.1,368.0,,389.7,-54.0,-216.4,-342.9,-350.0,,-328.3,False,False,False,,False
Wisconsin,3464,1649.1,1870.7,2237.6,1652.0,,1460.3,-1754.9,-1533.3,-1166.4,-1752.0,,-1943.7,True,True,True,,False
Wyoming,215,37.0,70.1,34.0,49.0,,43.3,-178.0,-144.9,-181.0,-166.0,,-171.7,True,False,True,,True
US,266047,263628.9,226941.5,311022.7,247319.0,249820.0,233620.7,-2395.1,-39082.5,44998.7,-18705.0,-16204.0,-32403.3,False,False,False,False,False
