,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Hawaii,240,292.4,297.2,294.0,,280.2,241.0,,322.3,,276.3,296.2,382.7,249.3,320.2,,315.6,250.5,,,219.8,261.0,229.7,52.4,57.2,54.0,,40.2,1.0,,82.3,,36.3,56.2,142.7,9.3,80.2,,75.6,10.5,,,-20.2,21.0,-10.3,False,False,,True,True,,False,,True,False,False,True,False,,False,True,,,True,True,True
Idaho,913,651.0,643.6,661.2,739.0,723.3,611.0,,870.5,661.0,707.8,798.6,702.5,626.4,590.5,,757.6,573.0,,,660.1,702.0,599.4,-262.0,-269.4,-251.8,-174.0,-189.7,-302.0,,-42.5,-252.0,-205.2,-114.4,-210.5,-286.6,-322.5,,-155.4,-340.0,,,-252.9,-211.0,-313.6,False,True,True,True,False,,True,True,True,True,True,False,False,,True,False,,,True,True,False
Illinois,12838,10903.1,12687.3,10840.8,14474.2,10865.7,9956.0,,11460.7,10474.0,10990.3,11188.9,10660.7,10618.9,10604.5,11046.5,10406.0,9913.0,,,10372.8,11928.0,9847.5,-1934.9,-150.7,-1997.2,1636.2,-1972.3,-2882.0,,-1377.3,-2364.0,-1847.7,-1649.1,-2177.3,-2219.1,-2233.5,-1791.5,-2432.0,-2925.0,,,-2465.2,-910.0,-2990.5,True,False,True,False,False,,True,False,True,True,False,False,False,True,False,False,,,False,True,False
Indiana,5663,4803.9,5752.2,4734.8,8443.1,4787.3,4291.0,,5462.2,4418.0,4827.6,5072.9,4581.7,4443.9,4605.5,5893.0,5124.3,4650.0,,,4413.6,5670.0,4033.7,-859.1,89.2,-928.2,2780.1,-875.7,-1372.0,,-200.8,-1245.0,-835.4,-590.1,-1081.3,-1219.1,-1057.5,230.0,-538.7,-1013.0,,,-1249.4,7.0,-1629.3,True,False,False,False,False,,True,False,True,True,False,False,False,True,True,False,,,False,True,False
Iowa,2375,1942.0,1957.6,1942.1,2829.2,2008.9,1736.0,,2229.1,1895.0,2001.7,2128.5,1866.1,1740.9,1880.0,,2033.7,2392.0,,,1873.8,2097.0,1723.9,-433.0,-417.4,-432.9,454.2,-366.1,-639.0,,-145.9,-480.0,-373.3,-246.5,-508.9,-634.1,-495.0,,-341.3,17.0,,,-501.2,-278.0,-651.1,True,True,False,True,False,,True,False,True,True,False,False,False,,True,True,,,False,True,False
Kansas,1529,1356.9,1663.6,1374.8,1813.3,1185.8,898.0,,1844.8,1154.0,1416.2,1450.9,1184.6,1105.1,1240.6,,1187.6,1207.0,,,1185.6,1407.0,1026.8,-172.1,134.6,-154.2,284.3,-343.2,-631.0,,315.8,-375.0,-112.8,-78.1,-344.4,-423.9,-288.4,,-341.4,-322.0,,,-343.4,-122.0,-502.2,True,True,False,False,False,,False,False,True,True,False,False,False,,False,False,,,False,True,False
Kentucky,1885,1704.6,2137.8,1689.8,1864.4,1665.7,1638.0,,2018.6,1619.0,1730.6,1692.8,1768.1,1499.5,1709.2,2199.0,1491.0,1446.5,,,1703.1,1866.0,1485.6,-180.4,252.8,-195.2,-20.6,-219.3,-247.0,,133.6,-266.0,-154.4,-192.2,-116.9,-385.5,-175.8,314.0,-394.0,-438.5,,,-181.9,-19.0,-399.4,False,False,True,False,False,,True,False,True,False,True,False,True,False,False,False,,,False,True,False
Louisiana,6391,6306.4,6135.6,6281.9,6119.9,6112.5,6051.0,,6433.5,6099.0,6157.7,6133.7,6125.8,6120.3,6249.5,,6134.5,5891.0,,,6440.4,6107.0,6003.9,-84.6,-255.4,-109.1,-271.1,-278.5,-340.0,,42.5,-292.0,-233.3,-257.3,-265.2,-270.7,-141.5,,-256.5,-500.0,,,49.4,-284.0,-387.1,False,False,False,False,False,,True,False,False,False,False,False,False,,False,False,,,True,False,False
Maine,191,163.6,263.0,164.6,150.0,152.6,152.0,,151.7,164.0,153.1,156.7,183.4,152.3,171.0,,150.6,148.0,,,150.1,162.0,155.0,-27.4,72.0,-26.4,-41.0,-38.4,-39.0,,-39.3,-27.0,-37.9,-34.3,-7.6,-38.7,-20.0,,-40.4,-43.0,,,-40.9,-29.0,-36.0,False,True,False,False,False,,False,True,False,False,True,False,True,,False,False,,,False,False,False
Maryland,4602,4259.6,4487.8,4292.6,4276.1,4203.1,4131.0,,4237.6,4186.0,4293.7,4307.2,4504.8,4180.7,4284.9,,4289.6,4220.0,,7385.0,4190.9,4353.0,4170.8,-342.4,-114.2,-309.4,-325.9,-398.9,-471.0,,-364.4,-416.0,-308.3,-294.8,-97.2,-421.3,-317.1,,-312.4,-382.0,,2783.0,-411.1,-249.0,-431.2,True,True,True,False,False,,False,False,True,True,True,False,True,,True,False,,False,False,True,False
Massachusetts,10676,10516.0,10909.9,10569.4,10387.6,10554.7,10041.0,,10573.6,10243.0,10536.0,10448.2,10284.8,10124.9,10563.1,,10378.7,9851.0,,,10126.7,10760.0,9997.2,-160.0,233.9,-106.6,-288.4,-121.3,-635.0,,-102.4,-433.0,-140.0,-227.8,-391.2,-551.1,-112.9,,-297.3,-825.0,,,-549.3,84.0,-678.8,False,True,False,True,False,,True,False,True,False,False,False,True,,False,False,,,False,True,False
Michigan,9467,8048.7,9366.8,8080.8,9208.6,8014.6,7554.0,,8191.7,7777.0,8158.5,8506.4,8389.2,7611.0,8050.0,8586.0,7584.3,8261.5,,,7725.0,8721.0,7422.5,-1418.3,-100.2,-1386.2,-258.4,-1452.4,-1913.0,,-1275.3,-1690.0,-1308.5,-960.6,-1077.8,-1856.0,-1417.0,-881.0,-1882.7,-1205.5,,,-1742.0,-746.0,-2044.5,True,True,True,False,False,,True,False,True,True,True,False,True,True,False,True,,,False,True,False
Minnesota,3580,2831.7,3464.9,2785.7,3196.3,2797.8,2738.0,,2991.8,2806.0,2797.2,2888.7,2695.4,2654.7,2635.1,3388.5,2770.1,2679.0,,,2714.3,2968.0,2437.6,-748.3,-115.1,-794.3,-383.7,-782.2,-842.0,,-588.2,-774.0,-782.8,-691.3,-884.6,-925.3,-944.9,-191.5,-809.9,-901.0,,,-865.7,-612.0,-1142.4,True,False,True,False,False,,True,False,False,True,False,False,False,True,False,False,,,False,True,False
Mississippi,3779,3581.0,3845.9,3621.6,4561.8,3693.0,3466.0,,3576.8,3607.0,3775.2,3756.3,3447.0,3434.1,3519.8,,3592.2,3341.0,,,3620.2,3808.0,3515.8,-198.0,66.9,-157.4,782.8,-86.0,-313.0,,-202.2,-172.0,-3.8,-22.7,-332.0,-344.9,-259.2,,-186.8,-438.0,,,-158.8,29.0,-263.2,True,True,False,True,False,,False,True,True,True,False,False,False,,True,False,,,True,True,False
Missouri,3844,3576.0,3995.5,3522.7,4509.0,3711.8,3102.0,,3086.9,3663.0,3696.6,3891.2,3185.0,3396.0,3889.9,,3561.1,4031.0,,,2895.7,3798.0,2810.4,-280.0,139.5,-333.3,653.0,-144.2,-754.0,,-769.1,-193.0,-159.4,35.2,-671.0,-460.0,33.9,,-294.9,175.0,,,-960.3,-58.0,-1045.6,True,False,False,True,False,,False,True,True,True,False,False,True,,False,True,,,False,True,False
