,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3572,4417.3,4798.8,2874.2,3374.0,,845.3,1226.8,-697.8,-198.0,,False,True,True,
Alaska,121,36.9,359.9,22.7,,,-84.1,238.9,-98.3,,,False,False,,
Arizona,6624,12642.1,9292.0,5901.0,8354.0,,6018.1,2668.0,-723.0,1730.0,,True,True,True,
Arkansas,2449,1035.9,1617.7,665.0,1018.0,,-1413.1,-831.3,-1784.0,-1431.0,,True,False,False,
California,19132,20236.1,27071.4,25993.2,17771.0,,1104.1,7939.4,6861.2,-1361.0,,False,False,False,
Colorado,2983,2261.1,3432.9,2123.1,2023.0,,-721.9,449.9,-859.9,-960.0,,True,False,False,
Connecticut,4961,5301.1,4507.4,4477.3,4529.0,,340.1,-453.6,-483.7,-432.0,,False,False,False,
Delaware,813,636.1,734.7,559.3,579.0,,-113.9,-15.3,-190.7,-171.0,,True,False,False,
District of Columbia,678,766.6,658.2,709.2,647.0,,88.6,-19.8,31.2,-31.0,,True,True,True,
Florida,18442,18936.3,30473.4,23285.4,18782.0,,494.3,12031.4,4843.4,340.0,,False,False,True,
Georgia,9424,6398.6,13208.2,5292.9,4576.0,,-3025.4,3784.2,-4131.1,-4848.0,,False,False,False,
Hawaii,240,118.3,104.8,20.7,,,-121.7,-135.2,-219.3,,,False,False,,
Idaho,913,439.6,2707.0,1015.6,404.0,,-473.4,1794.0,102.6,-509.0,,False,True,False,
Illinois,12838,9373.7,9629.2,8594.7,8359.0,,-3464.3,-3208.8,-4243.3,-4479.0,,True,False,False,
Indiana,6270,3991.1,5023.4,4065.0,3120.0,,-2343.9,-1311.6,-2270.0,-3215.0,,True,True,False,
