,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3572,3244.9,3257.8,3256.0,3955.0,3507.9,3099.0,,4176.7,3259.0,3460.5,3461.4,3158.7,3829.7,3309.6,,3538.9,3099.0,,,3169.7,,3826.8,3458.0,3150.5,-327.1,-314.2,-316.0,383.0,-64.1,-473.0,,604.7,-313.0,-111.5,-110.6,-413.3,257.7,-262.4,,-33.1,-473.0,,,-402.3,,254.8,-114.0,-421.5,True,True,False,True,False,,False,True,True,True,False,True,True,,True,False,,,False,,True,True,False
Alaska,121,72.9,73.8,74.0,97.0,129.3,108.0,,106.2,,89.0,128.3,100.6,104.7,118.7,,116.0,69.0,,,81.4,,164.0,81.0,77.5,-48.1,-47.2,-47.0,-24.0,8.3,-13.0,,-14.8,,-32.0,7.3,-20.4,-16.3,-2.3,,-5.0,-52.0,,,-39.6,,43.0,-40.0,-43.5,True,True,True,True,True,,True,,True,True,True,True,True,,True,False,,,True,,True,True,True
Arizona,6624,6102.3,6311.1,6113.9,6244.0,6333.1,5985.0,,6267.3,6169.0,6262.3,6332.9,6143.2,6306.2,6149.8,,6210.6,5992.0,,,6171.3,,6745.4,6310.0,6257.0,-521.7,-312.9,-510.1,-380.0,-290.9,-639.0,,-356.7,-455.0,-361.7,-291.1,-480.8,-317.8,-474.2,,-413.4,-632.0,,,-452.7,,121.4,-314.0,-367.0,True,True,True,True,False,,True,True,True,True,True,True,True,,True,False,,,True,,True,True,True
Arkansas,2449,2336.6,2272.9,2362.1,2383.0,2492.5,2433.0,,2730.1,2375.0,2686.9,2623.7,2146.5,2597.6,2208.5,,2129.1,2247.0,,,2222.7,,2208.4,2452.0,2090.6,-112.4,-176.1,-86.9,-66.0,43.5,-16.0,,281.1,-74.0,237.9,174.7,-302.5,148.6,-240.5,,-319.9,-202.0,,,-226.3,,-240.6,3.0,-358.4,False,True,True,True,True,,False,True,False,False,False,False,False,,False,False,,,False,,False,True,False
California,19116,19198.9,20631.1,19279.1,19552.0,19318.7,18170.0,,19577.1,19033.0,19310.4,19068.5,19033.0,19450.6,18526.6,,18207.4,18273.0,,,19112.6,19634.0,20135.4,19918.0,18911.5,82.9,1515.1,163.1,436.0,202.7,-946.0,,461.1,-83.0,194.4,-47.5,-83.0,334.6,-589.4,,-908.6,-843.0,,,-3.4,518.0,1019.4,802.0,-204.5,False,False,False,False,False,,False,False,False,True,False,False,False,,False,False,,,True,False,False,False,False
Colorado,2983,2451.3,2337.1,2434.0,2834.0,2783.7,3008.0,,2727.7,2418.0,2621.5,3074.6,2528.2,2625.8,2496.3,,2551.6,2310.0,,,2345.9,,4018.2,2604.0,2333.3,-531.7,-645.9,-549.0,-149.0,-199.3,25.0,,-255.3,-565.0,-361.5,91.6,-454.8,-357.2,-486.7,,-431.4,-673.0,,,-637.1,,1035.2,-379.0,-649.7,False,False,True,True,True,,True,False,True,True,True,True,True,,True,False,,,False,,False,True,False
Connecticut,4961,4747.0,5035.8,4784.5,4947.0,4822.0,4914.0,,4605.3,4672.0,4754.1,4948.1,4705.7,4902.8,4621.2,,4695.4,4679.0,,,4671.9,,5615.6,4793.0,4589.7,-214.0,74.8,-176.5,-14.0,-139.0,-47.0,,-355.7,-289.0,-206.9,-12.9,-255.3,-58.2,-339.8,,-265.6,-282.0,,,-289.1,,654.6,-168.0,-371.3,True,True,True,True,True,,False,False,True,True,False,True,False,,False,False,,,False,,False,True,False
Delaware,763,758.7,773.1,763.0,741.0,750.0,751.0,,737.7,720.0,743.9,732.1,720.2,740.8,706.1,,747.2,704.0,,,726.8,,845.0,758.0,715.8,-4.3,10.1,0.0,-22.0,-13.0,-12.0,,-25.3,-43.0,-19.1,-30.9,-42.8,-22.2,-56.9,,-15.8,-59.0,,,-36.2,,82.0,-5.0,-47.2,False,True,False,False,False,,False,False,False,False,False,False,False,,False,False,,,False,,False,False,False
District of Columbia,678,646.9,644.4,655.8,673.0,687.9,649.0,,688.9,653.0,655.6,686.4,657.8,683.3,660.7,,654.7,652.0,,,650.4,,725.5,666.0,653.9,-31.1,-33.6,-22.2,-5.0,9.9,-29.0,,10.9,-25.0,-22.4,8.4,-20.2,5.3,-17.3,,-23.3,-26.0,,,-27.6,,47.5,-12.0,-24.1,False,True,True,True,True,,True,True,True,True,True,True,True,,True,True,,,True,,False,True,True
Florida,18442,18673.0,18602.0,18916.6,22096.0,19910.4,18083.0,,21200.2,18781.0,20246.3,19984.3,18831.1,21161.3,17966.1,,18693.3,18144.0,,,18412.5,,18329.3,20464.0,18149.0,231.0,160.0,474.6,3654.0,1468.4,-359.0,,2758.2,339.0,1804.3,1542.3,389.1,2719.3,-475.9,,251.3,-298.0,,,-29.5,,-112.7,2022.0,-293.0,True,False,False,False,False,,False,False,False,False,False,False,False,,False,False,,,True,,True,False,False
Georgia,9424,8639.6,8900.1,8812.2,9967.0,8912.0,8527.0,,9163.5,8787.0,8760.3,8889.0,8476.1,9020.7,8552.3,,8409.9,8019.0,,,8744.6,,8851.1,9194.0,8377.8,-784.4,-523.9,-611.8,543.0,-512.0,-897.0,,-260.5,-637.0,-663.7,-535.0,-947.9,-403.3,-871.7,,-1014.1,-1405.0,,,-679.4,,-572.9,-230.0,-1046.2,True,True,True,True,False,,True,True,True,True,False,True,False,,False,False,,,True,,True,True,False
Hawaii,240,333.4,480.9,342.0,313.0,301.7,271.0,,281.1,,315.0,269.1,352.4,289.2,267.6,,521.2,311.0,,,245.8,,237.7,306.0,255.0,93.4,240.9,102.0,73.0,61.7,31.0,,41.1,,75.0,29.1,112.4,49.2,27.6,,281.2,71.0,,,5.8,,-2.3,66.0,15.0,False,False,True,True,True,,True,,True,True,False,True,True,,False,True,,,True,,True,True,True
Idaho,913,791.6,1244.6,787.2,790.0,766.4,677.0,,648.5,739.0,826.0,806.1,718.3,950.4,677.1,,821.1,1108.5,,,733.8,,884.4,879.0,646.8,-121.4,331.6,-125.8,-123.0,-146.6,-236.0,,-264.5,-174.0,-87.0,-106.9,-194.7,37.4,-235.9,,-91.9,195.5,,,-179.2,,-28.6,-34.0,-266.2,False,False,False,False,False,,False,False,True,True,False,True,False,,True,False,,,False,,True,True,False
Illinois,12838,11237.0,12559.3,11246.9,16576.0,11919.1,11399.0,,11512.3,10921.0,11793.8,12361.0,10888.6,13465.4,10752.1,11613.0,10615.6,11148.5,,,10716.9,,14902.7,12085.0,10097.4,-1601.0,-278.7,-1591.1,3738.0,-918.9,-1439.0,,-1325.7,-1917.0,-1044.2,-477.0,-1949.4,627.4,-2085.9,-1225.0,-2222.4,-1689.5,,,-2121.1,,2064.7,-753.0,-2740.6,True,True,False,True,True,,True,False,True,True,False,True,False,True,False,False,,,False,,False,True,False
Indiana,5663,5067.4,5833.2,5117.3,7108.0,5595.9,4958.0,,5445.1,4934.0,5467.1,5425.4,4688.9,6154.2,4813.8,5794.0,5256.4,4660.0,,,4715.8,,6884.3,5767.0,4186.4,-595.6,170.2,-545.7,1445.0,-67.1,-705.0,,-217.9,-729.0,-195.9,-237.6,-974.1,491.2,-849.2,131.0,-406.6,-1003.0,,,-947.2,,1221.3,104.0,-1476.6,True,True,False,True,False,,True,False,True,True,False,True,False,True,True,False,,,False,,False,True,False
Iowa,2375,2135.3,2470.8,2163.8,2385.0,2169.4,1991.0,,2177.6,1996.0,2234.3,2209.2,1898.7,2193.3,1988.2,,2115.8,2050.0,,,2020.8,,2394.3,2203.0,1813.9,-239.7,95.8,-211.2,10.0,-205.6,-384.0,,-197.4,-379.0,-140.7,-165.8,-476.3,-181.7,-386.8,,-259.2,-325.0,,,-354.2,,19.3,-172.0,-561.1,True,True,True,True,False,,True,False,True,True,False,True,False,,False,False,,,False,,True,True,False
