,mean_rank
UMass-MechBayes,13.0
COVIDhub-ensemble,14.6
CEID-Walk,17.1
Caltech-CS156,17.2
LANL-GrowthRate,17.5
UA-EpiCovDA,17.6
CMU-TimeSeries,17.6
COVIDhub-baseline,17.7
Google_Harvard-CPF,17.7
JCB-PRM,18.0
UT-Mobility,18.4
DDS-NBDS,19.4
OliverWyman-Navigator,19.9
MSRA-DeepST,19.9
CU-select,20.2
Karlen-pypm,20.3
MOBS-GLEAM_COVID,20.3
UCLA-SuEIR,20.5
IQVIA_ACOE-STAN,20.9
LNQ-ens1,21.2
UCSD_NEU-DeepGLEAM,21.3
UMich-RidgeTfReg,21.5
SteveMcConnell-CovidComplete,21.5
BPagano-RtDriven,21.9
UChicagoCHATTOPADHYAY-UnIT,22.2
USC-SI_kJalpha,22.6
Geneva-DetGrowth,22.8
CovidAnalytics-DELPHI,23.0
JHU_IDD-CovidSP,23.2
MIT_CritData-GBCF,23.6
GT-DeepCOVID,25.0
epiforecasts-ensemble1,25.0
IowaStateLW-STEM,25.8
PSI-DRAFT,26.1
IHME-CurveFit,26.2
JHUAPL-Bucky,27.1
NotreDame-mobility,27.4
JHU_CSSE-DECOM,27.5
Covid19Sim-Simulator,29.3
RobertWalraven-ESG,30.4
UCSB-ACTS,32.9
USACE-ERDC_SEIR,33.4
WalmartLabsML-LogForecasting,34.2
TTU-squider,35.0
Columbia_UNC-SurvCon,37.4
