,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3572,3636.1,3698.2,3670.6,3680.0,3668.0,3658.0,3598.0,3629.3,3460.0,3564.8,3624.0,3656.4,3666.9,3783.9,3646.6,,3538.1,3635.0,3790.0,3665.2,3532.8,3700.0,3604.0,3651.5,3632.0,3663.2,3651.0,3683.5,3659.5,,3457.5,3697.0,3640.0,,3613.8,3719.3,3653.0,3522.6,3601.0,3666.7,,3710.4,3689.5,3680.6,3610.0,3617.2,3629.9,3658.0,3610.0,3538.4,3684.0,64.1,126.2,98.6,108.0,96.0,86.0,26.0,57.3,-112.0,-7.2,52.0,84.4,94.9,211.9,74.6,,-33.9,63.0,218.0,93.2,-39.2,128.0,32.0,79.5,60.0,91.2,79.0,111.5,87.5,,-114.5,125.0,68.0,,41.8,147.3,81.0,-49.4,29.0,94.7,,138.4,117.5,108.6,38.0,45.2,57.9,86.0,38.0,-33.6,112.0,False,False,False,False,False,True,True,False,True,True,False,False,False,False,,True,True,False,False,True,False,True,False,True,False,False,False,False,,False,False,False,,True,False,False,True,True,False,,False,False,False,True,True,True,False,True,True,False
Alaska,121,107.3,111.2,104.5,110.0,106.0,112.0,122.0,115.5,109.0,134.5,114.0,110.3,114.9,114.9,130.1,,120.2,,,106.6,114.9,114.0,126.8,112.3,113.0,111.2,152.0,112.6,118.3,,109.6,113.9,110.0,,,105.7,110.0,140.6,121.0,114.8,,138.7,112.1,124.2,114.0,109.2,124.8,107.0,107.0,107.0,,-13.7,-9.8,-16.5,-11.0,-15.0,-9.0,1.0,-5.5,-12.0,13.5,-7.0,-10.7,-6.1,-6.1,9.1,,-0.8,,,-14.4,-6.1,-7.0,5.8,-8.7,-8.0,-9.8,31.0,-8.4,-2.7,,-11.4,-7.1,-11.0,,,-15.3,-11.0,19.6,0.0,-6.2,,17.7,-8.9,3.2,-7.0,-11.8,3.8,-14.0,-14.0,-14.0,,True,False,True,False,True,True,True,True,True,True,True,True,True,True,,True,,,False,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,True,False,True,True,,False,True,True,True,True,True,False,False,False,
Arizona,6624,6602.9,6602.5,6619.4,6635.0,6614.0,6638.0,6655.0,6673.1,6600.0,6881.9,6522.0,6612.3,6647.9,6643.1,6688.6,,6683.4,6647.0,6647.0,6687.1,6611.9,6649.0,6648.4,6721.0,6602.0,6654.7,6649.0,6617.3,6660.1,,6582.7,6667.1,6843.5,,6609.6,6692.4,6706.0,6943.6,6655.0,6606.2,,6770.3,6620.0,6670.5,6682.0,6615.9,6746.2,6657.0,6620.0,6549.8,6657.0,-21.1,-21.5,-4.6,11.0,-10.0,14.0,31.0,49.1,-24.0,257.9,-102.0,-11.7,23.9,19.1,64.6,,59.4,23.0,23.0,63.1,-12.1,25.0,24.4,97.0,-22.0,30.7,25.0,-6.7,36.1,,-41.3,43.1,219.5,,-14.4,68.4,82.0,319.6,31.0,-17.8,,146.3,-4.0,46.5,58.0,-8.1,122.2,33.0,-4.0,-74.2,33.0,False,True,True,True,True,False,False,False,False,False,True,False,True,False,,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,,True,False,False,False,False,True,,False,True,False,False,True,False,False,True,False,False
Arkansas,2449,2506.1,2535.8,2522.2,2508.0,2515.0,2506.0,2446.0,2493.3,2353.0,2522.3,2506.0,2496.9,2540.0,2597.6,2500.8,,2374.5,2481.0,2514.0,2504.7,2461.4,2541.0,2451.0,2523.4,2482.0,2511.5,2504.0,2475.7,2508.9,,2383.3,2528.4,2506.5,,2478.3,2512.7,2470.0,2694.0,2513.0,2542.8,,2560.3,2480.3,2515.6,2480.0,2454.0,2450.7,2531.0,2459.5,2433.0,2363.0,57.1,86.8,73.2,59.0,66.0,57.0,-3.0,44.3,-96.0,73.3,57.0,47.9,91.0,148.6,51.8,,-74.5,32.0,65.0,55.7,12.4,92.0,2.0,74.4,33.0,62.5,55.0,26.7,59.9,,-65.7,79.4,57.5,,29.3,63.7,21.0,245.0,64.0,93.8,,111.3,31.3,66.6,31.0,5.0,1.7,82.0,10.5,-16.0,-86.0,False,False,False,False,True,True,True,False,False,True,True,False,False,True,,False,True,False,True,True,False,True,False,True,False,True,True,False,,False,False,False,,True,False,True,False,False,False,,False,True,False,True,True,True,False,True,True,False
California,19116,19123.7,19267.1,19078.6,19134.0,19091.0,19150.0,19356.0,19188.4,18739.0,19014.3,18998.0,19120.0,19215.3,19174.6,19121.3,,19074.1,19087.0,19265.0,19086.2,19259.2,19223.0,19422.9,19120.4,19170.0,19335.9,19186.0,19054.8,19241.1,,19037.6,19202.0,19420.0,,18948.5,19306.5,19149.0,17190.5,19254.0,19128.4,18990.0,19014.8,19064.1,19304.6,19199.0,19242.0,19378.6,19176.0,19061.0,19023.8,19176.0,7.7,151.1,-37.4,18.0,-25.0,34.0,240.0,72.4,-377.0,-101.7,-118.0,4.0,99.3,58.6,5.3,,-41.9,-29.0,149.0,-29.8,143.2,107.0,306.9,4.4,54.0,219.9,70.0,-61.2,125.1,,-78.4,86.0,304.0,,-167.5,190.5,33.0,-1925.5,138.0,12.4,-126.0,-101.2,-51.9,188.6,83.0,126.0,262.6,60.0,-55.0,-92.2,60.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Colorado,2983,3028.9,3106.4,3042.8,3039.0,3049.0,3055.0,3057.0,3030.2,2860.0,3048.4,3065.0,3028.2,3061.4,3136.5,3036.2,,2883.6,3010.0,3107.0,3022.5,2869.7,3116.0,3067.7,3102.9,3108.0,3113.0,3082.0,3040.0,3066.7,,2918.1,3067.2,2965.0,,2963.9,3104.2,2988.0,3224.4,2891.0,3071.0,,3194.2,3051.8,3089.6,3030.0,3013.9,3521.8,3096.0,3079.5,2859.4,3263.0,45.9,123.4,59.8,56.0,66.0,72.0,74.0,47.2,-123.0,65.4,82.0,45.2,78.4,153.5,53.2,,-99.4,27.0,124.0,39.5,-113.3,133.0,84.7,119.9,125.0,130.0,99.0,57.0,83.7,,-64.9,84.2,-18.0,,-19.1,121.2,5.0,241.4,-92.0,88.0,,211.2,68.8,106.6,47.0,30.9,538.8,113.0,96.5,-123.6,280.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,,True,False,True,False,False,False,,False,False,False,False,True,False,False,False,False,False
Connecticut,4961,4906.0,4919.5,4919.8,4924.0,4919.0,4929.0,4943.0,4941.8,4857.0,5002.1,4943.0,4926.5,5023.7,4930.8,5026.2,,4910.4,4882.0,4991.0,4939.2,4904.4,4941.0,4971.8,4950.8,4956.0,4935.9,4934.0,4923.3,4949.5,,4890.8,4932.3,4832.0,,4903.0,4898.3,4972.0,5127.9,4873.0,4921.2,,4995.9,4927.5,4937.1,4944.0,4889.4,5488.2,4925.0,4891.0,4835.5,4929.0,-55.0,-41.5,-41.2,-37.0,-42.0,-32.0,-18.0,-19.2,-104.0,41.1,-18.0,-34.5,62.7,-30.2,65.2,,-50.6,-79.0,30.0,-21.8,-56.6,-20.0,10.8,-10.2,-5.0,-25.1,-27.0,-37.7,-11.5,,-70.2,-28.7,-129.0,,-58.0,-62.7,11.0,166.9,-88.0,-39.8,,34.9,-33.5,-23.9,-17.0,-71.6,527.2,-36.0,-70.0,-125.5,-32.0,True,True,True,True,True,True,True,False,True,True,True,False,True,False,,True,False,True,True,False,True,True,True,True,True,True,True,True,,False,True,False,,False,False,True,False,False,True,,True,True,True,True,False,False,True,False,False,True
Delaware,763,758.3,763.5,758.1,759.0,756.0,766.0,775.0,764.2,762.0,789.4,757.0,778.7,765.2,753.3,776.6,,772.0,752.0,772.0,767.1,778.1,757.0,772.5,767.3,760.0,761.9,772.0,760.8,767.9,,776.4,762.9,771.0,,,753.2,771.0,753.2,766.0,754.3,,780.3,765.8,768.1,767.0,762.7,798.5,761.0,759.0,756.8,763.0,-4.7,0.5,-4.9,-4.0,-7.0,3.0,12.0,1.2,-1.0,26.4,-6.0,15.7,2.2,-9.7,13.6,,9.0,-11.0,9.0,4.1,15.1,-6.0,9.5,4.3,-3.0,-1.1,9.0,-2.2,4.9,,13.4,-0.1,8.0,,,-9.8,8.0,-9.8,3.0,-8.7,,17.3,2.8,5.1,4.0,-0.3,35.5,-2.0,-4.0,-6.2,0.0,True,False,True,False,True,False,True,True,False,False,False,True,False,False,,False,False,False,True,False,False,False,True,True,True,False,True,False,,False,True,False,,,False,False,False,True,False,,False,True,False,True,True,False,True,True,False,True
District of Columbia,678,678.6,681.1,681.8,682.0,682.0,680.0,680.0,682.5,671.0,676.9,674.0,680.0,682.9,679.1,690.3,,674.0,682.0,673.0,677.9,675.2,686.0,682.9,682.3,679.0,676.3,681.0,,,,674.9,680.3,674.0,,,683.2,680.0,688.8,680.0,683.6,,675.1,,679.4,678.0,,701.0,682.0,679.0,671.2,733.0,0.6,3.1,3.8,4.0,4.0,2.0,2.0,4.5,-7.0,-1.1,-4.0,2.0,4.9,1.1,12.3,,-4.0,4.0,-5.0,-0.1,-2.8,8.0,4.9,4.3,1.0,-1.7,3.0,,,,-3.1,2.3,-4.0,,,5.2,2.0,10.8,2.0,5.6,,-2.9,,1.4,0.0,,23.0,4.0,1.0,-6.8,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,,,False,False,False,False,False,,False,,False,True,,False,False,False,False,False
Florida,18442,18396.4,18472.6,18376.2,18392.0,18371.0,18435.0,18550.0,18431.5,17923.0,18175.2,18342.0,18557.8,18566.0,18451.6,18414.2,,18396.1,18395.0,18601.0,18378.4,18526.3,18440.0,18663.4,18424.7,18470.0,18517.3,18408.0,18697.4,18508.6,,18509.7,18450.0,18355.0,,18384.4,18481.7,18373.0,19126.9,18489.0,18395.4,,18434.5,18703.3,18502.7,18436.0,18391.9,18535.3,18406.0,18326.5,18324.9,18440.0,-45.6,30.6,-65.8,-50.0,-71.0,-7.0,108.0,-10.5,-519.0,-266.8,-100.0,115.8,124.0,9.6,-27.8,,-45.9,-47.0,159.0,-63.6,84.3,-2.0,221.4,-17.3,28.0,75.3,-34.0,255.4,66.6,,67.7,8.0,-87.0,,-57.6,39.7,-69.0,684.9,47.0,-46.6,,-7.5,261.3,60.7,-6.0,-50.1,93.3,-36.0,-115.5,-117.1,-2.0,True,False,False,False,True,False,True,False,False,False,False,False,True,True,,False,False,False,False,False,True,False,True,True,False,True,False,False,,False,True,False,,False,True,False,False,False,False,,True,False,False,True,False,False,True,False,False,True
