,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,error-Baseline,error-IHME-CurveFit,error-STH-3PU,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,3572,4003.9,4122.2,,431.9,550.2,,False,
Alaska,121,57.7,33.9,,-63.3,-87.1,,False,
Arizona,6624,10255.0,6758.7,,3631.0,134.7,,True,
Arkansas,2449,1812.6,2134.1,,-636.4,-314.9,,True,
California,19116,25932.9,31253.8,,6816.9,12137.8,,False,
Colorado,2983,2080.0,5074.5,,-903.0,2091.5,,False,
Connecticut,4961,4583.7,4859.3,,-377.3,-101.7,,True,
Delaware,763,686.1,732.5,,-76.9,-30.5,,True,
District of Columbia,678,670.3,604.3,,-7.7,-73.7,,False,
Florida,18442,25660.6,19053.9,,7218.6,611.9,,True,
Georgia,9424,9891.7,11194.1,,467.7,1770.1,,False,
Hawaii,240,110.3,28.3,,-129.7,-211.7,,False,
Idaho,913,871.3,888.8,,-41.7,-24.2,,True,
Illinois,12838,9922.3,9869.0,,-2915.7,-2969.0,,False,
Indiana,5663,4087.6,4478.9,,-1575.4,-1184.1,,True,
Iowa,2375,1771.4,2063.6,,-603.6,-311.4,,True,
Kansas,1529,681.3,2200.2,,-847.7,671.2,,True,
Kentucky,1885,1264.6,2813.9,,-620.4,928.9,,False,
Louisiana,6391,8322.4,7833.0,,1931.4,1442.0,,True,
Maine,191,156.7,156.6,,-34.3,-34.4,,False,
Maryland,4602,4695.0,5073.2,,93.0,471.2,,False,
Massachusetts,10676,10273.1,10210.5,,-402.9,-465.5,,False,
Michigan,9467,7502.1,7672.9,,-1964.9,-1794.1,,True,
Minnesota,3580,2395.7,2353.4,,-1184.3,-1226.6,,False,
Mississippi,3779,4956.4,3435.8,,1177.4,-343.2,,True,
Missouri,3844,2253.7,5365.6,,-1590.3,1521.6,,True,
Montana,669,297.0,298.0,,-372.0,-371.0,,True,
Nebraska,989,551.1,762.5,,-437.9,-226.5,,True,
Nevada,2119,2939.1,3121.9,,820.1,1002.9,,False,
New Hampshire,523,450.7,576.2,,-72.3,53.2,,True,
New Jersey,16965,16476.6,16450.7,,-488.4,-514.3,,False,
New Mexico,1527,1176.6,1561.2,,-350.4,34.2,,True,
New York,34514,33788.9,33884.0,,-744.1,-649.0,,True,
North Carolina,5219,5506.1,8615.1,,287.1,3396.1,,False,
North Dakota,921,223.0,210.1,,-698.0,-710.9,,False,
Ohio,6378,5889.0,8708.4,,-489.0,2330.4,,False,
Oklahoma,1717,1443.4,2828.5,,-273.6,1111.5,,False,
Oregon,896,831.7,2894.8,,-64.3,1998.8,,False,
Pennsylvania,10234,8706.4,8775.8,,-1527.6,-1458.2,,True,
Rhode Island,1346,1125.0,1090.4,,-210.0,-244.6,,False,
South Carolina,4346,6058.7,3655.5,,1712.7,-690.5,,True,
South Dakota,942,320.4,248.1,,-621.6,-693.9,,False,
Tennessee,4541,3601.6,2809.3,,-939.4,-1731.7,,False,
Texas,21788,34147.9,27187.3,20753.0,12364.9,5404.3,-1030.0,True,True
Utah,863,732.4,1206.4,,-130.6,343.4,,False,
Vermont,67,73.9,61.7,,6.9,-5.3,,True,
Virginia,4054,4038.6,5691.2,,-15.4,1637.2,,False,
Washington,2703,3146.9,4886.6,,443.9,2183.6,,False,
West Virginia,718,487.9,231.0,,-230.1,-487.0,,False,
Wisconsin,3464,1790.9,3482.7,,-1622.1,69.7,,True,
Wyoming,215,59.7,27.0,,-155.3,-188.0,,False,
US,266047,279852.7,289529.4,250615.0,13853.7,23530.4,-15384.0,False,False
