,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3572,3606.6,2557.6,5130.9,3090.0,,3164.2,34.6,-1014.4,1558.9,-482.0,,-407.8,False,False,False,,False
Alaska,121,87.4,100.2,31.1,,,55.2,-33.6,-20.8,-89.9,,,-65.8,True,False,,,False
Arizona,6624,8443.1,4613.5,9370.0,8218.0,,7259.0,1819.1,-2010.5,2746.0,1594.0,,635.0,False,False,True,,True
Arkansas,2449,1906.4,1162.8,2278.4,1592.0,,1434.2,-542.6,-1286.2,-170.6,-857.0,,-1014.8,False,True,False,,False
California,19116,24763.0,18343.8,40027.0,23614.0,,20937.2,5647.0,-772.2,20911.0,4498.0,,1821.2,True,False,True,,True
Colorado,2983,2222.9,2178.0,2505.6,2314.0,,2092.7,-760.1,-805.0,-477.4,-669.0,,-890.3,False,True,True,,False
Connecticut,4961,4557.0,4535.6,4659.5,4597.0,,4540.0,-404.0,-425.4,-301.5,-364.0,,-421.0,False,True,True,,False
Delaware,763,697.0,669.9,668.0,662.0,,661.9,-66.0,-93.1,-95.0,-101.0,,-101.1,False,False,False,,False
District of Columbia,678,701.0,653.9,814.9,641.0,,650.7,23.0,-24.1,136.9,-37.0,,-27.3,False,False,False,,False
Florida,18442,22422.3,12216.4,20913.0,20358.0,,19241.1,3980.3,-6225.6,2471.0,1916.0,,799.1,False,True,True,,True
Georgia,9424,11090.6,7150.6,10705.0,7468.0,,9066.4,1666.6,-2273.4,1281.0,-1956.0,,-357.6,False,True,False,,True
Hawaii,240,144.0,769.2,228.1,,,163.3,-96.0,529.2,-11.9,,,-76.7,False,True,,,True
Idaho,913,833.6,565.0,922.1,514.0,,598.7,-79.4,-348.0,9.1,-399.0,,-314.3,False,True,False,,False
Illinois,12838,9945.9,10120.5,10822.2,9264.0,,9176.6,-2892.1,-2717.5,-2015.8,-3574.0,,-3661.4,True,True,False,,False
Indiana,5663,4425.6,4074.7,6626.2,4145.0,,3866.9,-1237.4,-1588.3,963.2,-1518.0,,-1796.1,False,True,False,,False
Iowa,2375,1896.1,1819.6,2772.2,1665.0,,1638.8,-478.9,-555.4,397.2,-710.0,,-736.2,False,True,False,,False
Kansas,1529,703.1,982.5,1192.2,689.0,,698.4,-825.9,-546.5,-336.8,-840.0,,-830.6,True,True,False,,False
Kentucky,1885,1731.1,1521.9,2555.2,1265.0,,1780.0,-153.9,-363.1,670.2,-620.0,,-105.0,False,False,False,,True
Louisiana,6391,8057.9,4956.2,7768.2,6994.0,,7390.4,1666.9,-1434.8,1377.2,603.0,,999.4,True,True,True,,True
Maine,191,186.4,158.5,153.3,202.0,,145.3,-4.6,-32.5,-37.7,11.0,,-45.7,False,False,False,,False
Maryland,4602,4411.6,4202.6,5159.7,3992.0,,4108.1,-190.4,-399.4,557.7,-610.0,,-493.9,False,False,False,,False
