,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3572,3384.7,3646.9,5742.0,,-187.3,74.9,2170.0,,True,False,
Alaska,121,36.9,229.9,,,-84.1,108.9,,,False,,
Arizona,6624,10418.1,11495.9,6282.0,,3794.1,4871.9,-342.0,,False,True,
Arkansas,2449,996.1,1195.7,2233.0,,-1452.9,-1253.3,-216.0,,True,True,
California,19116,20514.1,34439.8,12354.0,,1398.1,15323.8,-6762.0,,False,False,
Colorado,2983,2201.6,2841.5,2194.0,,-781.4,-141.5,-789.0,,True,False,
Connecticut,4961,4606.1,4462.5,4522.0,,-354.9,-498.5,-439.0,,False,False,
Delaware,763,616.3,1027.6,660.0,,-146.7,264.6,-103.0,,False,True,
District of Columbia,678,746.7,604.2,604.0,,68.7,-73.8,-74.0,,False,False,
Florida,18442,14389.0,42899.8,11132.0,,-4053.0,24457.8,-7310.0,,False,False,
Georgia,9424,5842.6,13159.6,7208.0,,-3581.4,3735.6,-2216.0,,False,True,
Hawaii,240,19.0,179.6,,,-221.0,-60.4,,,True,,
Idaho,913,280.7,2241.2,555.0,,-632.3,1328.2,-358.0,,False,True,
Illinois,12838,14695.4,9139.9,9327.0,,1857.4,-3698.1,-3511.0,,False,False,
Indiana,5663,4090.4,6292.5,4086.0,,-1572.6,629.5,-1577.0,,True,False,
Iowa,2375,1367.6,2652.3,1281.0,,-1007.4,277.3,-1094.0,,True,False,
Kansas,1529,555.1,2265.8,1125.0,,-973.9,736.8,-404.0,,True,True,
Kentucky,1885,1419.3,2131.9,1293.0,,-465.7,246.9,-592.0,,True,False,
Louisiana,6391,5957.7,8970.4,10944.0,,-433.3,2579.4,4553.0,,False,False,
Maine,191,213.3,129.3,123.0,,22.3,-61.7,-68.0,,False,False,
Maryland,4602,4828.1,4010.7,3657.0,,226.1,-591.3,-945.0,,False,False,
Massachusetts,10676,11144.7,8666.8,13554.0,,468.7,-2009.2,2878.0,,False,False,
Michigan,9467,8220.3,7988.9,6995.0,,-1246.7,-1478.1,-2472.0,,False,False,
Minnesota,3580,2175.4,3472.6,3152.0,,-1404.6,-107.4,-428.0,,True,True,
Mississippi,3779,3989.3,4094.4,3580.0,,210.3,315.4,-199.0,,False,True,
Missouri,3844,1906.1,2757.5,2122.0,,-1937.9,-1086.5,-1722.0,,True,True,
Montana,669,148.1,1072.8,99.0,,-520.9,403.8,-570.0,,True,False,
Nebraska,989,304.9,572.0,588.0,,-684.1,-417.0,-401.0,,True,True,
Nevada,2119,1764.6,3237.4,1130.0,,-354.4,1118.4,-989.0,,False,False,
New Hampshire,523,589.6,448.8,508.0,,66.6,-74.2,-15.0,,False,True,
New Jersey,16965,21760.1,16606.4,21089.0,,4795.1,-358.6,4124.0,,True,True,
New Mexico,1527,1180.4,1444.4,1731.0,,-346.6,-82.6,204.0,,True,True,
New York,34514,35209.4,33323.3,35860.0,,740.4,-1145.7,1391.0,,False,False,
North Carolina,5219,3487.9,4803.0,6566.0,,-1731.1,-416.0,1347.0,,True,True,
North Dakota,921,226.0,358.0,300.0,,-695.0,-563.0,-621.0,,True,True,
Ohio,6378,5977.0,6727.1,6101.0,,-401.0,349.1,-277.0,,True,True,
Oklahoma,1717,898.6,2338.9,2990.0,,-818.4,621.9,1273.0,,True,False,
Oregon,896,611.3,1070.2,830.0,,-284.7,174.2,-66.0,,True,True,
Pennsylvania,10234,9902.4,9358.7,9152.0,,-331.6,-875.3,-1082.0,,False,False,
Rhode Island,1346,1293.7,1118.2,1182.0,,-41.3,-216.8,-153.0,,False,False,
South Carolina,4346,3760.9,4882.4,4159.0,,-585.1,536.4,-187.0,,True,True,
South Dakota,942,347.3,211.1,252.0,,-594.7,-730.9,-690.0,,False,False,
Tennessee,4541,2647.3,4589.4,4751.0,,-1893.7,48.4,210.0,,True,True,
Texas,21788,14633.9,35844.9,29393.0,11301.0,-6624.1,14586.9,8135.0,-9957.0,False,False,False
Utah,863,830.6,1464.4,1090.0,,-32.4,601.4,227.0,,False,False,
Vermont,67,56.0,60.1,58.0,,-11.0,-6.9,-9.0,,True,True,
Virginia,4054,4209.9,2886.3,3045.0,,155.9,-1167.7,-1009.0,,False,False,
Washington,2703,3006.7,4092.0,2550.0,,303.7,1389.0,-153.0,,False,True,
West Virginia,718,135.7,1326.9,241.0,,-582.3,608.9,-477.0,,False,True,
Wisconsin,3464,1296.6,3455.1,1548.0,,-2138.4,20.1,-1887.0,,True,True,
Wyoming,215,40.9,205.5,60.0,,-174.1,-9.5,-155.0,,True,True,
US,266047,239355.7,327234.2,232692.0,178715.0,-26076.3,61802.2,-32740.0,-86717.0,False,False,False
