,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3572,3005.9,2642.0,3013.8,2930.0,3044.3,3068.0,3056.4,,2704.1,,2982.1,2926.0,2933.8,-566.1,-930.0,-558.2,-642.0,-527.7,-504.0,-515.6,,-867.9,,-589.9,-646.0,-638.2,False,True,False,True,True,True,,False,,False,False,False
Alaska,121,73.7,66.2,106.0,242.0,133.5,,92.2,,68.1,,72.8,132.0,72.4,-47.3,-54.8,-15.0,121.0,12.5,,-28.8,,-52.9,,-48.2,11.0,-48.6,False,True,False,True,,True,,False,,False,True,False
Arizona,6624,6358.1,5844.7,6387.5,6662.0,6836.8,6318.0,6763.8,,5765.1,,6375.2,6218.0,6369.8,-265.9,-779.3,-236.5,38.0,212.8,-306.0,139.8,,-858.9,,-248.8,-406.0,-254.2,False,True,True,True,False,True,,False,,True,False,True
Arkansas,2449,2344.3,2351.8,2382.6,2564.0,2674.5,2427.0,2793.8,,1853.4,,2087.1,2215.0,1774.8,-104.7,-97.2,-66.4,115.0,225.5,-22.0,344.8,,-595.6,,-361.9,-234.0,-674.2,True,True,False,False,True,False,,False,,False,False,False
California,19132,20397.7,18642.6,20369.9,21779.0,19669.8,19270.0,19659.3,,17376.7,,19418.0,19868.0,18506.6,1265.7,-489.4,1237.9,2647.0,537.8,138.0,527.3,,-1755.3,,286.0,736.0,-625.4,True,True,False,True,True,True,,False,,True,True,True
Colorado,2983,2280.1,2275.8,2269.5,2953.0,2475.0,2273.0,2533.7,,2148.9,,2170.2,2345.0,2154.4,-702.9,-707.2,-713.5,-30.0,-508.0,-710.0,-449.3,,-834.1,,-812.8,-638.0,-828.6,False,False,True,True,False,True,,False,,False,True,False
Connecticut,4961,4607.3,4692.8,4784.0,4607.0,4653.5,4628.0,4614.2,,4539.4,,4570.0,4635.0,4535.2,-353.7,-268.2,-177.0,-354.0,-307.5,-333.0,-346.8,,-421.6,,-391.0,-326.0,-425.8,True,True,False,True,True,True,,False,,False,True,False
Delaware,763,739.3,765.0,759.0,691.0,747.5,682.0,707.6,,658.1,,675.7,735.0,696.5,-23.7,2.0,-4.0,-72.0,-15.5,-81.0,-55.4,,-104.9,,-87.3,-28.0,-66.5,True,True,False,True,False,False,,False,,False,False,False
District of Columbia,678,686.0,709.1,678.8,649.0,661.4,646.0,657.7,,643.1,,651.4,662.0,645.3,8.0,31.1,0.8,-29.0,-16.6,-32.0,-20.3,,-34.9,,-26.6,-16.0,-32.7,False,True,False,False,False,False,,False,,False,False,False
Florida,18442,19691.7,18304.4,19473.8,18802.0,18996.4,17993.5,19083.4,,16545.3,,18070.2,18130.0,17023.0,1249.7,-137.6,1031.8,360.0,554.4,-448.5,641.4,,-1896.7,,-371.8,-312.0,-1419.0,True,True,True,True,True,True,,False,,True,True,False
