,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3572,3829.4,2769.5,3366.0,,257.4,-802.5,-206.0,,False,True,
Alaska,121,57.7,166.1,,,-63.3,45.1,,,True,,
Arizona,6624,9795.1,4559.0,7846.0,,3171.1,-2065.0,1222.0,,True,True,
Arkansas,2449,1416.1,1342.2,1523.0,,-1032.9,-1106.8,-926.0,,False,True,
California,19116,24109.3,20582.5,22095.0,,4993.3,1466.5,2979.0,,True,True,
Colorado,2983,2460.6,2342.6,2191.0,,-522.4,-640.4,-792.0,,False,False,
Connecticut,4961,4631.3,4560.9,4536.0,,-329.7,-400.1,-425.0,,False,False,
Delaware,763,622.7,675.5,647.0,,-140.3,-87.5,-116.0,,True,True,
District of Columbia,678,686.1,677.6,644.0,,8.1,-0.4,-34.0,,True,False,
Florida,18442,28261.1,13105.9,18973.0,,9819.1,-5336.1,531.0,,True,True,
Georgia,9424,12175.1,7377.3,7424.0,,2751.1,-2046.7,-2000.0,,True,True,
Hawaii,240,173.7,751.6,,,-66.3,511.6,,,False,,
Idaho,913,744.4,614.0,477.0,,-168.6,-299.0,-436.0,,False,False,
Illinois,12838,9589.3,10011.9,8770.0,,-3248.7,-2826.1,-4068.0,,True,False,
Indiana,5663,4499.9,4590.2,3989.0,,-1163.1,-1072.8,-1674.0,,True,False,
Iowa,2375,1628.7,1539.0,1610.0,,-746.3,-836.0,-765.0,,False,False,
Kansas,1529,792.3,808.7,666.0,,-736.7,-720.3,-863.0,,True,False,
Kentucky,1885,1359.7,,1085.0,,-525.3,,-800.0,,,False,
Louisiana,6391,8132.1,,7290.0,,1741.1,,899.0,,,True,
Maine,191,156.7,,142.0,,-34.3,,-49.0,,,False,
Maryland,4602,4441.3,,3942.0,,-160.7,,-660.0,,,False,
Massachusetts,10676,10368.3,,8991.0,,-307.7,,-1685.0,,,False,
Michigan,9467,7676.6,,7290.0,,-1790.4,,-2177.0,,,False,
Minnesota,3580,2554.3,,2298.0,,-1025.7,,-1282.0,,,False,
Mississippi,3779,4877.1,,4281.0,,1098.1,,502.0,,,True,
Missouri,3844,2111.0,,1879.0,,-1733.0,,-1965.0,,,False,
Montana,669,186.0,,243.0,,-483.0,,-426.0,,,True,
Nebraska,989,598.7,,570.0,,-390.3,,-419.0,,,False,
Nevada,2119,2780.6,,2284.0,,661.6,,165.0,,,True,
New Hampshire,523,482.4,,429.0,,-40.6,,-94.0,,,False,
New Jersey,16965,16476.6,,16237.0,,-488.4,,-728.0,,,False,
New Mexico,1527,1144.9,,1016.0,,-382.1,,-511.0,,,False,
New York,34514,33820.6,,33236.0,,-717.4,,-1302.0,,,False,
North Carolina,5219,4649.9,,4516.0,,-569.1,,-703.0,,,False,
North Dakota,921,318.1,,258.0,,-602.9,,-663.0,,,False,
Ohio,6378,6158.6,,5396.0,,-219.4,,-982.0,,,False,
Oklahoma,1717,1522.7,,1236.0,,-194.3,,-481.0,,,False,
Oregon,896,863.4,,685.0,,-32.6,,-211.0,,,False,
Pennsylvania,10234,9562.7,,7923.0,,-671.3,,-2311.0,,,False,
Rhode Island,1346,1125.0,,1085.0,,-215.0,,-255.0,,,False,
South Carolina,4346,5805.0,,3649.0,,1459.0,,-697.0,,,True,
South Dakota,942,257.0,,295.0,,-685.0,,-647.0,,,True,
Tennessee,4541,3490.6,,3080.0,,-1050.4,,-1461.0,,,False,
Texas,21788,28804.0,,30408.0,20603.0,7021.0,,8625.0,-1180.0,,False,True
Utah,863,764.1,,672.0,,-98.9,,-191.0,,,False,
Vermont,67,58.0,,58.0,,-9.0,,-9.0,,,False,
Virginia,4054,3198.1,,2954.0,,-855.9,,-1100.0,,,False,
Washington,2703,3162.7,,2386.0,,459.7,,-317.0,,,True,
West Virginia,718,472.0,,317.0,,-246.0,,-401.0,,,False,
Wisconsin,3464,1648.1,,1460.0,,-1755.9,,-1944.0,,,False,
Wyoming,215,59.7,,34.0,,-155.3,,-181.0,,,False,
US,266047,275745.7,212959.1,235653.0,250685.0,9745.7,-53040.9,-30347.0,-15315.0,False,False,False
