,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3572,3401.1,3633.6,3427.7,3489.0,3427.0,3419.0,3383.0,3465.7,3513.0,3625.8,3246.0,3522.7,3390.9,3410.1,,3414.0,3454.1,3329.2,3462.0,3243.6,3368.5,3465.9,3409.0,3393.7,3473.0,3551.1,3469.7,,3487.1,3507.0,3266.0,,3383.1,3547.5,3496.0,3440.3,3365.0,3371.5,,3396.4,3566.2,3455.0,3394.1,3473.0,3419.1,3408.5,3275.6,3419.0,-170.9,61.6,-144.3,-83.0,-145.0,-153.0,-189.0,-106.3,-59.0,53.8,-326.0,-49.3,-181.1,-161.9,,-158.0,-117.9,-242.8,-110.0,-328.4,-203.5,-106.1,-163.0,-178.3,-99.0,-20.9,-102.3,,-84.9,-65.0,-306.0,,-188.9,-24.5,-76.0,-131.7,-207.0,-200.5,,-175.6,-5.8,-117.0,-177.9,-99.0,-152.9,-163.5,-296.4,-153.0,True,True,True,True,True,False,True,True,True,False,True,False,True,,True,True,False,True,False,False,True,True,False,True,True,True,,True,True,False,,False,True,True,True,False,False,,False,True,True,False,True,True,True,False,True
Alaska,121,86.9,94.9,96.4,109.0,90.0,107.0,131.0,116.4,142.0,145.3,106.0,109.9,135.3,141.1,,,94.1,137.3,130.0,102.8,84.0,118.8,101.0,111.4,195.0,91.9,192.6,,97.6,109.7,106.0,,,94.3,121.0,147.1,137.0,98.9,,139.9,91.1,124.0,95.7,117.0,114.6,92.0,92.8,,-34.1,-26.1,-24.6,-12.0,-31.0,-14.0,10.0,-4.6,21.0,24.3,-15.0,-11.1,14.3,20.1,,,-26.9,16.3,9.0,-18.2,-37.0,-2.2,-20.0,-9.6,74.0,-29.1,71.6,,-23.4,-11.3,-15.0,,,-26.7,0.0,26.1,16.0,-22.1,,18.9,-29.9,3.0,-25.3,-4.0,-6.4,-29.0,-28.2,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,False,True,True,True,False,True,False,,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,
Arizona,6624,6692.6,7323.5,6631.4,6638.0,6650.7,6651.0,6652.0,6630.8,6819.0,6371.7,6261.0,6621.3,6549.8,6606.6,,6476.0,6595.6,6440.5,6594.0,6384.4,6470.5,6850.7,7160.0,6875.0,6454.0,6839.4,6665.8,,6438.7,6840.1,6405.0,,6428.9,6850.8,6760.0,6927.3,6844.0,6655.1,,6466.6,6857.3,6803.0,6830.0,7092.0,6725.8,6905.5,6393.0,6800.0,68.6,699.5,7.4,14.0,26.7,27.0,28.0,6.8,195.0,-252.3,-363.0,-2.7,-74.2,-17.4,,-148.0,-28.4,-183.5,-30.0,-239.6,-153.5,226.7,536.0,251.0,-170.0,215.4,41.8,,-185.3,216.1,-219.0,,-195.1,226.8,136.0,303.3,220.0,31.1,,-157.4,233.3,179.0,206.0,468.0,101.8,281.5,-231.0,176.0,False,True,True,True,True,True,True,False,False,False,True,False,True,,False,True,False,True,False,False,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
Arkansas,2449,2447.9,2570.7,2505.3,2574.0,2497.1,2490.0,2489.0,2462.6,2730.0,2568.5,2475.0,2446.0,2484.3,2565.2,,2491.0,2564.6,2417.1,2455.0,2271.9,2473.0,2512.0,2501.0,2501.2,2416.0,2497.6,2468.0,,2145.2,2592.5,2408.0,,2621.5,2498.2,2598.0,2406.4,2641.0,2433.6,,2412.2,2512.4,2452.0,2410.3,2548.0,2475.5,2384.0,2291.5,2341.0,-1.1,121.7,56.3,125.0,48.1,41.0,40.0,13.6,281.0,119.5,26.0,-3.0,35.3,116.2,,42.0,115.6,-31.9,6.0,-177.1,24.0,63.0,52.0,52.2,-33.0,48.6,19.0,,-303.8,143.5,-41.0,,172.5,49.2,149.0,-42.6,192.0,-15.4,,-36.8,63.4,3.0,-38.7,99.0,26.5,-65.0,-157.5,-108.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
California,19132,18835.9,18986.2,18864.9,19200.0,18865.8,18949.0,19517.0,19095.1,19145.0,19309.8,18424.0,18700.6,18932.0,19104.7,,18949.0,19067.2,19109.5,18985.0,18852.6,18810.5,18972.4,18845.0,19049.1,19119.0,18449.2,19159.2,,18532.0,18869.6,19104.0,,18804.3,18843.6,19275.0,16964.4,19206.0,18872.0,18966.0,19176.6,18456.5,19272.0,19031.6,19095.0,18973.2,18593.0,18906.6,18634.0,-292.1,-141.8,-263.1,72.0,-262.2,-179.0,389.0,-32.9,17.0,181.8,-704.0,-427.4,-196.0,-23.3,,-179.0,-60.8,-18.5,-143.0,-275.4,-317.5,-155.6,-283.0,-78.9,-9.0,-678.8,31.2,,-596.0,-258.4,-24.0,,-323.7,-284.4,147.0,-2163.6,78.0,-256.0,-162.0,48.6,-671.5,144.0,-96.4,-33.0,-154.8,-535.0,-221.4,-494.0,True,True,True,True,True,False,True,True,True,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,False,True,,False,True,True,,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False
Colorado,2983,2696.9,3135.7,2684.8,2965.0,2701.1,2780.0,3087.0,2855.9,3315.0,2874.4,3731.0,2808.3,2834.2,2826.2,,2670.0,2784.9,2835.0,2793.0,2632.7,2650.0,2951.6,2981.0,2890.1,2763.0,2764.9,2852.2,,2695.6,2883.8,2567.0,,2626.6,3314.3,2715.0,3164.6,2716.0,2671.1,,2628.4,2778.9,2950.0,2592.7,2908.0,2698.1,2744.0,2477.4,2708.0,-286.1,152.7,-298.2,-18.0,-281.9,-203.0,104.0,-127.1,332.0,-108.6,748.0,-174.7,-148.8,-156.8,,-313.0,-198.1,-148.0,-190.0,-350.3,-333.0,-31.4,-2.0,-92.9,-220.0,-218.1,-130.8,,-287.4,-99.2,-416.0,,-356.4,331.3,-268.0,181.6,-267.0,-311.9,,-354.6,-204.1,-33.0,-390.3,-75.0,-284.9,-239.0,-505.6,-275.0,True,False,True,True,True,True,True,False,True,False,True,True,True,,False,True,True,True,False,False,True,True,True,True,True,True,,False,True,False,,False,False,True,True,True,False,,False,True,True,False,True,True,True,False,True
Connecticut,4961,4828.1,4900.8,4829.6,4904.0,4838.9,4886.0,4937.0,4865.5,5111.0,4982.7,5015.0,4881.9,5111.0,4964.8,,4833.0,4895.6,5039.3,4846.0,4775.1,4807.5,4984.2,4891.0,4855.5,4804.0,4899.7,4878.0,,4784.3,4894.2,4672.0,,4816.7,4761.8,4924.0,5711.9,4769.0,4806.5,,4824.2,4915.3,4995.0,4789.5,4899.0,4866.1,4799.0,4675.5,4869.0,-132.9,-60.2,-131.4,-57.0,-122.1,-75.0,-24.0,-95.5,150.0,21.7,54.0,-79.1,150.0,3.8,,-128.0,-65.4,78.3,-115.0,-185.9,-153.5,23.2,-70.0,-105.5,-157.0,-61.3,-83.0,,-176.7,-66.8,-289.0,,-144.3,-199.2,-37.0,750.9,-192.0,-154.5,,-136.8,-45.7,34.0,-171.5,-62.0,-94.9,-162.0,-285.5,-92.0,True,True,True,True,True,True,True,False,True,True,True,False,True,,True,True,True,True,False,False,True,True,True,False,True,True,,False,True,False,,False,False,True,False,False,False,,False,True,True,False,True,True,False,False,True
Delaware,813,740.9,744.9,741.0,764.0,742.0,771.0,792.0,762.1,835.0,791.9,755.0,798.2,785.5,791.1,,766.0,783.2,786.1,755.0,737.9,745.0,778.8,765.0,759.1,764.0,745.5,790.8,,786.7,782.4,759.0,,,727.9,770.0,753.2,797.0,724.7,,825.7,761.8,772.0,773.5,768.0,776.7,761.0,741.4,756.0,-37.1,-33.1,-37.0,-14.0,-36.0,-7.0,14.0,-15.9,57.0,13.9,-23.0,20.2,7.5,13.1,,-12.0,5.2,8.1,-23.0,-40.1,-33.0,0.8,-13.0,-18.9,-14.0,-32.5,12.8,,8.7,4.4,-19.0,,,-50.1,-8.0,-24.8,19.0,-53.3,,47.7,-16.2,-6.0,-4.5,-10.0,-1.3,-17.0,-36.6,-22.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,True,True,True,False,,False,True,True,True,True,True,True,True,True
District of Columbia,678,676.9,745.7,679.6,674.0,678.3,675.0,679.0,678.6,668.0,661.0,665.0,677.0,669.8,683.2,,658.0,666.3,671.9,678.0,664.0,659.0,675.5,666.0,666.1,676.0,,,,664.8,686.5,667.0,,,729.5,679.0,662.7,684.0,677.5,,664.1,,675.0,,678.0,677.9,668.0,661.2,675.0,-1.1,67.7,1.6,-4.0,0.3,-3.0,1.0,0.6,-10.0,-17.0,-13.0,-1.0,-8.2,5.2,,-20.0,-11.7,-6.1,0.0,-14.0,-19.0,-2.5,-12.0,-11.9,-2.0,,,,-13.2,8.5,-11.0,,,51.5,1.0,-15.3,6.0,-0.5,,-13.9,,-3.0,,0.0,-0.1,-10.0,-16.8,-3.0,False,False,False,True,False,True,True,False,False,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,,,,False,False,False,,,False,True,False,False,True,,False,,False,,True,True,False,False,False
Florida,18442,18069.6,18120.0,18126.7,18228.0,18117.4,18234.0,19829.0,18516.9,18665.0,19173.0,18013.0,18259.5,18485.8,18262.4,,18374.0,18855.8,18466.0,18181.0,18031.4,17760.5,18350.7,17777.0,18144.7,18122.0,18203.9,18386.8,,18933.1,18243.2,18476.5,,18276.7,18189.4,18754.0,18982.0,18591.0,18121.3,,18221.6,18210.8,18750.0,18241.0,18437.0,18196.2,17730.0,18141.8,17917.0,-372.4,-322.0,-315.3,-214.0,-324.6,-208.0,1387.0,74.9,223.0,731.0,-429.0,-182.5,43.8,-179.6,,-68.0,413.8,24.0,-261.0,-410.6,-681.5,-91.3,-665.0,-297.3,-320.0,-238.1,-55.2,,491.1,-198.8,34.5,,-165.3,-252.6,312.0,540.0,149.0,-320.7,,-220.4,-231.2,308.0,-201.0,-5.0,-245.8,-712.0,-300.2,-525.0,True,True,True,True,True,False,True,True,False,False,True,True,True,,True,False,True,True,False,False,True,False,True,True,True,True,,False,True,True,,True,True,True,False,True,True,,True,True,True,True,True,True,False,True,False
