,mean_rank
Karlen-pypm,12.6
Caltech-CS156,13.9
SteveMcConnell-CovidComplete,14.0
USC-SI_kJalpha,14.3
UMass-MechBayes,14.7
OliverWyman-Navigator,15.1
Google_Harvard-CPF,15.2
UCSD_NEU-DeepGLEAM,15.9
LNQ-ens1,16.5
MSRA-DeepST,16.5
COVIDhub-ensemble,16.6
CMU-TimeSeries,16.8
MOBS-GLEAM_COVID,17.5
JHUAPL-Bucky,18.3
GT-DeepCOVID,19.0
UA-EpiCovDA,19.1
CU-select,19.4
USC-SI_kJalpha_RF,19.6
JHU_CSSE-DECOM,19.7
LANL-GrowthRate,19.8
JCB-PRM,19.9
Columbia_UNC-SurvCon,20.1
MIT_CritData-GBCF,21.4
epiforecasts-ensemble1,21.6
DDS-NBDS,22.0
IowaStateLW-STEM,22.3
Covid19Sim-Simulator,22.7
BPagano-RtDriven,23.2
COVIDhub-baseline,24.6
CEID-Walk,24.6
UMich-RidgeTfReg,25.0
UT-Mobility,25.3
UCSB-ACTS,25.8
RobertWalraven-ESG,26.4
CovidAnalytics-DELPHI,26.9
PSI-DRAFT,27.5
UCLA-SuEIR,28.1
NotreDame-mobility,28.8
JHU_UNC_GAS-StatMechPool,29.5
TTU-squider,30.3
JHU_IDD-CovidSP,34.7
WalmartLabsML-LogForecasting,37.8
