,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3572,3390.9,5475.4,3406.4,3061.3,2977.6,2885.0,,3058.0,3145.3,2991.8,2920.4,,,3159.5,3487.9,3225.0,3017.1,-181.1,1903.4,-165.6,-510.7,-594.4,-687.0,,-514.0,-426.7,-580.2,-651.6,,,-412.5,-84.1,-347.0,-554.9,False,True,False,False,False,,False,False,False,False,,,False,True,False,False
Alaska,121,73.7,62.0,74.6,233.9,144.3,102.0,,,72.4,138.0,90.3,,,75.9,153.6,96.0,71.7,-47.3,-59.0,-46.4,112.9,23.3,-19.0,,,-48.6,17.0,-30.7,,,-45.1,32.6,-25.0,-49.3,False,True,False,True,True,,,False,True,True,,,True,True,True,False
Arizona,6624,6122.4,5834.5,6171.6,6297.2,6622.9,6212.0,,6279.0,6524.6,6192.0,6175.6,,,6488.0,6558.0,6276.0,6338.6,-501.6,-789.5,-452.4,-326.8,-1.1,-412.0,,-345.0,-99.4,-432.0,-448.4,,,-136.0,-66.0,-348.0,-285.4,False,True,True,True,True,,True,True,True,True,,,True,True,True,True
Arkansas,2449,2556.4,3256.3,2566.9,1867.3,2356.5,2374.0,,2412.0,2642.3,2246.0,2105.6,,,2230.6,2012.2,2407.0,1902.8,107.4,807.3,117.9,-581.7,-92.5,-75.0,,-37.0,193.3,-203.0,-343.4,,,-218.4,-436.8,-42.0,-546.2,False,False,False,True,True,,True,False,False,False,,,False,False,True,False
California,19116,19541.3,19473.7,19731.5,22165.2,19704.2,18581.0,,18790.0,19949.9,19156.3,18193.4,,,19236.5,19425.3,19897.0,18694.6,425.3,357.7,615.5,3049.2,588.2,-535.0,,-326.0,833.9,40.3,-922.6,,,120.5,309.3,781.0,-421.4,True,False,False,False,False,,True,False,True,False,,,True,True,False,True
Colorado,2983,2421.6,3184.7,2485.2,2261.5,2417.2,2738.0,,2269.5,2482.2,2584.7,2286.2,,,2294.5,3909.3,2506.0,2218.6,-561.4,201.7,-497.8,-721.5,-565.8,-245.0,,-713.5,-500.8,-398.3,-696.8,,,-688.5,926.3,-477.0,-764.4,True,True,False,False,True,,False,True,True,False,,,False,False,True,False
Connecticut,4961,4646.6,4805.1,4768.6,4742.1,4639.9,4639.0,,4614.0,4639.7,4834.5,4555.4,,,4595.0,5392.5,4698.0,4550.5,-314.4,-155.9,-192.4,-218.9,-321.1,-322.0,,-347.0,-321.3,-126.5,-405.6,,,-366.0,431.5,-263.0,-410.5,True,True,True,False,False,,False,False,True,False,,,False,False,True,False
Delaware,763,715.7,732.9,726.3,738.6,736.7,707.0,,710.0,732.4,725.7,678.4,,,688.1,872.1,718.0,684.9,-47.3,-30.1,-36.7,-24.4,-26.3,-56.0,,-53.0,-30.6,-37.3,-84.6,,,-74.9,109.1,-45.0,-78.1,True,True,True,True,False,,False,True,True,False,,,False,False,True,False
District of Columbia,678,678.1,688.4,689.6,673.4,665.8,644.0,,650.0,666.6,695.4,668.8,,,649.9,838.0,709.0,649.9,0.1,10.4,11.6,-4.6,-12.2,-34.0,,-28.0,-11.4,17.4,-9.2,,,-28.1,160.0,31.0,-28.1,False,False,False,False,False,,False,False,False,False,,,False,False,False,False
Florida,18442,20116.0,18938.1,19089.9,18272.3,18816.2,17493.0,,18376.0,19548.9,18087.3,18897.2,,,18064.5,17072.4,18002.0,17536.1,1674.0,496.1,647.9,-169.7,374.2,-949.0,,-66.0,1106.9,-354.7,455.2,,,-377.5,-1369.6,-440.0,-905.9,True,True,True,True,True,,True,True,True,True,,,True,True,True,True
Georgia,9424,9157.7,8837.5,9212.2,8336.0,8521.4,8671.0,,8471.0,8502.3,8294.3,8395.8,,,8907.7,8288.2,8633.0,8289.9,-266.3,-586.5,-211.8,-1088.0,-902.6,-753.0,,-953.0,-921.7,-1129.7,-1028.2,,,-516.3,-1135.8,-791.0,-1134.1,False,True,False,False,False,,False,False,False,False,,,False,False,False,False
Hawaii,240,258.1,369.7,272.9,1082.7,234.4,235.0,,,270.9,262.7,246.0,,,226.6,202.5,233.0,215.9,18.1,129.7,32.9,842.7,-5.6,-5.0,,,30.9,22.7,6.0,,,-13.4,-37.5,-7.0,-24.1,False,False,False,True,True,,,False,False,True,,,True,False,True,False
Idaho,913,678.4,1081.4,695.9,1180.6,715.4,633.0,,654.0,754.3,720.0,595.6,,,673.1,775.8,683.0,584.3,-234.6,168.4,-217.1,267.6,-197.6,-280.0,,-259.0,-158.7,-193.0,-317.4,,,-239.9,-137.2,-230.0,-328.7,True,True,False,True,False,,False,True,True,False,,,False,True,True,False
Illinois,12838,10532.9,11257.1,10611.7,11195.8,10418.6,9973.0,,10296.0,11091.0,10893.7,10147.5,,,10215.6,14559.1,10915.0,9638.1,-2305.1,-1580.9,-2226.3,-1642.2,-2419.4,-2865.0,,-2542.0,-1747.0,-1944.3,-2690.5,,,-2622.4,1721.1,-1923.0,-3199.9,True,True,True,False,False,,False,True,True,False,,,False,True,True,False
Indiana,5663,4577.6,5045.8,4576.4,5625.0,4476.3,4355.0,,4302.0,4864.1,4755.7,4333.7,,,4262.9,7275.3,5158.0,3884.6,-1085.4,-617.2,-1086.6,-38.0,-1186.7,-1308.0,,-1361.0,-798.9,-907.3,-1329.3,,,-1400.1,1612.3,-505.0,-1778.4,True,False,True,False,False,,False,True,True,False,,,False,False,True,False
Iowa,2375,1976.3,2328.7,2005.0,2090.2,1924.7,1890.0,,1805.0,1956.0,1905.3,1757.2,,,1883.1,2312.3,2073.0,1666.3,-398.7,-46.3,-370.0,-284.8,-450.3,-485.0,,-570.0,-419.0,-469.7,-617.8,,,-491.9,-62.7,-302.0,-708.7,True,True,True,False,False,,False,False,False,False,,,False,True,True,False
Kansas,1529,1350.0,2990.6,1354.1,1383.3,1086.5,1080.0,,1161.0,1083.0,1248.0,984.5,,,1003.1,1050.9,1277.0,934.8,-179.0,1461.6,-174.9,-145.7,-442.5,-449.0,,-368.0,-446.0,-281.0,-544.5,,,-525.9,-478.1,-252.0,-594.2,False,True,True,False,False,,False,False,False,False,,,False,False,False,False
Kentucky,1885,1546.9,1648.2,1556.9,2439.8,1663.8,1719.0,,1651.0,1741.1,1835.8,1453.9,,,1726.1,2259.8,1843.0,1428.3,-338.1,-236.8,-328.1,554.8,-221.2,-166.0,,-234.0,-143.9,-49.2,-431.1,,,-158.9,374.8,-42.0,-456.7,True,True,False,True,True,,True,True,True,False,,,True,False,True,False
Louisiana,6391,6189.9,6061.2,6274.5,5897.3,6116.3,5956.0,,6120.0,5945.3,6160.5,6057.0,,,6745.5,6338.6,6064.0,5991.9,-201.1,-329.8,-116.5,-493.7,-274.7,-435.0,,-271.0,-445.7,-230.5,-334.0,,,354.5,-52.4,-327.0,-399.1,False,True,False,False,False,,False,False,False,False,,,False,True,False,False
Maine,191,149.9,174.2,153.7,150.5,154.1,155.0,,166.0,147.1,158.5,150.5,,,148.3,184.2,153.0,153.1,-41.1,-16.8,-37.3,-40.5,-36.9,-36.0,,-25.0,-43.9,-32.5,-40.5,,,-42.7,-6.8,-38.0,-37.9,True,True,True,True,True,,True,False,True,True,,,False,True,True,True
Maryland,4602,4280.1,4205.3,4280.2,4111.1,4220.3,4058.0,,4159.0,4318.1,4325.9,4141.0,,7878.0,4165.0,5039.5,4297.0,4151.3,-321.9,-396.7,-321.8,-490.9,-381.7,-544.0,,-443.0,-283.9,-276.1,-461.0,,3276.0,-437.0,437.5,-305.0,-450.7,False,True,False,False,False,,False,True,True,False,,False,False,False,True,False
Massachusetts,10676,10248.6,9944.3,10250.9,12297.8,10963.3,10367.0,,10014.0,10766.4,10494.7,10039.0,,,9874.1,11734.7,10374.0,9897.9,-427.4,-731.7,-425.1,1621.8,287.3,-309.0,,-662.0,90.4,-181.3,-637.0,,,-801.9,1058.7,-302.0,-778.1,False,True,False,True,True,,False,True,True,False,,,False,False,True,False
Michigan,9467,7870.4,8335.2,7924.3,8108.2,7773.2,7634.0,,7671.0,8381.5,8406.9,7459.2,,,7569.9,10100.3,8303.0,7317.5,-1596.6,-1131.8,-1542.7,-1358.8,-1693.8,-1833.0,,-1796.0,-1085.5,-1060.1,-2007.8,,,-1897.1,633.3,-1164.0,-2149.5,True,True,True,False,False,,False,True,True,False,,,False,True,True,False
