,total_deaths_2020-10-25,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Columbia_UNC-SurvCon,225780,265915.0,266047,40686.0,40267,419.0,1.0%
BPagano-RtDriven,225780,264985.2,266047,39756.2,40267,-510.8,-1.3%
Karlen-pypm,225780,267502.8,266047,42273.8,40267,2006.8,5.0%
USC-SI_kJalpha,225780,263067.0,266047,37838.0,40267,-2429.0,-6.0%
IBF-TimeSeries,225780,262595.0,266047,37366.0,40267,-2901.0,-7.2%
Covid19Sim-Simulator,225780,262148.7,266047,36919.7,40267,-3347.3,-8.3%
JHUAPL-Bucky,225780,262094.3,266047,36865.3,40267,-3401.7,-8.4%
QJHong-Encounter,225780,259398.5,266047,34169.5,40267,-6097.5,-15.1%
JCB-PRM,225780,258791.3,266047,33562.3,40267,-6704.7,-16.7%
IHME-CurveFit,225780,258662.4,266047,33433.4,40267,-6833.6,-17.0%
UCM_MESALab-FoGSEIR,225780,258106.0,266047,32877.0,40267,-7390.0,-18.4%
COVIDhub-baseline,225780,252886.5,266047,27657.5,40267,-12609.5,-31.3%
Baseline,225780,252210.4,266047,26981.4,40267,-13285.6,-33.0%
IowaStateLW-STEM,225780,250731.0,266047,25502.0,40267,-14765.0,-36.7%
UCLA-SuEIR,225780,247673.8,266047,22444.8,40267,-17822.2,-44.3%
NotreDame-mobility,225780,247565.3,266047,22336.3,40267,-17930.7,-44.5%
JHU_IDD-CovidSP,225780,247552.1,266047,22323.1,40267,-17943.9,-44.6%
CovidAnalytics-DELPHI,225780,247428.0,266047,22199.0,40267,-18068.0,-44.9%
PSI-DRAFT,225780,247087.0,266047,21858.0,40267,-18409.0,-45.7%
STH-3PU,225780,246891.0,266047,21662.0,40267,-18605.0,-46.2%
USACE-ERDC_SEIR,225780,284874.7,266047,59645.7,40267,19378.7,48.1%
WalmartLabsML-LogForecasting,225780,241968.1,266047,16739.1,40267,-23527.9,-58.4%
LANL-GrowthRate,225780,241033.7,266047,15804.7,40267,-24462.3,-60.8%
NotreDame-FRED,225780,,266047,,40267,,
