,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3572,4794.4,5362.3,3934.0,3583.0,,1222.4,1790.3,362.0,11.0,,False,True,True,
Alaska,121,55.7,214.2,19.0,,,-65.3,93.2,-102.0,,,False,False,,
Arizona,6624,13019.3,7412.6,5910.0,7794.0,,6395.3,788.6,-714.0,1170.0,,True,True,True,
Arkansas,2449,1186.7,2097.9,1033.6,1325.0,,-1262.3,-351.1,-1415.4,-1124.0,,True,False,True,
California,19116,21537.3,27602.8,23210.8,17613.0,,2421.3,8486.8,4094.8,-1503.0,,False,False,True,
Colorado,2983,2544.0,3350.8,3370.9,2078.0,,-439.0,367.8,387.9,-905.0,,True,True,False,
Connecticut,4961,4716.6,4519.5,4836.1,4486.0,,-244.4,-441.5,-124.9,-475.0,,False,True,False,
Delaware,763,1579.0,768.3,573.3,621.0,,816.0,5.3,-189.7,-142.0,,True,True,True,
District of Columbia,678,634.6,695.6,743.0,599.0,,-43.4,17.6,65.0,-79.0,,True,False,False,
Florida,18442,21425.4,26829.3,21654.5,15168.0,,2983.4,8387.3,3212.5,-3274.0,,False,False,False,
Georgia,9424,9283.7,10608.0,8508.8,5392.0,,-140.3,1184.0,-915.2,-4032.0,,False,False,False,
Hawaii,240,61.7,120.2,27.6,,,-178.3,-119.8,-212.4,,,True,False,,
Idaho,913,628.1,1817.7,888.6,419.0,,-284.9,904.7,-24.4,-494.0,,False,True,False,
Illinois,12838,9411.4,10890.5,8676.2,8377.0,,-3426.6,-1947.5,-4161.8,-4461.0,,True,False,False,
Indiana,5663,4349.4,4400.6,3526.9,3767.0,,-1313.6,-1262.4,-2136.1,-1896.0,,True,False,False,
Iowa,2375,1471.9,1991.5,2350.5,1240.0,,-903.1,-383.5,-24.5,-1135.0,,True,True,False,
Kansas,1529,723.9,1596.7,438.2,588.0,,-805.1,67.7,-1090.8,-941.0,,True,False,False,
Kentucky,1885,1235.7,2953.5,1247.2,991.0,,-649.3,1068.5,-637.8,-894.0,,False,True,False,
Louisiana,6391,7691.6,7367.8,5358.9,7846.0,,1300.6,976.8,-1032.1,1455.0,,True,True,False,
Maine,191,154.7,127.0,209.4,174.0,,-36.3,-64.0,18.4,-17.0,,False,True,True,
Maryland,4602,4565.0,5053.1,4394.2,4186.0,,-37.0,451.1,-207.8,-416.0,,False,False,False,
Massachusetts,10676,10279.0,8885.6,10344.8,9015.0,,-397.0,-1790.4,-331.2,-1661.0,,False,True,False,
Michigan,9467,7007.1,7717.6,7565.2,7304.0,,-2459.9,-1749.4,-1901.8,-2163.0,,True,True,True,
Minnesota,3580,2203.3,2778.8,1930.6,2632.0,,-1376.7,-801.2,-1649.4,-948.0,,True,False,True,
Mississippi,3779,3957.3,4640.6,2707.0,3085.0,,178.3,861.6,-1072.0,-694.0,,False,False,False,
Missouri,3844,2512.6,6855.6,1715.4,1632.0,,-1331.4,3011.6,-2128.6,-2212.0,,False,False,False,
Montana,669,206.7,750.7,573.3,144.0,,-462.3,81.7,-95.7,-525.0,,True,True,False,
Nebraska,989,583.9,1003.6,360.4,446.0,,-405.1,14.6,-628.6,-543.0,,True,False,False,
Nevada,2119,2287.6,2664.6,2243.7,1861.0,,168.6,545.6,124.7,-258.0,,False,True,False,
New Hampshire,523,605.4,514.1,460.2,426.0,,82.4,-8.9,-62.8,-97.0,,True,True,False,
New Jersey,16965,17233.4,17126.5,18009.7,16034.0,,268.4,161.5,1044.7,-931.0,,True,False,False,
New Mexico,1527,1381.9,1154.5,955.9,828.0,,-145.1,-372.5,-571.1,-699.0,,False,False,False,
New York,34514,35040.7,33379.5,35632.1,33200.0,,525.7,-1135.5,1117.1,-1315.0,,False,False,False,
North Carolina,5219,4763.4,4810.9,3315.6,3820.0,,-455.6,-408.1,-1903.4,-1399.0,,True,False,False,
North Dakota,921,224.0,484.9,255.4,148.0,,-697.0,-436.1,-665.6,-773.0,,True,True,False,
Ohio,6378,5682.0,5904.7,4006.2,4422.0,,-696.0,-473.3,-2371.8,-1956.0,,True,False,False,
Oklahoma,1717,1299.6,1655.1,2249.6,1740.0,,-417.4,-61.9,532.6,23.0,,True,False,True,
Oregon,896,806.9,715.5,904.0,458.0,,-89.1,-180.5,8.0,-438.0,,False,True,False,
Pennsylvania,10234,9002.0,9243.8,8247.5,8661.0,,-1232.0,-990.2,-1986.5,-1573.0,,True,False,False,
Rhode Island,1346,1216.3,1622.2,1098.1,1124.0,,-129.7,276.2,-247.9,-222.0,,False,False,False,
South Carolina,4346,7491.0,4044.5,4047.6,3434.0,,3145.0,-301.5,-298.4,-912.0,,True,True,True,
South Dakota,942,212.3,173.2,287.1,276.0,,-729.7,-768.8,-654.9,-666.0,,False,True,True,
Tennessee,4541,3181.3,6557.9,2272.6,2664.0,,-1359.7,2016.9,-2268.4,-1877.0,,False,False,False,
Texas,21788,24076.0,20994.5,20309.3,31134.0,20510.0,3021.0,-60.5,-745.7,10079.0,-545.0,True,True,False,True
Utah,863,827.6,1118.7,1092.0,729.0,,-35.4,255.7,229.0,-134.0,,False,False,False,
Vermont,67,56.0,65.3,56.7,56.0,,-11.0,-1.7,-10.3,-11.0,,True,True,False,
Virginia,4054,2988.7,3935.1,2856.3,2554.0,,-1065.3,-118.9,-1197.7,-1500.0,,True,False,False,
Washington,2703,2465.3,2745.8,4664.1,1947.0,,-237.7,42.8,1961.1,-756.0,,True,False,False,
West Virginia,718,156.6,479.4,128.9,137.0,,-561.4,-238.6,-589.1,-581.0,,True,False,False,
Wisconsin,3464,1749.1,2430.9,1082.5,1339.0,,-1665.9,-984.1,-2332.5,-2076.0,,True,False,False,
Wyoming,215,25.0,173.6,21.5,27.0,,-190.0,-41.4,-193.5,-188.0,,True,False,True,
US,266047,261238.6,276723.6,240524.5,225040.0,283333.0,-4027.4,11457.6,-24741.5,-40226.0,18067.0,False,False,False,False
