,total_deaths_2020-09-06,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Baseline,189019,259099.7,266047,70158.7,77028,-6869.3,-8.9%
IowaStateLW-STEM,189019,241618.0,266047,52677.0,77028,-24351.0,-31.6%
UCLA-SuEIR,189019,230955.1,266047,42014.1,77028,-35013.9,-45.5%
Covid19Sim-Simulator,189019,229803.5,266047,40862.5,77028,-36165.5,-47.0%
IHME-CurveFit,189019,317374.7,266047,128433.7,77028,51405.7,66.7%
STH-3PU,189019,210977.0,266047,22036.0,77028,-54992.0,-71.4%
