,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3572,3284.7,2992.7,2753.6,4103.0,,3056.9,-287.3,-579.3,-818.4,531.0,,-515.1,False,False,False,,False
Alaska,121,54.9,88.1,52.6,,,57.9,-66.1,-32.9,-68.4,,,-63.1,True,False,,,True
Arizona,6624,7004.9,6481.7,7047.7,6485.0,,6516.9,380.9,-142.3,423.7,-139.0,,-107.1,True,False,True,,True
Arkansas,2449,3152.4,2851.3,2005.5,2754.0,,2199.3,703.4,402.3,-443.5,305.0,,-249.7,True,True,True,,True
California,19116,21304.9,17823.7,26061.1,19849.0,,19716.7,2188.9,-1292.3,6945.1,733.0,,600.7,True,False,True,,True
Colorado,2983,2270.3,2303.7,2501.6,2256.0,,2150.7,-712.7,-679.3,-481.4,-727.0,,-832.3,True,True,False,,False
Connecticut,4961,4610.3,4578.3,4833.0,4653.0,,4560.1,-350.7,-382.7,-128.0,-308.0,,-400.9,False,True,True,,False
Delaware,763,680.1,706.3,730.5,684.0,,667.4,-82.9,-56.7,-32.5,-79.0,,-95.6,True,True,True,,False
District of Columbia,678,659.4,651.3,749.9,646.0,,640.6,-18.6,-26.7,71.9,-32.0,,-37.4,False,False,False,,False
Florida,18442,20077.7,18093.7,23530.7,18476.0,,17928.7,1635.7,-348.3,5088.7,34.0,,-513.3,True,False,True,,True
Georgia,9424,9253.6,8116.4,9243.7,8942.0,,8964.0,-170.4,-1307.6,-180.3,-482.0,,-460.0,False,False,False,,False
Hawaii,240,327.0,168.4,166.4,,,240.3,87.0,-71.6,-73.6,,,0.3,True,True,,,True
Idaho,913,719.0,666.3,697.8,761.0,,645.9,-194.0,-246.7,-215.2,-152.0,,-267.1,False,False,True,,False
Illinois,12838,10115.3,9755.1,10708.6,9767.0,,9785.7,-2722.7,-3082.9,-2129.4,-3071.0,,-3052.3,False,True,False,,False
Indiana,5663,4176.3,4095.4,4544.1,4244.0,,3990.2,-1486.7,-1567.6,-1118.9,-1419.0,,-1672.8,False,True,True,,False
Iowa,2375,1708.6,1636.6,2287.4,1903.0,,1724.3,-666.4,-738.4,-87.6,-472.0,,-650.7,False,True,True,,True
Kansas,1529,1255.4,1087.3,2043.3,952.0,,993.1,-272.6,-440.7,515.3,-576.0,,-534.9,False,False,False,,False
Kentucky,1885,1613.7,1657.2,2448.8,2032.0,,1724.7,-271.3,-227.8,563.8,147.0,,-160.3,True,False,True,,True
Louisiana,6391,6679.0,6159.5,6588.1,6870.0,,7009.3,288.0,-231.5,197.1,479.0,,618.3,True,True,False,,False
Maine,191,168.6,155.9,151.3,252.0,,154.8,-22.4,-35.1,-39.7,61.0,,-36.2,False,False,False,,False
Maryland,4602,4283.1,4249.1,4915.1,4249.0,,4122.9,-318.9,-352.9,313.1,-353.0,,-479.1,False,True,False,,False
