,total_deaths_2020-10-11,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Columbia_UNC-SurvCon,215312,259124.3,266428,44356.3,51116,-6759.7,-13.2%
IBF-TimeSeries,215312,257353.0,266428,42585.0,51116,-8531.0,-16.7%
QJHong-Encounter,215312,257084.1,266428,42316.1,51116,-8799.9,-17.2%
JCB-PRM,215312,255164.8,266428,40396.8,51116,-10719.2,-21.0%
Covid19Sim-Simulator,215312,253660.7,266428,38892.7,51116,-12223.3,-23.9%
USACE-ERDC_SEIR,215312,278475.4,266428,63707.4,51116,12591.4,24.6%
USC-SI_kJalpha,215312,253027.0,266428,38259.0,51116,-12857.0,-25.2%
BPagano-RtDriven,215312,251193.6,266428,36425.6,51116,-14690.4,-28.7%
Baseline,215312,249376.0,266428,34608.0,51116,-16508.0,-32.3%
COVIDhub-baseline,215312,249279.0,266428,34511.0,51116,-16605.0,-32.5%
JHUAPL-Bucky,215312,248024.0,266428,33256.0,51116,-17860.0,-34.9%
STH-3PU,215312,245923.0,266428,31155.0,51116,-19961.0,-39.1%
IowaStateLW-STEM,215312,245852.0,266428,31084.0,51116,-20032.0,-39.2%
UCLA-SuEIR,215312,244934.6,266428,30166.6,51116,-20949.4,-41.0%
CovidAnalytics-DELPHI,215312,238475.0,266428,23707.0,51116,-27409.0,-53.6%
WalmartLabsML-LogForecasting,215312,236735.3,266428,21967.3,51116,-29148.7,-57.0%
LANL-GrowthRate,215312,232624.0,266428,17856.0,51116,-33260.0,-65.1%
