,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3572,3627.7,4327.4,5057.4,3180.0,,3071.0,55.7,755.4,1485.4,-392.0,,-501.0,False,False,False,,False
Alaska,121,101.3,114.1,60.3,,,68.2,-19.7,-6.9,-60.7,,,-52.8,True,False,,,False
Arizona,6624,7485.7,6497.9,7004.4,7599.0,,6574.6,861.7,-126.1,380.4,975.0,,-49.4,True,True,False,,True
Arkansas,2449,2198.3,2172.5,2652.7,1825.0,,1786.5,-250.7,-276.5,203.7,-624.0,,-662.5,False,True,False,,False
California,19132,23145.6,17751.0,31859.7,21300.0,,20634.4,4013.6,-1381.0,12727.7,2168.0,,1502.4,True,False,True,,True
Colorado,2983,2327.7,2189.4,2636.0,2276.0,,2143.6,-655.3,-793.6,-347.0,-707.0,,-839.4,False,True,False,,False
Connecticut,4961,4503.6,4551.7,4672.7,4606.0,,4532.1,-457.4,-409.3,-288.3,-355.0,,-428.9,True,True,True,,True
Delaware,813,668.3,679.0,924.6,661.0,,646.0,-129.7,-119.0,126.6,-137.0,,-152.0,True,True,False,,False
District of Columbia,678,670.3,641.1,805.4,644.0,,678.1,-7.7,-36.9,127.4,-34.0,,0.1,False,False,False,,True
Florida,18442,20504.7,15571.3,21164.8,17928.0,,17180.0,2062.7,-2870.7,2722.8,-514.0,,-1262.0,False,False,True,,True
Georgia,9424,11171.1,8805.7,12265.7,8316.0,,8572.7,1747.1,-618.3,2841.7,-1108.0,,-851.3,True,False,True,,True
Hawaii,240,345.9,343.3,163.7,,,351.5,105.9,103.3,-76.3,,,111.5,True,True,,,False
Idaho,913,693.3,632.1,1365.2,752.0,,618.8,-219.7,-280.9,452.2,-161.0,,-294.2,False,False,True,,False
Illinois,12838,10310.9,10318.5,14709.1,9387.0,,10318.8,-2527.1,-2519.5,1871.1,-3451.0,,-2519.2,True,True,False,,True
Indiana,6270,4229.6,4146.2,5298.4,4196.0,,4071.4,-2079.4,-2162.8,-1010.6,-2113.0,,-2237.6,False,True,False,,False
Iowa,2375,1807.3,2551.5,3130.3,2013.0,,1766.9,-567.7,176.5,755.3,-362.0,,-608.1,True,False,True,,False
Kansas,1529,860.4,994.5,1293.2,695.0,,834.9,-668.6,-534.5,-235.8,-834.0,,-694.1,True,True,False,,False
Kentucky,1885,1790.4,1929.6,3448.5,1350.0,,1899.9,-94.6,44.6,1563.5,-535.0,,14.9,True,False,False,,True
Louisiana,6391,7013.9,5886.2,7987.2,6458.0,,6566.2,622.9,-504.8,1596.2,67.0,,175.2,True,False,True,,True
Maine,191,157.7,157.4,206.7,200.0,,145.5,-33.3,-33.6,15.7,9.0,,-45.5,False,True,True,,False
Maryland,4602,4356.3,4412.1,5847.8,4106.0,,4076.7,-245.7,-189.9,1245.8,-496.0,,-525.3,True,False,False,,False
Massachusetts,10676,10026.1,12846.5,12926.2,9459.0,,9307.9,-649.9,2170.5,2250.2,-1217.0,,-1368.1,False,False,False,,False
Michigan,9467,7493.7,7583.1,9871.9,7706.0,,7354.0,-1973.3,-1883.9,404.9,-1761.0,,-2113.0,True,True,True,,False
Minnesota,3580,2430.7,2608.2,5081.4,2390.0,,2445.8,-1149.3,-971.8,1501.4,-1190.0,,-1134.2,True,False,False,,True
Mississippi,3779,4279.6,3797.7,3930.8,4295.0,,3456.8,500.6,18.7,151.8,516.0,,-322.2,True,True,False,,True
Missouri,3873,3487.3,3414.6,3941.4,2306.0,,2437.2,-360.7,-433.4,93.4,-1542.0,,-1410.8,False,True,False,,False
Montana,669,271.1,324.0,198.7,345.0,,192.4,-397.9,-345.0,-470.3,-324.0,,-476.6,True,False,True,,False
Nebraska,989,546.3,658.5,789.0,593.0,,488.0,-442.7,-330.5,-200.0,-396.0,,-501.0,True,True,True,,False
Nevada,2119,2420.6,1915.9,3380.4,2089.0,,2233.4,301.6,-203.1,1261.4,-30.0,,114.4,True,False,True,,True
New Hampshire,523,444.9,465.1,537.2,462.0,,468.5,-78.1,-57.9,14.2,-61.0,,-54.5,True,True,True,,True
New Jersey,16965,16605.6,16188.5,16542.5,16424.0,,16522.8,-359.4,-776.5,-422.5,-541.0,,-442.2,False,False,False,,False
New Mexico,1527,1194.3,1059.6,1617.2,1108.0,,1018.7,-332.7,-467.4,90.2,-419.0,,-508.3,False,True,False,,False
New York,34526,33911.9,33570.9,35339.8,33425.0,,33505.5,-614.1,-955.1,813.8,-1101.0,,-1020.5,False,False,False,,False
North Carolina,5219,5237.7,5338.9,7314.2,4790.0,,4767.2,18.7,119.9,2095.2,-429.0,,-451.8,False,False,False,,False
North Dakota,921,322.0,465.2,441.9,267.0,,299.8,-599.0,-455.8,-479.1,-654.0,,-621.2,True,True,False,,False
Ohio,7693,5800.4,5942.3,7865.1,6014.0,,5228.6,-2156.6,-2014.7,-91.9,-1943.0,,-2728.4,True,True,True,,False
Oklahoma,1717,1493.3,1675.0,3050.6,1633.0,,1238.3,-223.7,-42.0,1333.6,-84.0,,-478.7,True,False,True,,False
Oregon,896,753.7,748.1,1648.9,664.0,,681.1,-142.3,-147.9,752.9,-232.0,,-214.9,False,False,False,,False
Pennsylvania,10234,8840.9,8917.9,11061.1,8396.0,,8323.8,-1393.1,-1316.1,827.1,-1838.0,,-1910.2,True,True,False,,False
Rhode Island,1399,1161.7,1165.1,1795.9,1120.0,,1121.5,-204.3,-200.9,429.9,-246.0,,-244.5,True,False,False,,False
South Carolina,4346,4997.6,4879.6,5510.8,4134.0,,4250.0,651.6,533.6,1164.8,-212.0,,-96.0,True,False,True,,True
South Dakota,942,244.1,451.6,295.8,301.0,,299.7,-697.9,-490.4,-646.2,-641.0,,-642.3,True,True,True,,True
Tennessee,4541,3264.1,3322.0,5821.2,3362.0,,3307.9,-1276.9,-1219.0,1280.2,-1179.0,,-1233.1,True,False,True,,True
Texas,22130,25167.3,19316.8,29731.1,23190.0,21437.0,20453.2,3333.3,-2517.2,7897.1,1356.0,-397.0,-1380.8,True,False,True,True,True
Utah,863,599.9,773.8,1398.0,745.0,,618.7,-263.1,-89.2,535.0,-118.0,,-244.3,True,False,True,,True
Vermont,67,58.0,61.4,58.8,58.0,,60.2,-9.0,-5.6,-8.2,-9.0,,-6.8,True,True,False,,True
Virginia,4054,3970.4,4056.7,7731.0,3379.0,,3139.8,-83.6,2.7,3677.0,-675.0,,-914.2,True,False,False,,False
Washington,2714,2522.1,2229.8,3169.4,2323.0,,2595.4,-196.9,-489.2,450.4,-396.0,,-123.6,False,False,False,,True
West Virginia,718,664.0,1229.2,1122.8,406.0,,358.2,-54.0,511.2,404.8,-312.0,,-359.8,False,False,False,,False
Wisconsin,3464,1713.4,1899.6,2566.9,1606.0,,1663.9,-1694.6,-1508.4,-841.1,-1802.0,,-1744.1,True,True,False,,False
Wyoming,215,101.3,63.4,81.0,78.0,,62.1,-113.7,-151.6,-134.0,-137.0,,-152.9,False,False,False,,False
US,268482,259099.7,229803.5,317374.7,241618.0,210977.0,230955.1,-9264.3,-38560.5,49010.7,-26746.0,-57387.0,-37408.9,False,False,False,False,False
