,mean_rank
COVIDhub-ensemble,14.0
UMass-MechBayes,14.9
Caltech-CS156,15.0
JCB-PRM,16.1
OliverWyman-Navigator,16.3
LNQ-ens1,16.4
USC-SI_kJalpha,16.5
MSRA-DeepST,16.6
UChicagoCHATTOPADHYAY-UnIT,16.7
UCSD_NEU-DeepGLEAM,16.8
Karlen-pypm,17.3
UA-EpiCovDA,17.4
Google_Harvard-CPF,17.6
MOBS-GLEAM_COVID,18.2
JHU_CSSE-DECOM,18.2
CU-select,18.6
BPagano-RtDriven,19.1
GT-DeepCOVID,19.9
SteveMcConnell-CovidComplete,20.6
IowaStateLW-STEM,20.8
LANL-GrowthRate,21.0
CMU-TimeSeries,21.1
JHU_IDD-CovidSP,21.3
JHUAPL-Bucky,21.4
UCSB-ACTS,21.7
epiforecasts-ensemble1,21.8
Columbia_UNC-SurvCon,22.0
MIT_CritData-GBCF,22.1
COVIDhub-baseline,23.7
CEID-Walk,23.7
RobertWalraven-ESG,23.9
CovidAnalytics-DELPHI,24.8
UT-Mobility,25.4
UMich-RidgeTfReg,25.6
DDS-NBDS,25.9
PSI-DRAFT,26.4
NotreDame-mobility,27.5
IQVIA_ACOE-STAN,27.8
UCLA-SuEIR,28.1
USACE-ERDC_SEIR,29.4
TTU-squider,33.1
WalmartLabsML-LogForecasting,38.0
