,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3572,3165.3,3425.9,3073.0,,2989.6,-406.7,-146.1,-499.0,,-582.4,True,False,,False
Alaska,121,65.7,125.3,,,60.7,-55.3,4.3,,,-60.3,True,,,False
Arizona,6624,6418.6,6511.0,6964.0,,6431.2,-205.4,-113.0,340.0,,-192.8,True,False,,True
Arkansas,2449,1925.6,2151.8,2455.0,,1662.2,-523.4,-297.2,6.0,,-786.8,True,True,,False
California,19116,21402.6,17480.1,20888.0,,19223.1,2286.6,-1635.9,1772.0,,107.1,True,True,,True
Colorado,2983,2161.7,2253.9,2353.0,,2112.5,-821.3,-729.1,-630.0,,-870.5,True,True,,False
Connecticut,4961,4610.3,4570.6,4632.0,,4560.8,-350.7,-390.4,-329.0,,-400.2,False,True,,False
Delaware,763,680.1,723.9,660.0,,654.0,-82.9,-39.1,-103.0,,-109.0,True,False,,False
District of Columbia,678,670.3,654.5,653.0,,644.8,-7.7,-23.5,-25.0,,-33.2,False,False,,False
Florida,18442,20848.6,16974.4,18200.0,,18090.3,2406.6,-1467.6,-242.0,,-351.7,True,True,,True
Georgia,9424,9546.7,8420.1,8852.0,,8881.9,122.7,-1003.9,-572.0,,-542.1,False,False,,False
Hawaii,240,251.0,193.6,,,219.5,11.0,-46.4,,,-20.5,False,,,False
Idaho,913,740.7,704.4,697.0,,649.1,-172.3,-208.6,-216.0,,-263.9,False,False,,False
Illinois,12838,10180.4,9778.0,9926.0,,9683.0,-2657.6,-3060.0,-2912.0,,-3155.0,False,False,,False
Indiana,5663,4241.4,4197.9,4633.0,,3970.7,-1421.6,-1465.1,-1030.0,,-1692.3,False,True,,False
Iowa,2375,1795.4,1847.2,2010.0,,1706.7,-579.6,-527.8,-365.0,,-668.3,True,True,,False
Kansas,1529,1038.3,917.6,689.0,,852.2,-490.7,-611.4,-840.0,,-676.8,False,False,,False
Kentucky,1885,1754.9,1816.9,1906.0,,1681.2,-130.1,-68.1,21.0,,-203.8,True,True,,False
Louisiana,6391,6776.7,5965.4,6419.0,,7173.0,385.7,-425.6,28.0,,782.0,False,True,,False
Maine,191,157.7,153.9,225.0,,143.1,-33.3,-37.1,34.0,,-47.9,False,False,,False
Maryland,4602,4261.4,4414.4,4090.0,,4106.7,-340.6,-187.6,-512.0,,-495.3,True,False,,False
Massachusetts,10676,10132.9,9523.3,9651.0,,9543.5,-543.1,-1152.7,-1025.0,,-1132.5,False,False,,False
Michigan,9467,8051.0,8036.6,7766.0,,7459.1,-1416.0,-1430.4,-1701.0,,-2007.9,False,False,,False
Minnesota,3580,2644.1,2480.0,2800.0,,2544.6,-935.9,-1100.0,-780.0,,-1035.4,False,True,,False
Mississippi,3779,3923.9,3342.4,4838.0,,3630.9,144.9,-436.6,1059.0,,-148.1,False,False,,False
Missouri,3844,2230.4,3148.5,2379.0,,2219.8,-1613.6,-695.5,-1465.0,,-1624.2,True,True,,False
Montana,669,330.4,344.9,536.0,,231.7,-338.6,-324.1,-133.0,,-437.3,True,True,,False
Nebraska,989,759.7,802.9,907.0,,575.3,-229.3,-186.1,-82.0,,-413.7,True,True,,False
Nevada,2119,2136.0,1846.3,2101.0,,2262.4,17.0,-272.7,-18.0,,143.4,False,False,,False
New Hampshire,523,468.6,481.9,506.0,,477.1,-54.4,-41.1,-17.0,,-45.9,True,True,,True
New Jersey,16965,16487.0,16392.3,16711.0,,16302.3,-478.0,-572.7,-254.0,,-662.7,False,True,,False
New Mexico,1527,1040.1,1014.1,1201.0,,942.7,-486.9,-512.9,-326.0,,-584.3,False,True,,False
New York,34514,33413.9,33481.2,33916.0,,33370.9,-1100.1,-1032.8,-598.0,,-1143.1,True,True,,False
North Carolina,5219,4810.9,4608.6,5434.0,,4254.8,-408.1,-610.4,215.0,,-964.2,False,True,,False
North Dakota,921,298.3,491.2,376.0,,214.7,-622.7,-429.8,-545.0,,-706.3,True,True,,False
Ohio,6378,6108.7,5756.5,6820.0,,5648.7,-269.3,-621.5,442.0,,-729.3,False,False,,False
Oklahoma,1717,1469.6,1504.3,1819.0,,1377.7,-247.4,-212.7,102.0,,-339.3,True,True,,False
Oregon,896,813.0,707.8,837.0,,750.5,-83.0,-188.2,-59.0,,-145.5,False,True,,False
Pennsylvania,10234,8686.7,8986.4,8767.0,,8278.4,-1547.3,-1247.6,-1467.0,,-1955.6,True,True,,False
Rhode Island,1346,1244.7,1180.1,1139.0,,1149.0,-101.3,-165.9,-207.0,,-197.0,False,False,,False
South Carolina,4346,4985.7,4815.6,4432.0,,4316.1,639.7,469.6,86.0,,-29.9,True,True,,True
South Dakota,942,303.4,372.1,451.0,,236.1,-638.6,-569.9,-491.0,,-705.9,True,True,,False
Tennessee,4541,4390.6,3370.5,4000.0,,3743.6,-150.4,-1170.5,-541.0,,-797.4,False,False,,False
Texas,21788,22558.7,18021.4,21828.0,22529.0,19879.7,780.7,-3756.6,50.0,751.0,-1898.3,False,True,True,False
Utah,863,552.4,835.5,855.0,,610.9,-310.6,-27.5,-8.0,,-252.1,True,True,,True
Vermont,67,58.0,62.8,88.0,,60.1,-9.0,-4.2,21.0,,-6.9,True,False,,True
Virginia,4054,3223.4,3693.7,4002.0,,3055.5,-830.6,-360.3,-52.0,,-998.5,True,True,,False
Washington,2703,2403.6,2353.1,2314.0,,2549.4,-299.4,-349.9,-389.0,,-153.6,False,False,,True
West Virginia,718,462.4,1006.8,766.0,,424.6,-255.6,288.8,48.0,,-293.4,False,True,,False
Wisconsin,3464,1666.0,2216.6,1867.0,,1571.1,-1740.0,-1189.4,-1539.0,,-1834.9,True,True,,False
Wyoming,215,42.0,68.3,180.0,,47.8,-173.0,-146.7,-35.0,,-167.2,True,True,,True
US,266047,249768.1,228994.2,250995.0,245027.0,229800.3,-16208.9,-36982.8,-14982.0,-20950.0,-36176.7,False,True,False,False
