,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3572,3385.7,3271.7,3387.1,3464.0,3371.2,3414.0,3333.0,3418.1,4310.0,3691.5,3175.0,3307.6,3294.5,3511.5,,3313.0,3404.4,3536.4,3539.0,3200.0,3332.5,3523.7,3447.0,3408.7,3420.0,3466.5,3482.2,,3525.2,3429.9,3502.0,,3321.0,2913.9,,3509.0,3359.9,3515.0,3330.1,,3499.0,3483.0,3460.0,3384.9,3479.0,3358.1,3363.5,3213.2,3365.0,-186.3,-300.3,-184.9,-108.0,-200.8,-158.0,-239.0,-153.9,738.0,119.5,-397.0,-264.4,-277.5,-60.5,,-259.0,-167.6,-35.6,-33.0,-372.0,-239.5,-48.3,-125.0,-163.3,-152.0,-105.5,-89.8,,-46.8,-142.1,-70.0,,-251.0,-658.1,,-63.0,-212.1,-57.0,-241.9,,-73.0,-89.0,-112.0,-187.1,-93.0,-213.9,-208.5,-358.8,-207.0,False,True,True,False,True,False,True,False,True,False,False,False,True,,False,True,True,True,False,False,True,True,True,True,True,True,,True,True,True,,False,False,,True,False,True,False,,True,True,True,False,True,False,False,False,False
Alaska,121,140.9,86.8,130.2,123.0,138.0,127.0,167.0,153.6,132.0,137.5,110.0,117.8,123.3,123.9,,,113.7,111.6,167.0,108.8,84.5,151.5,107.0,154.2,184.0,169.9,184.0,,121.2,162.5,104.0,,,68.1,,439.0,146.6,147.0,101.6,,111.3,166.5,156.0,97.9,141.0,135.5,109.0,95.7,131.0,19.9,-34.2,9.2,2.0,17.0,6.0,46.0,32.6,11.0,16.5,-11.0,-3.2,2.3,2.9,,,-7.3,-9.4,46.0,-12.2,-36.5,30.5,-14.0,33.2,63.0,48.9,63.0,,0.2,41.5,-17.0,,,-52.9,,318.0,25.6,26.0,-19.4,,-9.7,45.5,35.0,-23.1,20.0,14.5,-12.0,-25.3,10.0,False,True,True,True,True,False,False,True,True,True,True,True,True,,,True,True,False,True,False,False,True,False,False,False,False,,True,False,True,,,False,,False,False,False,True,,True,False,False,False,False,True,True,False,True
Arizona,6624,6384.0,6288.2,6405.0,6310.0,6419.9,6348.0,6594.0,6496.4,6377.0,6336.1,6069.0,6238.2,6346.6,6344.2,,6174.0,6350.4,6229.4,6330.0,6209.8,6202.5,6453.9,6517.0,6439.8,6220.0,6600.4,6473.0,,6343.0,6430.6,6163.0,,6249.5,5964.9,,6690.0,6795.1,6345.0,6523.9,,6051.6,6638.5,6700.0,6714.0,6718.0,6372.6,6243.0,6275.9,6481.0,-240.0,-335.8,-219.0,-314.0,-204.1,-276.0,-30.0,-127.6,-247.0,-287.9,-555.0,-385.8,-277.4,-279.8,,-450.0,-273.6,-394.6,-294.0,-414.2,-421.5,-170.1,-107.0,-184.2,-404.0,-23.6,-151.0,,-281.0,-193.4,-461.0,,-374.5,-659.1,,66.0,171.1,-279.0,-100.1,,-572.4,14.5,76.0,90.0,94.0,-251.4,-381.0,-348.1,-143.0,False,True,False,True,False,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,True,False,True,True,,False,True,False,,False,False,,True,True,False,True,,False,True,True,True,True,False,False,False,True
Arkansas,2449,2521.1,2340.3,2438.7,2397.0,2437.0,2450.0,2397.0,2346.9,2663.0,2553.2,2470.0,2504.6,2402.4,2594.4,,2462.0,2592.8,2394.6,2534.0,2201.2,2458.5,2516.0,2410.0,2497.2,2361.0,2489.5,2471.1,,2224.8,2593.1,2398.0,,2613.1,2281.4,,2508.0,2273.8,2218.0,2351.0,,2420.5,2506.8,2544.0,2356.9,2508.0,2403.2,2362.0,2206.6,2317.0,72.1,-108.7,-10.3,-52.0,-12.0,1.0,-52.0,-102.1,214.0,104.2,21.0,55.6,-46.6,145.4,,13.0,143.8,-54.4,85.0,-247.8,9.5,67.0,-39.0,48.2,-88.0,40.5,22.1,,-224.2,144.1,-51.0,,164.1,-167.6,,59.0,-175.2,-231.0,-98.0,,-28.5,57.8,95.0,-92.1,59.0,-45.8,-87.0,-242.4,-132.0,False,True,True,True,True,True,False,False,False,True,True,True,False,,True,False,True,False,False,True,True,True,True,False,True,True,,False,False,True,,False,False,,True,False,False,False,,True,True,False,False,True,True,False,False,False
California,19132,18878.3,20082.4,18923.2,18959.0,18921.8,19096.0,18910.0,19095.8,19800.0,19405.2,18362.0,18646.5,19159.6,19423.5,,18912.0,19254.9,19273.5,19201.0,18928.9,18879.5,19115.1,18976.0,19115.6,18851.0,18266.4,19213.9,,18350.0,18810.3,19520.0,,19096.5,18548.6,,19189.0,16872.8,19590.0,18819.1,18998.0,18520.6,18271.9,19264.0,19245.1,19535.0,18969.5,18521.0,18925.4,18576.0,-252.7,951.4,-207.8,-172.0,-209.2,-35.0,-221.0,-35.2,669.0,274.2,-769.0,-484.5,28.6,292.5,,-219.0,123.9,142.5,70.0,-202.1,-251.5,-15.9,-155.0,-15.4,-280.0,-864.6,82.9,,-781.0,-320.7,389.0,,-34.5,-582.4,,58.0,-2258.2,459.0,-311.9,-133.0,-610.4,-859.1,133.0,114.1,404.0,-161.5,-610.0,-205.6,-555.0,False,True,True,True,True,True,True,False,False,False,False,True,False,,True,True,True,True,True,True,True,True,True,False,False,True,,False,False,False,,True,False,,True,False,False,False,True,False,False,True,True,False,True,False,True,False
Colorado,2983,2538.7,2398.6,2549.9,2768.0,2553.4,2613.0,3034.0,2743.9,3155.0,2865.2,3696.0,2574.1,2945.9,2850.3,,2527.0,2625.7,2804.0,2681.0,2535.5,2597.5,2745.7,2737.0,2888.2,2651.0,2582.4,2663.6,,2595.5,2685.1,2505.0,,2514.9,2298.8,,2500.0,2875.6,2550.0,2523.6,,2631.9,2600.8,2998.0,2487.1,2761.0,2595.9,2503.5,2383.8,2565.0,-444.3,-584.4,-433.1,-215.0,-429.6,-370.0,51.0,-239.1,172.0,-117.8,713.0,-408.9,-37.1,-132.7,,-456.0,-357.3,-179.0,-302.0,-447.5,-385.5,-237.3,-246.0,-94.8,-332.0,-400.6,-319.4,,-387.5,-297.9,-478.0,,-468.1,-684.2,,-483.0,-107.4,-433.0,-459.4,,-351.1,-382.2,15.0,-495.9,-222.0,-387.1,-479.5,-599.2,-418.0,False,True,True,True,True,True,True,True,True,False,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,False,,False,True,True,False,,True,True,True,False,True,True,False,False,True
Connecticut,4961,4766.4,4921.7,4779.5,4833.0,4785.7,4827.0,4856.0,4827.5,5170.0,4899.7,4920.0,4743.1,4843.6,4853.7,,4721.0,4836.6,4947.6,4778.0,4718.9,4833.0,4904.2,4956.0,4777.3,4744.0,4817.4,4824.2,,4732.1,4803.2,4685.0,,4790.8,4732.6,,4856.0,5728.1,4708.0,4718.7,,4847.9,4837.7,4908.0,4730.6,4846.0,4780.5,4749.0,4629.4,4767.0,-194.6,-39.3,-181.5,-128.0,-175.3,-134.0,-105.0,-133.5,209.0,-61.3,-41.0,-217.9,-117.4,-107.3,,-240.0,-124.4,-13.4,-183.0,-242.1,-128.0,-56.8,-5.0,-183.7,-217.0,-143.6,-136.8,,-228.9,-157.8,-276.0,,-170.2,-228.4,,-105.0,767.1,-253.0,-242.3,,-113.1,-123.3,-53.0,-230.4,-115.0,-180.5,-212.0,-331.6,-194.0,True,True,True,True,True,True,True,False,True,True,False,True,True,,False,True,True,True,False,True,True,True,True,False,True,True,,False,True,False,,True,False,,True,False,False,False,,True,True,True,False,True,True,False,False,True
Delaware,813,821.9,790.1,819.7,769.0,820.5,796.0,773.0,784.5,787.0,748.1,753.0,817.1,784.7,765.3,,752.0,803.1,732.7,805.0,743.8,766.0,774.3,764.0,778.1,767.0,798.3,803.3,,792.1,870.7,771.0,,,923.8,,836.0,770.9,886.0,719.6,,795.9,821.2,808.0,788.6,819.0,809.5,830.0,740.4,847.0,36.9,5.1,34.7,-16.0,35.5,11.0,-12.0,-0.5,2.0,-36.9,-32.0,32.1,-0.3,-19.7,,-33.0,18.1,-52.3,20.0,-41.2,-19.0,-10.7,-21.0,-6.9,-18.0,13.3,18.3,,7.1,85.7,-14.0,,,138.8,,51.0,-14.1,101.0,-65.4,,10.9,36.2,23.0,3.6,34.0,24.5,45.0,-44.6,62.0,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,True,False,True,True,True,True,True,True,True,,True,False,True,,,False,,False,True,False,False,,True,True,True,True,True,True,False,False,False
District of Columbia,678,661.4,647.4,665.4,664.0,664.4,664.0,687.0,667.4,659.0,671.9,652.0,667.6,664.9,673.6,,656.0,658.2,668.9,667.0,660.5,646.0,665.3,660.0,649.8,670.0,,,,659.8,669.8,664.0,,,647.5,,685.0,656.4,674.0,653.2,,663.8,,673.0,,664.0,667.6,657.0,655.7,,-16.6,-30.6,-12.6,-14.0,-13.6,-14.0,9.0,-10.6,-19.0,-6.1,-26.0,-10.4,-13.1,-4.4,,-22.0,-19.8,-9.1,-11.0,-17.5,-32.0,-12.7,-18.0,-28.2,-8.0,,,,-18.2,-8.2,-14.0,,,-30.5,,7.0,-21.6,-4.0,-24.8,,-14.2,,-5.0,,-14.0,-10.4,-21.0,-22.3,,False,True,True,True,True,True,True,False,True,False,True,True,True,,False,False,True,True,False,False,True,False,False,True,,,,False,True,True,,,False,,True,False,True,False,,True,,True,,True,True,False,False,
Florida,18442,18177.6,18444.7,18171.1,18150.0,18136.5,18452.0,19072.0,18645.4,20524.0,20087.9,18008.0,18341.2,18705.8,19443.0,,18433.0,19514.8,19234.2,18353.0,18272.5,18209.5,19056.1,17689.0,18403.1,18363.0,17693.5,18669.0,,18132.4,18203.8,18465.0,,18718.0,16799.0,,18705.0,18263.6,19194.0,17792.8,,18525.4,17674.0,18905.0,17967.0,18937.0,18298.0,17840.0,18156.6,18637.0,-264.4,2.7,-270.9,-292.0,-305.5,10.0,630.0,203.4,2082.0,1645.9,-434.0,-100.8,263.8,1001.0,,-9.0,1072.8,792.2,-89.0,-169.5,-232.5,614.1,-753.0,-38.9,-79.0,-748.5,227.0,,-309.6,-238.2,23.0,,276.0,-1643.0,,263.0,-178.4,752.0,-649.2,,83.4,-768.0,463.0,-475.0,495.0,-144.0,-602.0,-285.4,195.0,True,False,False,False,True,False,True,False,False,False,True,True,False,,True,False,False,True,True,True,False,False,True,True,False,True,,False,True,True,,False,False,,True,True,False,False,,True,False,False,False,False,True,False,False,True
