,mean_rank
Karlen-pypm,14.5
Google_Harvard-CPF,14.5
UMass-MechBayes,14.7
Caltech-CS156,16.1
COVIDhub-ensemble,16.3
MSRA-DeepST,16.8
LNQ-ens1,17.0
CU-select,17.3
SteveMcConnell-CovidComplete,17.3
USC-SI_kJalpha,18.0
GT-DeepCOVID,18.1
Covid19Sim-Simulator,18.3
OliverWyman-Navigator,18.4
UCSD_NEU-DeepGLEAM,18.8
JHUAPL-Bucky,18.8
MOBS-GLEAM_COVID,18.9
JCB-PRM,18.9
CMU-TimeSeries,19.6
JHU_CSSE-DECOM,19.6
UA-EpiCovDA,19.7
LANL-GrowthRate,19.9
Columbia_UNC-SurvCon,20.2
UCSB-ACTS,20.5
MIT_CritData-GBCF,21.2
epiforecasts-ensemble1,21.3
USC-SI_kJalpha_RF,21.5
BPagano-RtDriven,22.3
COVIDhub-baseline,22.7
CEID-Walk,23.0
IowaStateLW-STEM,23.7
PSI-DRAFT,24.1
UMich-RidgeTfReg,24.3
JHU_UNC_GAS-StatMechPool,24.9
UT-Mobility,25.5
NotreDame-mobility,25.6
CovidAnalytics-DELPHI,26.2
DDS-NBDS,26.6
UCLA-SuEIR,27.4
TTU-squider,29.0
JHU_IDD-CovidSP,30.3
RobertWalraven-ESG,34.4
WalmartLabsML-LogForecasting,36.8
