,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1456,1760.0,,,1532.0,1098.0,,,,,1160.5,1179.8,,,1142.0,,2157.7,848.4,1581.0,,2076.0,1700.6,,1574.0,1163.1,,,,,1298.0,,,,1903.9,304.0,,,76.0,-358.0,,,,,-295.5,-276.2,,,-314.0,,701.7,-607.6,125.0,,620.0,244.6,,118.0,-292.9,,,,,-158.0,,,,447.9,,,True,False,,,,,True,True,,,False,,False,False,True,,False,True,,True,True,,,,,True,,,,False
01003,4454,4228.0,,,4188.0,3715.0,,,,,3483.6,3763.1,,,3004.0,,4492.2,2753.3,4949.0,,4215.0,4216.5,,4462.0,4161.5,,,,,3459.7,2511.0,,,6754.5,-226.0,,,-266.0,-739.0,,,,,-970.4,-690.9,,,-1450.0,,38.2,-1700.7,495.0,,-239.0,-237.5,,8.0,-292.5,,,,,-994.3,-1943.0,,,2300.5,,,False,False,,,,,False,False,,,False,,True,False,False,,False,False,,True,False,,,,,False,False,,,False
01005,393,244.0,,,275.0,183.0,,,,,277.5,250.8,,,393.0,,200.0,150.1,,,287.0,284.1,,343.0,264.4,,,,,,,,,244.1,-149.0,,,-118.0,-210.0,,,,,-115.5,-142.2,,,0.0,,-193.0,-242.9,,,-106.0,-108.9,,-50.0,-128.6,,,,,,,,,-148.9,,,True,False,,,,,True,True,,,True,,False,False,,,True,True,,True,True,,,,,,,,,True
01007,543,736.0,,,614.0,319.0,,,,,493.7,454.8,,,457.0,,1750.9,345.5,,,752.0,591.5,,648.0,562.0,,,,,,,,,1081.9,193.0,,,71.0,-224.0,,,,,-49.3,-88.2,,,-86.0,,1207.9,-197.5,,,209.0,48.5,,105.0,19.0,,,,,,,,,538.9,,,True,False,,,,,True,True,,,True,,False,False,,,False,True,,True,True,,,,,,,,,False
01009,1101,1788.0,,,1711.0,1303.0,,,,,1167.9,1326.6,,,1480.0,,1919.9,954.7,1920.5,,2156.5,1816.0,,1633.0,1415.7,,,,,1400.5,,,,2242.9,687.0,,,610.0,202.0,,,,,66.9,225.6,,,379.0,,818.9,-146.3,819.5,,1055.5,715.0,,532.0,314.7,,,,,299.5,,,,1141.9,,,True,True,,,,,True,True,,,True,,False,True,False,,False,False,,True,True,,,,,True,,,,False
01011,236,108.0,,,111.0,0.0,,,,,144.7,94.8,,,157.0,,44.5,59.4,,,104.0,117.8,,158.0,167.6,,,,,,,,,90.7,-128.0,,,-125.0,-236.0,,,,,-91.3,-141.2,,,-79.0,,-191.5,-176.6,,,-132.0,-118.2,,-78.0,-68.4,,,,,,,,,-145.3,,,True,False,,,,,True,False,,,True,,False,False,,,False,True,,True,True,,,,,,,,,False
01013,293,348.0,,,339.0,31.0,,,,,343.9,238.6,,,308.0,,360.1,253.8,,,342.0,324.6,,407.0,393.9,,,,,,,,,376.4,55.0,,,46.0,-262.0,,,,,50.9,-54.4,,,15.0,,67.1,-39.2,,,49.0,31.6,,114.0,100.9,,,,,,,,,83.4,,,True,False,,,,,True,True,,,True,,False,True,,,True,True,,False,False,,,,,,,,,False
01015,2484,3336.0,,,2921.0,2648.0,,,,,2334.0,3173.1,,,2624.0,,1470.1,1696.4,3152.0,,3827.5,3417.9,,3110.0,2691.9,,,,,2513.2,,,,3012.7,852.0,,,437.0,164.0,,,,,-150.0,689.1,,,140.0,,-1013.9,-787.6,668.0,,1343.5,933.9,,626.0,207.9,,,,,29.2,,,,528.7,,,True,True,,,,,True,True,,,True,,False,True,True,,False,False,,True,True,,,,,True,,,,True
01017,702,476.0,,,487.0,538.0,,,,,453.3,456.2,,,588.0,,181.6,307.1,493.5,,399.5,474.3,,550.0,371.4,,,,,,,,,466.3,-226.0,,,-215.0,-164.0,,,,,-248.7,-245.8,,,-114.0,,-520.4,-394.9,-208.5,,-302.5,-227.7,,-152.0,-330.6,,,,,,,,,-235.7,,,True,True,,,,,False,False,,,True,,False,False,True,,False,False,,True,False,,,,,,,,,False
01019,322,364.0,,,391.0,324.0,,,,,329.9,304.0,,,593.0,,308.7,219.8,,,416.5,441.5,,489.0,393.6,,,,,,,,,388.1,42.0,,,69.0,2.0,,,,,7.9,-18.0,,,271.0,,-13.3,-102.2,,,94.5,119.5,,167.0,71.6,,,,,,,,,66.1,,,False,True,,,,,True,True,,,False,,True,False,,,False,False,,False,False,,,,,,,,,False
