,mean_rank
Covid19Sim-Simulator,9.5
USC-SI_kJalpha,9.9
JHU_UNC_GAS-StatMechPool,10.7
COVIDhub-ensemble,11.8
MOBS-GLEAM_COVID,12.3
LANL-GrowthRate,12.9
JHUAPL-Bucky,13.3
Karlen-pypm,13.4
UCSB-ACTS,13.6
COVIDhub-baseline,13.8
Google_Harvard-CPF,14.2
CEID-Walk,14.2
OliverWyman-Navigator,14.8
OneQuietNight-ML,14.8
UCLA-SuEIR,14.9
IowaStateLW-STEM,15.2
Microsoft-DeepSTIA,15.4
UChicagoCHATTOPADHYAY-UnIT,16.3
BPagano-RtDriven,16.3
RobertWalraven-ESG,16.5
IEM_MED-CovidProject,17.5
JHU_CSSE-DECOM,17.6
UMich-RidgeTfReg,18.3
LNQ-ens1,19.0
Geneva-DetGrowth,19.1
DDS-NBDS,20.3
CU-select,20.9
UVA-Ensemble,21.2
TTU-squider,21.5
CovidAnalytics-DELPHI,23.4
JHU_IDD-CovidSP,23.5
