,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,77223,70662.0,132592.2,66868.2,75776.0,52894.0,,85899.1,105523.0,127699.4,51650.4,,75323.9,90668.0,100413.7,70456.8,73614.0,48489.7,84218.5,137071.0,79029.5,54890.5,76290.5,89927.0,76235.0,,63821.1,101946.9,,76939.4,128892.4,70095.4,75782.0,64448.1,-6561.0,55369.2,-10354.8,-1447.0,-24329.0,,8676.1,28300.0,50476.4,-25572.6,,-1899.1,13445.0,23190.7,-6766.2,-3609.0,-28733.3,6995.5,59848.0,1806.5,-22332.5,-932.5,12704.0,-988.0,,-13401.9,24723.9,,-283.6,51669.4,-7127.6,-1441.0,-12774.9,False,False,True,False,,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,True,False,True,,False,False,,True,False,False,True,False
Alaska,6174,5373.0,4565.9,5081.2,4822.0,2441.0,,5711.4,4513.0,8631.1,6384.2,,3506.7,,7939.3,2830.1,3138.0,3779.3,1659.0,5297.0,5049.0,4222.5,7272.2,6034.0,4882.0,,2985.1,8388.4,,5019.5,15246.3,7589.1,5445.0,3858.1,-801.0,-1608.1,-1092.8,-1352.0,-3733.0,,-462.6,-1661.0,2457.1,210.2,,-2667.3,,1765.3,-3343.9,-3036.0,-2394.7,-4515.0,-877.0,-1125.0,-1951.5,1098.2,-140.0,-1292.0,,-3188.9,2214.4,,-1154.5,9072.3,1415.1,-729.0,-2315.9,False,False,False,False,,True,False,False,True,,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,True,False
Arizona,173860,134430.0,179816.1,133734.1,129192.0,110334.0,,137249.4,180497.0,231518.4,120196.2,,115593.2,128923.0,166542.4,107138.1,130037.0,118017.4,124105.5,124334.2,124147.5,98506.7,115534.9,162657.0,131967.0,,115867.4,227943.8,,118199.2,211368.5,145328.1,137535.0,221850.6,-39430.0,5956.1,-40125.9,-44668.0,-63526.0,,-36610.6,6637.0,57658.4,-53663.8,,-58266.8,-44937.0,-7317.6,-66721.9,-43823.0,-55842.6,-49754.5,-49525.8,-49712.5,-75353.3,-58325.1,-11203.0,-41893.0,,-57992.6,54083.8,,-55660.8,37508.5,-28531.9,-36325.0,47990.6,True,False,False,False,,True,True,False,False,,False,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,,False,True,True,True,False
Arkansas,56209,41565.0,51537.2,41937.1,42847.0,32643.0,,47485.2,43428.0,73854.9,31798.9,,41375.2,55194.0,59605.7,36158.8,49589.0,28554.1,41552.5,48480.8,47407.0,29855.6,40781.6,50208.0,41888.0,,36621.6,35934.5,,39767.7,68302.0,46853.2,39991.0,40419.8,-14644.0,-4671.8,-14271.9,-13362.0,-23566.0,,-8723.8,-12781.0,17645.9,-24410.1,,-14833.8,-1015.0,3396.7,-20050.2,-6620.0,-27654.9,-14656.5,-7728.2,-8802.0,-26353.4,-15427.4,-6001.0,-14321.0,,-19587.4,-20274.5,,-16441.3,12093.0,-9355.8,-16218.0,-15789.2,True,True,True,False,,True,True,False,False,,False,True,True,False,True,False,False,True,True,False,False,True,True,,False,False,,False,True,True,False,False
California,838495,834159.0,1382640.4,848184.0,917609.0,845474.0,,1018305.6,918669.0,1864630.1,1353276.8,,1416708.3,852088.0,1294007.7,1400095.6,747398.0,586024.7,610930.0,2139391.1,1373512.5,869988.5,784961.2,1070119.0,807118.0,,917609.2,764258.8,,785061.6,1535816.1,1018843.8,998068.0,1249691.1,-4336.0,544145.4,9689.0,79114.0,6979.0,,179810.6,80174.0,1026135.1,514781.8,,578213.3,13593.0,455512.7,561600.6,-91097.0,-252470.3,-227565.0,1300896.1,535017.5,31493.5,-53533.8,231624.0,-31377.0,,79114.2,-74236.2,,-53433.4,697321.1,180348.8,159573.0,411196.1,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Colorado,49864,51063.0,32059.7,51475.1,41853.0,34388.0,,49590.4,27789.0,51784.1,49212.9,,32284.9,56673.0,51983.9,24271.5,53127.0,29534.7,23335.0,45768.2,37912.0,35869.4,43070.0,50895.0,36784.0,,30070.5,38690.2,,59717.1,79954.7,33778.1,52828.0,55017.3,1199.0,-17804.3,1611.1,-8011.0,-15476.0,,-273.6,-22075.0,1920.1,-651.1,,-17579.1,6809.0,2119.9,-25592.5,3263.0,-20329.3,-26529.0,-4095.8,-11952.0,-13994.6,-6794.0,1031.0,-13080.0,,-19793.5,-11173.8,,9853.1,30090.7,-16085.9,2964.0,5153.3,False,False,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False
Connecticut,50679,29883.0,34707.8,28329.8,31215.0,17312.0,,36116.8,23729.0,8764201.4,36930.1,,32168.7,40846.0,58384.2,25092.5,21382.0,43648.9,17101.0,35129.1,35120.5,21092.7,36491.3,32788.0,23454.0,,21182.2,61509.7,,38300.5,78496.2,27576.9,28967.0,29517.1,-20796.0,-15971.2,-22349.2,-19464.0,-33367.0,,-14562.2,-26950.0,8713522.4,-13748.9,,-18510.3,-9833.0,7705.2,-25586.5,-29297.0,-7030.1,-33578.0,-15549.9,-15558.5,-29586.3,-14187.7,-17891.0,-27225.0,,-29496.8,10830.7,,-12378.5,27817.2,-23102.1,-21712.0,-21161.9,True,False,True,False,,True,False,False,True,,True,True,True,False,False,True,False,True,True,False,True,True,False,,False,True,,True,False,False,False,False
Delaware,14899,13011.0,22087.8,13431.2,13203.0,10436.0,,14113.9,22490.0,22611.7,12754.5,,13588.4,13021.0,19638.8,9023.5,14043.0,10785.3,6599.5,15121.6,9928.5,11832.7,17533.0,16496.0,12462.0,,10723.4,24921.4,,12187.6,25949.8,12737.6,14726.0,9254.5,-1888.0,7188.8,-1467.8,-1696.0,-4463.0,,-785.1,7591.0,7712.7,-2144.5,,-1310.6,-1878.0,4739.8,-5875.5,-856.0,-4113.7,-8299.5,222.6,-4970.5,-3066.3,2634.0,1597.0,-2437.0,,-4175.6,10022.4,,-2711.4,11050.8,-2161.4,-173.0,-5644.5,False,True,True,False,,True,False,False,False,,True,True,False,False,True,False,False,True,False,False,False,True,False,,False,False,,False,False,False,True,False
District of Columbia,5827,4104.0,9364.4,4009.2,4538.0,3242.0,,4621.7,3802.0,4927.6,2292.7,,5332.1,4824.0,5521.8,3517.1,4543.0,4549.6,4537.0,9089.9,5320.0,4790.3,,4781.0,2746.0,,3281.9,10442.4,,4931.8,7697.8,,4588.0,4525.5,-1723.0,3537.4,-1817.8,-1289.0,-2585.0,,-1205.3,-2025.0,-899.4,-3534.3,,-494.9,-1003.0,-305.2,-2309.9,-1284.0,-1277.4,-1290.0,3262.9,-507.0,-1036.7,,-1046.0,-3081.0,,-2545.1,4615.4,,-895.2,1870.8,,-1239.0,-1301.5,False,False,True,False,,True,False,True,False,,True,True,True,False,True,True,True,False,True,True,,True,False,,False,False,,True,False,,True,True
Florida,295598,214269.0,232351.4,212249.0,229835.0,188374.0,,234706.0,276221.0,439299.6,275378.4,,225809.5,255213.0,279625.0,185692.0,202481.0,217658.2,200583.0,341780.5,230053.0,196894.7,251464.6,258473.0,259954.0,,219895.3,218658.7,,207175.6,322847.2,241205.0,240626.0,217224.5,-81329.0,-63246.6,-83349.0,-65763.0,-107224.0,,-60892.0,-19377.0,143701.6,-20219.6,,-69788.5,-40385.0,-15973.0,-109906.0,-93117.0,-77939.8,-95015.0,46182.5,-65545.0,-98703.3,-44133.4,-37125.0,-35644.0,,-75702.7,-76939.3,,-88422.4,27249.2,-54393.0,-54972.0,-78373.5,True,False,True,False,,True,True,False,True,,True,True,True,False,False,True,False,True,True,False,True,True,True,,True,True,,False,True,True,True,True
