,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2175,1464.0,1035.0,,,,,1066.0,,1147.7,712.1,1322.0,,789.6,,,-711.0,-1140.0,,,,,-1109.0,,-1027.3,-1462.9,-853.0,,-1385.4,,,False,,,,,False,,False,False,False,,False,,
01003,6550,5358.0,6927.0,,,,,2884.0,,9110.4,2538.0,7128.5,,3927.9,5821.0,,-1192.0,377.0,,,,,-3666.0,,2560.4,-4012.0,578.5,,-2622.1,-729.0,,True,,,,,False,,False,False,True,,False,True,
01005,504,276.0,141.0,,,,,385.0,,326.6,181.0,211.0,,,,,-228.0,-363.0,,,,,-119.0,,-177.4,-323.0,-293.0,,,,,False,,,,,True,,True,False,False,,,,
01007,861,624.0,358.0,,,,,456.0,,870.1,319.5,467.0,,,,,-237.0,-503.0,,,,,-405.0,,9.1,-541.5,-394.0,,,,,False,,,,,False,,True,False,False,,,,
01009,2011,2154.0,1599.0,,,,,1467.0,,1721.2,871.8,1815.5,,1194.5,,,143.0,-412.0,,,,,-544.0,,-289.8,-1139.2,-195.5,,-816.5,,,False,,,,,False,,False,False,False,,False,,
01011,275,102.0,0.0,,,,,154.0,,110.6,47.1,47.0,,,,,-173.0,-275.0,,,,,-121.0,,-164.4,-227.9,-228.0,,,,,False,,,,,True,,True,False,False,,,,
01013,469,360.0,31.0,,,,,311.0,,226.4,171.2,344.0,,,,,-109.0,-438.0,,,,,-158.0,,-242.6,-297.8,-125.0,,,,,False,,,,,False,,False,False,False,,,,
01015,4051,4356.0,5737.0,,,,,2708.0,,4771.3,1545.7,4613.0,,2776.9,,,305.0,1686.0,,,,,-1343.0,,720.3,-2505.3,562.0,,-1274.1,,,False,,,,,False,,False,False,False,,False,,
01017,917,798.0,777.0,,,,,592.0,,701.9,433.4,554.0,,,,,-119.0,-140.0,,,,,-325.0,,-215.1,-483.6,-363.0,,,,,False,,,,,False,,False,False,False,,,,
01019,510,408.0,296.0,,,,,593.0,,190.6,213.3,320.0,,,,,-102.0,-214.0,,,,,83.0,,-319.4,-296.7,-190.0,,,,,False,,,,,True,,False,False,False,,,,
01021,981,828.0,290.0,,,,,846.0,,1395.9,356.5,1028.0,,569.1,,,-153.0,-691.0,,,,,-135.0,,414.9,-624.5,47.0,,-411.9,,,False,,,,,True,,False,False,True,,False,,
01023,75,96.0,38.0,,,,,260.0,,571.3,39.4,75.0,,,,,21.0,-37.0,,,,,185.0,,496.3,-35.6,0.0,,,,,False,,,,,False,,False,False,True,,,,
01025,1136,456.0,287.0,,,,,475.0,,403.1,245.2,417.0,,,,,-680.0,-849.0,,,,,-661.0,,-732.9,-890.8,-719.0,,,,,False,,,,,True,,False,False,False,,,,
01027,307,222.0,164.0,,,,,278.0,,175.8,79.3,256.0,,,,,-85.0,-143.0,,,,,-29.0,,-131.2,-227.7,-51.0,,,,,False,,,,,True,,False,False,True,,,,
01029,354,282.0,66.0,,,,,349.0,,151.2,85.5,243.0,,,,,-72.0,-288.0,,,,,-5.0,,-202.8,-268.5,-111.0,,,,,False,,,,,True,,False,False,False,,,,
01031,1744,1098.0,1313.0,,,,,833.0,,669.9,735.3,1124.0,,732.0,,,-646.0,-431.0,,,,,-911.0,,-1074.1,-1008.7,-620.0,,-1012.0,,,True,,,,,False,,False,False,True,,False,,
01033,1782,2382.0,1585.0,,,,,1833.0,,2487.9,992.2,1958.5,,1129.1,,,600.0,-197.0,,,,,51.0,,705.9,-789.8,176.5,,-652.9,,,True,,,,,True,,False,False,True,,False,,
01035,209,306.0,203.0,,,,,198.0,,305.5,94.8,117.0,,,,,97.0,-6.0,,,,,-11.0,,96.5,-114.2,-92.0,,,,,True,,,,,True,,True,False,True,,,,
01037,212,294.0,389.0,,,,,159.0,,276.1,61.3,380.0,,,,,82.0,177.0,,,,,-53.0,,64.1,-150.7,168.0,,,,,False,,,,,True,,True,False,False,,,,
01039,914,1014.0,427.0,,,,,688.0,,1506.0,357.3,590.0,,608.5,,,100.0,-487.0,,,,,-226.0,,592.0,-556.7,-324.0,,-305.5,,,False,,,,,False,,False,False,False,,False,,
01041,445,180.0,84.0,,,,,207.0,,79.0,75.0,178.0,,,,,-265.0,-361.0,,,,,-238.0,,-366.0,-370.0,-267.0,,,,,False,,,,,True,,False,False,False,,,,
01043,3014,3546.0,2040.0,,,,,2651.0,,2035.7,1372.1,3958.0,,2573.7,,,532.0,-974.0,,,,,-363.0,,-978.3,-1641.9,944.0,,-440.3,,,False,,,,,True,,False,False,False,,True,,
01045,1433,1104.0,616.0,,,,,858.0,,711.2,478.0,1502.0,,615.7,,,-329.0,-817.0,,,,,-575.0,,-721.8,-955.0,69.0,,-817.3,,,False,,,,,False,,False,False,True,,False,,
01047,657,696.0,305.0,,,,,597.0,,459.2,494.1,494.0,,364.7,,,39.0,-352.0,,,,,-60.0,,-197.8,-162.9,-163.0,,-292.3,,,False,,,,,False,,False,False,False,,False,,
