,count,mean,median,std,min,25%,75%,max
LANL-GrowthRate,51,34432.4,17091.5,53014.5,319.5,5873.0,42648.8,328514.5
CU-select,51,42987.4,21011.0,68901.1,1648.0,7108.5,48355.0,427491.0
Covid19Sim-Simulator,51,54624.5,20094.6,89089.9,853.0,11573.2,62404.2,556358.1
COVIDhub-baseline,51,55536.4,17032.0,116190.3,145.0,8238.0,71019.5,802984.0
JHU_IDD-CovidSP,51,55637.4,25328.3,109588.6,378.3,7095.1,58939.4,733838.4
JHUAPL-Bucky,51,56230.7,29995.2,92886.7,86.9,7369.1,72082.5,605440.1
IowaStateLW-STEM,49,58861.2,16317.0,129240.2,211.0,5779.0,57845.0,868805.0
UCLA-SuEIR,51,64130.1,30943.9,107083.9,147.5,7345.6,81874.3,667944.2
USC-SI_kJalpha,51,64543.0,31716.0,118445.7,521.0,8223.0,61604.0,777868.0
JCB-PRM,51,74157.0,38514.8,87807.8,1414.7,22134.2,89290.3,440432.0
CovidAnalytics-DELPHI,51,90723.3,34886.0,130167.3,299.0,13818.0,108888.0,674053.0
Wadhwani_AI-BayesOpt,45,115450.1,82088.5,133978.5,3571.7,31078.8,134545.3,655235.1
