,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,127840,126260.0,125881.0,,134308.0,168814.0,,135559.0,204133.3,156585.5,69511.0,263200.8,154443.0,,,89898.6,137450.0,181381.3,-1580.0,-1959.0,,6468.0,40974.0,,7719.0,76293.3,28745.5,-58329.0,135360.8,26603.0,,,-37941.4,9610.0,53541.3,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Alaska,11156,21130.0,21796.0,,24837.6,11638.0,,,28750.8,36496.1,10229.8,24162.0,18233.5,,,18281.2,16459.0,28942.7,9974.0,10640.0,,13681.6,482.0,,,17594.8,25340.1,-926.2,13006.0,7077.5,,,7125.2,5303.0,17786.7,False,,False,True,,,False,False,True,False,True,,,True,True,False
Arizona,264312,218445.0,224253.0,,256544.5,403154.0,,230730.0,395375.1,315035.9,185033.9,463780.0,276599.0,,,202078.0,197159.0,441959.8,-45867.0,-40059.0,,-7767.5,138842.0,,-33582.0,131063.1,50723.9,-79278.1,199468.0,12287.0,,,-62234.0,-67153.0,177647.8,True,,True,False,,True,False,False,False,False,True,,,False,False,False
Arkansas,85926,74350.0,64253.0,,76125.5,72189.0,,91348.0,107312.8,60487.8,44982.7,65154.9,77852.5,,,75233.4,62447.0,81594.3,-11576.0,-21673.0,,-9800.5,-13737.0,,5422.0,21386.8,-25438.2,-40943.3,-20771.1,-8073.5,,,-10692.6,-23479.0,-4331.7,False,,True,False,,True,False,False,False,False,True,,,True,False,True
California,1407430,1056175.0,1503253.0,,1340339.9,1138763.0,,1027895.0,1803719.4,2460385.8,808204.4,2563499.1,1778120.0,,,1304166.0,1282107.0,,-351255.0,95823.0,,-67090.1,-268667.0,,-379535.0,396289.4,1052955.8,-599225.6,1156069.1,370690.0,,,-103264.0,-125323.0,,True,,True,True,,False,False,False,False,False,False,,,True,True,
Colorado,87849,141435.0,116881.0,,146775.7,90802.0,,145511.0,193008.5,83884.4,93506.3,117869.2,111662.0,,,130146.4,109749.0,124027.1,53586.0,29032.0,,58926.7,2953.0,,57662.0,105159.5,-3964.6,5657.3,30020.2,23813.0,,,42297.4,21900.0,36178.1,True,,False,True,,False,False,True,True,True,True,,,True,True,True
Connecticut,76661,95230.0,114810.0,,101496.9,52271.0,,97853.0,117787.4,129925.8,94756.8,200934.8,84426.0,,,91885.1,71458.0,131016.1,18569.0,38149.0,,24835.9,-24390.0,,21192.0,41126.4,53264.8,18095.8,124273.8,7765.0,,,15224.1,-5203.0,54355.1,False,,False,False,,False,False,False,True,False,True,,,True,True,False
Delaware,24496,28900.0,29258.0,,27340.3,37626.0,,30912.0,39793.3,48601.0,21514.8,60016.3,33770.0,,,29573.1,26154.0,61273.2,4404.0,4762.0,,2844.3,13130.0,,6416.0,15297.3,24105.0,-2981.2,35520.3,9274.0,,,5077.1,1658.0,36777.2,False,,True,False,,False,False,False,True,False,False,,,False,True,False
District of Columbia,8894,8855.0,6457.0,,10546.8,7389.0,,10947.0,12764.8,17083.5,7336.5,16763.9,10125.5,,,8428.5,7635.0,17078.5,-39.0,-2437.0,,1652.8,-1505.0,,2053.0,3870.8,8189.5,-1557.5,7869.9,1231.5,,,-465.5,-1259.0,8184.5,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Florida,443213,336675.0,376644.0,,357773.5,569591.0,,369465.0,479516.4,329937.4,384026.7,548308.5,322679.0,,,365928.4,292363.0,,-106538.0,-66569.0,,-85439.5,126378.0,,-73748.0,36303.4,-113275.6,-59186.3,105095.5,-120534.0,,,-77284.6,-150850.0,,True,,True,False,,True,True,False,True,True,False,,,True,False,
