,mean_rank
COVIDhub-ensemble,8.2
USC-SI_kJalpha,10.2
LNQ-ens1,10.7
OneQuietNight-ML,11.4
Covid19Sim-Simulator,11.8
JHU_UNC_GAS-StatMechPool,12.0
Microsoft-DeepSTIA,12.0
RobertWalraven-ESG,12.3
LANL-GrowthRate,12.4
JHU_CSSE-DECOM,12.4
COVIDhub-baseline,12.7
CU-select,12.9
IowaStateLW-STEM,13.4
IEM_MED-CovidProject,13.9
UCLA-SuEIR,14.3
Karlen-pypm,14.6
JHU_IDD-CovidSP,14.7
DDS-NBDS,14.9
BPagano-RtDriven,15.6
JHUAPL-Bucky,16.5
CovidAnalytics-DELPHI,16.5
UMich-RidgeTfReg,16.9
UVA-Ensemble,17.1
TTU-squider,18.6
JCB-PRM,19.0
UCSB-ACTS,19.1
Wadhwani_AI-BayesOpt,19.8
Google_Harvard-CPF,22.0
