,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,21531,29692.0,28963.2,29206.4,30103.0,32094.0,,28195.1,23519.0,36009.5,30471.5,26097.3,,30690.3,32883.0,25379.6,30797.0,15781.6,27927.5,33888.1,25207.5,30185.4,29422.7,29084.0,31697.0,30132.0,,30757.8,,29510.0,,30741.9,31153.0,28296.0,33533.4,29127.0,34520.3,,8161.0,7432.2,7675.4,8572.0,10563.0,,6664.1,1988.0,14478.5,8940.5,4566.3,,9159.3,11352.0,3848.6,9266.0,-5749.4,6396.5,12357.1,3676.5,8654.4,7891.7,7553.0,10166.0,8601.0,,9226.8,,7979.0,,9210.9,9622.0,6765.0,12002.4,7596.0,12989.3,,True,True,False,False,,True,True,False,False,True,,False,False,True,False,True,True,False,True,False,True,True,False,False,,False,,True,,False,False,True,False,True,False,
Alaska,1695,2157.0,2878.6,1988.0,2160.0,1187.0,,2177.9,8712.0,2538.0,1810.9,2553.9,,2049.3,,5435.6,2458.0,1181.4,1817.5,1505.9,1724.5,2162.8,2283.6,2193.6,2457.0,2359.0,,2126.4,,1734.4,,2541.5,2058.1,2427.9,2739.7,1946.0,2358.6,,462.0,1183.6,293.0,465.0,-508.0,,482.9,7017.0,843.0,115.9,858.9,,354.3,,3740.6,763.0,-513.6,122.5,-189.1,29.5,467.8,588.6,498.6,762.0,664.0,,431.4,,39.4,,846.5,363.1,732.9,1044.7,251.0,663.6,,False,True,False,False,,False,False,False,True,False,,True,,False,False,False,True,True,True,False,False,False,False,False,,True,,True,,False,True,False,False,True,False,
Arizona,59556,68195.0,53320.7,66310.6,66029.0,96178.0,,62835.8,49159.0,89195.5,72909.9,75314.4,,81895.7,65418.0,81275.1,65109.0,37850.8,59697.0,65296.4,64858.5,69063.4,68427.5,59613.4,62539.0,68745.0,,72973.9,,57912.5,,65746.4,54963.7,54090.9,67021.1,60220.0,429994.0,,8639.0,-6235.3,6754.6,6473.0,36622.0,,3279.8,-10397.0,29639.5,13353.9,15758.4,,22339.7,5862.0,21719.1,5553.0,-21705.2,141.0,5740.4,5302.5,9507.4,8871.5,57.4,2983.0,9189.0,,13417.9,,-1643.5,,6190.4,-4592.3,-5465.1,7465.1,664.0,370438.0,,True,True,True,False,,True,False,False,False,False,,False,True,False,True,False,True,True,True,False,False,True,True,False,,False,,True,,True,True,True,True,True,False,
Arkansas,18432,20304.0,18525.4,20655.8,20396.0,20734.0,,20123.0,14725.0,27038.0,24048.0,21781.5,,23768.7,24051.0,24164.8,20631.0,9601.1,18948.0,18036.7,18991.5,24087.9,16852.9,22196.8,21268.0,19967.0,,24171.2,,11238.3,,20117.6,19530.3,19482.5,22676.9,19961.0,24846.8,,1872.0,93.4,2223.8,1964.0,2302.0,,1691.0,-3707.0,8606.0,5616.0,3349.5,,5336.7,5619.0,5732.8,2199.0,-8830.9,516.0,-395.3,559.5,5655.9,-1579.1,3764.8,2836.0,1535.0,,5739.2,,-7193.7,,1685.6,1098.3,1050.5,4244.9,1529.0,6414.8,,True,False,False,False,,True,False,False,False,False,,False,False,False,False,False,True,True,True,False,True,False,False,True,,False,,False,,True,True,True,False,True,False,
California,278666,286705.0,285398.2,289774.0,283648.0,357458.0,,283357.6,225315.0,440640.0,270763.8,279401.8,,308315.6,272178.0,249678.1,272891.0,179498.1,139033.0,289326.3,261416.5,305095.4,202706.5,255703.8,301802.0,281524.0,,298346.5,,345252.2,,283030.1,326884.4,250525.4,328550.1,299393.0,214023.4,,8039.0,6732.2,11108.0,4982.0,78792.0,,4691.6,-53351.0,161974.0,-7902.2,735.8,,29649.6,-6488.0,-28987.9,-5775.0,-99167.9,-139633.0,10660.3,-17249.5,26429.4,-75959.5,-22962.2,23136.0,2858.0,,19680.5,,66586.2,,4364.1,48218.4,-28140.6,49884.1,20727.0,-64642.6,,True,False,True,False,,True,False,False,True,True,,False,True,False,True,False,False,False,False,False,False,False,False,True,,False,,False,,True,False,False,False,False,False,
Colorado,14536,19775.0,20948.8,20253.6,18635.0,24244.0,,17291.3,6535.0,18970.8,21463.4,20289.5,,19108.3,18827.0,15444.6,21214.0,7521.9,17197.0,12984.4,19320.0,21239.2,11238.2,19258.1,18265.0,18201.0,,18443.7,,9507.4,,22338.1,12617.7,21243.5,19087.4,18276.0,17139.3,,5239.0,6412.8,5717.6,4099.0,9708.0,,2755.3,-8001.0,4434.8,6927.4,5753.5,,4572.3,4291.0,908.6,6678.0,-7014.1,2661.0,-1551.6,4784.0,6703.2,-3297.8,4722.1,3729.0,3665.0,,3907.7,,-5028.6,,7802.1,-1918.3,6707.5,4551.4,3740.0,2603.3,,False,False,True,False,,True,False,True,False,False,,True,True,True,False,False,True,True,True,False,True,True,True,True,,True,,True,,False,True,False,True,True,True,
Connecticut,17428,15874.0,16594.7,15474.4,15979.0,20792.0,,15380.0,9867.0,77174.5,24053.7,15831.0,,17595.0,17693.0,21649.3,18097.0,12842.5,13079.5,14598.4,13117.5,16084.7,14086.9,17228.6,16725.0,14083.0,,15081.6,,10446.8,,15835.7,17797.9,15369.5,18478.5,15625.0,17978.2,,-1554.0,-833.3,-1953.6,-1449.0,3364.0,,-2048.0,-7561.0,59746.5,6625.7,-1597.0,,167.0,265.0,4221.3,669.0,-4585.5,-4348.5,-2829.6,-4310.5,-1343.3,-3341.1,-199.4,-703.0,-3345.0,,-2346.4,,-6981.2,,-1592.3,369.9,-2058.5,1050.5,-1803.0,550.2,,True,False,True,False,,False,False,False,False,False,,True,True,False,True,False,False,False,False,True,False,True,True,False,,False,,False,,False,True,False,True,False,True,
Delaware,4897,5602.0,5753.6,5549.2,5571.0,6464.0,,5103.6,3570.0,5791.0,6549.7,6431.0,,5976.9,5179.0,4980.3,5637.0,2711.0,5013.5,4947.5,5471.0,6026.7,5437.6,6083.8,5466.0,5599.0,,6188.9,,6328.5,,5088.9,6002.9,5474.9,5601.3,5071.0,6331.9,,705.0,856.6,652.2,674.0,1567.0,,206.6,-1327.0,894.0,1652.7,1534.0,,1079.9,282.0,83.3,740.0,-2186.0,116.5,50.5,574.0,1129.7,540.6,1186.8,569.0,702.0,,1291.9,,1431.5,,191.9,1105.9,577.9,704.3,174.0,1434.9,,False,True,True,False,,True,False,False,False,False,,False,True,True,False,False,True,True,True,False,True,False,True,True,,False,,False,,True,False,True,True,True,False,
District of Columbia,2080,1948.0,1921.4,2026.9,1930.0,1994.0,,1759.1,1459.0,1872.6,2374.6,1961.0,,1999.9,1850.0,2105.9,2108.0,1588.6,1706.5,1897.7,1950.5,2285.0,,,1980.0,1792.0,,2187.6,,2578.9,,1871.9,1994.0,1900.9,,1870.0,3258.2,,-132.0,-158.6,-53.1,-150.0,-86.0,,-320.9,-621.0,-207.4,294.6,-119.0,,-80.1,-230.0,25.9,28.0,-491.4,-373.5,-182.3,-129.5,205.0,,,-100.0,-288.0,,107.6,,498.9,,-208.1,-86.0,-179.1,,-210.0,1178.2,,False,True,False,True,,False,False,False,False,True,,True,False,True,True,False,False,False,True,False,,,True,False,,True,,False,,False,True,False,,False,False,
Florida,95489,109864.0,97596.3,110633.4,110725.0,138620.0,,110725.4,226050.0,130566.9,130168.2,109426.9,,130439.8,104786.0,126125.4,,74383.5,95835.0,112258.7,103100.0,116303.0,88034.1,117927.7,112308.0,116451.0,,129281.9,,69698.2,,106708.9,105869.1,102743.3,129860.4,99061.0,123771.5,,14375.0,2107.3,15144.4,15236.0,43131.0,,15236.4,130561.0,35077.9,34679.2,13937.9,,34950.8,9297.0,30636.4,,-21105.5,346.0,16769.7,7611.0,20814.0,-7454.9,22438.7,16819.0,20962.0,,33792.9,,-25790.8,,11219.9,10380.1,7254.3,34371.4,3572.0,28282.5,,True,False,False,False,,False,False,False,False,True,,False,True,False,,False,True,False,True,False,True,False,False,False,,False,,False,,True,True,True,False,True,False,
Georgia,60811,63730.0,62559.1,63866.0,67258.0,69310.0,,63902.4,69686.0,73243.7,61623.1,62373.4,,77681.6,67734.0,64783.5,62748.0,33522.8,45361.5,72318.8,75914.0,76639.5,58011.3,68364.7,73811.0,69528.0,,71433.8,,42314.1,,62851.2,66781.8,63281.1,62017.0,66096.0,68288.1,,2919.0,1748.1,3055.0,6447.0,8499.0,,3091.4,8875.0,12432.7,812.1,1562.4,,16870.6,6923.0,3972.5,1937.0,-27288.2,-15449.5,11507.8,15103.0,15828.5,-2799.7,7553.7,13000.0,8717.0,,10622.8,,-18496.9,,2040.2,5970.8,2470.1,1206.0,5285.0,7477.1,,True,False,False,False,,False,False,False,True,True,,False,False,False,True,False,False,False,False,False,True,False,False,False,,False,,False,,True,False,True,True,False,False,
Hawaii,1066,1227.0,1022.2,1229.7,1247.0,1387.0,,1139.9,1037.0,1465.8,1460.7,1435.4,,1493.6,,1261.0,1299.0,2206.3,1188.5,1053.8,1281.0,1483.6,1081.3,1388.7,1366.0,1470.0,,1396.5,,929.3,,1113.6,1097.7,1492.5,1485.6,1237.0,1219.4,,161.0,-43.8,163.7,181.0,321.0,,73.9,-29.0,399.8,394.7,369.4,,427.6,,195.0,233.0,1140.3,122.5,-12.2,215.0,417.6,15.3,322.7,300.0,404.0,,330.5,,-136.7,,47.6,31.7,426.5,419.6,171.0,153.4,,True,False,False,False,,True,True,False,False,False,,False,,False,False,False,True,True,False,False,True,False,False,False,,False,,True,,True,True,False,False,False,True,
Idaho,6041,7036.0,8226.5,7106.8,6804.0,7284.0,,6149.1,4233.0,13289.9,5817.8,5857.5,,5771.9,6886.0,4799.9,7142.0,4337.6,6141.5,5708.4,5345.0,6936.2,5938.4,7054.9,6938.0,7019.0,,5543.0,,5529.1,,6721.4,6500.6,7345.1,8143.8,6370.0,9533.0,,995.0,2185.5,1065.8,763.0,1243.0,,108.1,-1808.0,7248.9,-223.2,-183.5,,-269.1,845.0,-1241.1,1101.0,-1703.4,100.5,-332.6,-696.0,895.2,-102.6,1013.9,897.0,978.0,,-498.0,,-511.9,,680.4,459.6,1304.1,2102.8,329.0,3492.0,,False,False,True,False,,True,False,False,True,True,,True,True,False,False,False,True,True,True,True,True,False,True,True,,True,,True,,True,True,False,False,True,False,
Illinois,40628,48687.0,51462.8,47202.8,46991.0,57265.0,,43779.5,11226.0,43446.1,46540.2,48184.1,,46583.2,47971.0,39923.6,45256.0,26386.2,40474.0,33488.1,45100.5,53159.4,31549.6,50413.6,46783.0,48011.0,,46779.5,,17934.6,,47399.4,38043.6,50662.9,54395.0,48708.0,48259.7,,8059.0,10834.8,6574.8,6363.0,16637.0,,3151.5,-29402.0,2818.1,5912.2,7556.1,,5955.2,7343.0,-704.4,4628.0,-14241.8,-154.0,-7139.9,4472.5,12531.4,-9078.4,9785.6,6155.0,7383.0,,6151.5,,-22693.4,,6771.4,-2584.4,10034.9,13767.0,8080.0,7631.7,,False,True,True,False,,True,False,True,True,True,,True,True,True,True,False,True,True,True,False,False,False,True,True,,True,,False,,True,True,False,False,False,True,
Indiana,28489,35470.0,39330.0,35351.2,35481.0,40461.0,,32933.8,19642.0,39386.4,42072.2,37356.2,,36673.5,35492.0,32208.1,37428.0,18683.7,32434.5,29645.4,34891.0,41656.2,27214.4,37722.8,36121.0,34553.0,,38776.8,,17152.6,,37696.3,31139.5,36169.4,40739.8,34546.0,47812.1,,6981.0,10841.0,6862.2,6992.0,11972.0,,4444.8,-8847.0,10897.4,13583.2,8867.2,,8184.5,7003.0,3719.1,8939.0,-9805.3,3945.5,1156.4,6402.0,13167.2,-1274.6,9233.8,7632.0,6064.0,,10287.8,,-11336.4,,9207.3,2650.5,7680.4,12250.8,6057.0,19323.1,,False,True,False,False,,True,False,False,False,False,,False,False,True,False,False,True,True,True,False,True,False,False,True,,False,,False,,False,True,False,False,True,False,
Iowa,8577,12276.0,11347.9,11834.4,11320.0,12422.0,,10656.7,35906.0,9558.1,15306.2,9818.3,,11093.5,11350.0,8501.9,13797.0,6688.6,7140.0,10606.1,10216.5,12555.3,9370.0,11717.8,11387.0,13799.0,,10247.0,,4042.8,,12908.6,8015.2,14776.8,13318.8,10347.0,11732.9,,3699.0,2770.9,3257.4,2743.0,3845.0,,2079.7,27329.0,981.1,6729.2,1241.3,,2516.5,2773.0,-75.1,5220.0,-1888.4,-1437.0,2029.1,1639.5,3978.3,793.0,3140.8,2810.0,5222.0,,1670.0,,-4534.2,,4331.6,-561.8,6199.8,4741.8,1770.0,3155.9,,True,True,True,False,,True,False,True,False,True,,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,,False,,False,True,False,False,True,True,
Kansas,13771,13334.0,16092.4,13198.5,13323.0,11641.0,,13223.7,30085.0,4392.6,14539.3,10907.1,,18707.6,16368.0,24382.1,13993.0,8451.4,9933.5,11547.8,389.0,12822.1,14105.1,14745.9,16461.0,12828.0,,13311.1,,5981.2,,12870.3,16097.0,15735.2,20037.6,13846.0,15991.2,,-437.0,2321.4,-572.5,-448.0,-2130.0,,-547.3,16314.0,-9378.4,768.3,-2863.9,,4936.6,2597.0,10611.1,222.0,-5319.6,-3837.5,-2223.2,-13382.0,-948.9,334.1,974.9,2690.0,-943.0,,-459.9,,-7789.8,,-900.7,2326.0,1964.2,6266.6,75.0,2220.2,,False,False,False,False,,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,True,False,False,False,,False,,False,,False,False,False,False,True,False,
