,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,153092,135576.0,160104.0,,116871.6,130092.0,,140549.0,165520.4,141690.0,66737.3,156908.0,,94527.9,115592.0,32124.9,-17516.0,7012.0,,-36220.4,-23000.0,,-12543.0,12428.4,-11402.0,-86354.7,3816.0,,-58564.1,-37500.0,-120967.1,True,,False,False,,True,True,True,False,True,,False,False,False
Alaska,15382,28962.0,22587.0,,32219.1,15083.0,,,43337.5,58815.4,14002.1,35571.0,,28108.9,22335.0,4913.3,13580.0,7205.0,,16837.1,-299.0,,,27955.5,43433.4,-1379.9,20189.0,,12726.9,6953.0,-10468.7,True,,False,True,,,False,False,True,False,,True,True,True
Arizona,308001,216756.0,231617.0,,225437.2,457521.0,,220272.0,331413.3,383298.4,194714.9,245741.0,,224241.6,151669.0,60611.5,-91245.0,-76384.0,,-82563.8,149520.0,,-87729.0,23412.3,75297.4,-113286.1,-62260.0,,-83759.4,-156332.0,-247389.5,True,,True,False,,True,True,True,False,True,,True,False,False
Arkansas,100796,86136.0,79785.0,,76285.6,86823.0,,98498.0,124260.4,71754.5,52441.3,84802.0,,104603.2,58654.0,12239.1,-14660.0,-21011.0,,-24510.4,-13973.0,,-2298.0,23464.4,-29041.5,-48354.7,-15994.0,,3807.2,-42142.0,-88556.9,False,,False,True,,True,False,False,False,False,,True,False,False
California,1626886,823902.0,1199395.0,,1070527.9,952833.0,,758081.0,1186454.0,1444740.8,893047.6,1298371.5,,958941.8,849018.0,,-802984.0,-427491.0,,-556358.1,-674053.0,,-868805.0,-440432.0,-182145.2,-733838.4,-328514.5,,-667944.2,-777868.0,,True,,True,True,,False,True,True,True,True,,True,True,
Colorado,116136,192384.0,182538.0,,208879.3,150051.0,,175217.0,274295.1,124125.7,114072.0,161764.5,,204144.0,113208.0,32411.8,76248.0,66402.0,,92743.3,33915.0,,59081.0,158159.1,7989.7,-2064.0,45628.5,,88008.0,-2928.0,-83724.2,True,,False,True,,True,False,True,True,True,,False,True,False
Connecticut,95707,90804.0,112229.0,,79596.9,55565.0,,80950.0,133278.6,87120.4,105422.0,68184.5,,97727.1,55495.0,13618.5,-4903.0,16522.0,,-16110.1,-40142.0,,-14757.0,37571.6,-8586.6,9715.0,-27522.5,,2020.1,-40212.0,-82088.5,False,,False,False,,False,False,False,False,False,,True,False,False
Delaware,30276,26556.0,33907.0,,29024.6,41292.0,,25554.0,43268.5,42881.3,23294.3,33600.5,,29170.6,24588.0,10629.0,-3720.0,3631.0,,-1251.4,11016.0,,-4722.0,12992.5,12605.3,-6981.7,3324.5,,-1105.4,-5688.0,-19647.0,True,,True,False,,False,False,False,False,True,,True,False,False
District of Columbia,10665,9384.0,13078.0,,9239.2,9164.0,,11414.0,17805.4,9703.6,11043.3,12374.5,,8449.4,8055.0,2230.9,-1281.0,2413.0,,-1425.8,-1501.0,,749.0,7140.4,-961.4,378.3,1709.5,,-2215.6,-2610.0,-8434.1,False,,False,False,,True,False,True,True,False,,False,False,False
Florida,510548,386046.0,411233.0,,367441.5,745456.0,,320285.0,636118.2,365890.1,376209.8,402875.5,,470875.8,308154.0,,-124502.0,-99315.0,,-143106.5,234908.0,,-190263.0,125570.2,-144657.9,-134338.2,-107672.5,,-39672.2,-202394.0,,True,,False,False,,False,False,False,False,True,,True,False,
