,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,1582666.0,1565554,17112.0,1.1%
Karlen-pypm,1583324.0,1565554,17770.0,1.1%
IowaStateLW-STEM,1611518.0,1565554,45964.0,2.9%
Covid19Sim-Simulator,1617509.6,1565554,51955.6,3.3%
Columbia_UNC-SurvCon,1618643.0,1565554,53089.0,3.4%
UChicagoCHATTOPADHYAY-UnIT,1628673.0,1565554,63119.0,4.0%
USC-SI_kJalpha,1635827.0,1565554,70273.0,4.5%
BPagano-RtDriven,1639850.6,1565554,74296.6,4.7%
RobertWalraven-ESG,1644836.4,1565554,79282.4,5.1%
QJHong-Encounter,1661774.0,1565554,96220.0,6.1%
CEID-Walk,1696807.2,1565554,131253.2,8.4%
COVIDhub-ensemble,1700701.0,1565554,135147.0,8.6%
COVIDhub-baseline,1706100.0,1565554,140546.0,9.0%
MOBS-GLEAM_COVID,1419668.9,1565554,-145885.1,-9.3%
Microsoft-DeepSTIA,1713096.1,1565554,147542.1,9.4%
JHUAPL-Bucky,1715114.6,1565554,149560.6,9.6%
OliverWyman-Navigator,1721637.0,1565554,156083.0,10.0%
CovidAnalytics-DELPHI,1407876.0,1565554,-157678.0,-10.1%
Geneva-DetGrowth,1729008.1,1565554,163454.1,10.4%
TTU-squider,1383974.1,1565554,-181579.9,-11.6%
OneQuietNight-ML,1755244.0,1565554,189690.0,12.1%
UCLA-SuEIR,1796167.3,1565554,230613.3,14.7%
UCF-AEM,1801148.0,1565554,235594.0,15.0%
LNQ-ens1,1823497.4,1565554,257943.4,16.5%
IEM_MED-CovidProject,1842396.0,1565554,276842.0,17.7%
SigSci-TS,1866085.0,1565554,300531.0,19.2%
UMich-RidgeTfReg,1975283.6,1565554,409729.6,26.2%
CU-select,1983725.0,1565554,418171.0,26.7%
IBF-TimeSeries,2005093.0,1565554,439539.0,28.1%
JHU_IDD-CovidSP,1023668.2,1565554,-541885.8,-34.6%
UpstateSU-GRU,983006.6,1565554,-582547.4,-37.2%
DDS-NBDS,2155751.1,1565554,590197.1,37.7%
UVA-Ensemble,2220423.7,1565554,654869.7,41.8%
Google_Harvard-CPF,,1565554,,
JHU_CSSE-DECOM,,1565554,,
JHU_UNC_GAS-StatMechPool,,1565554,,
UCSB-ACTS,,1565554,,
