,mean_rank
CEID-Walk,9.7
Microsoft-DeepSTIA,9.9
COVIDhub-baseline,10.1
JHUAPL-Bucky,10.5
UVA-Ensemble,11.0
OliverWyman-Navigator,11.8
BPagano-RtDriven,12.3
COVIDhub-ensemble,12.8
IowaStateLW-STEM,13.0
CU-select,13.3
JHU_CSSE-DECOM,13.4
LNQ-ens1,13.5
OneQuietNight-ML,14.4
USC-SI_kJalpha,14.4
UChicagoCHATTOPADHYAY-UnIT,14.5
UMich-RidgeTfReg,15.2
UCSB-ACTS,15.3
UCLA-SuEIR,15.3
Covid19Sim-Simulator,15.4
Google_Harvard-CPF,15.6
IEM_MED-CovidProject,16.9
Karlen-pypm,17.0
RobertWalraven-ESG,17.5
LANL-GrowthRate,18.0
DDS-NBDS,18.6
TTU-squider,20.8
CovidAnalytics-DELPHI,21.8
JHU_UNC_GAS-StatMechPool,23.6
Wadhwani_AI-BayesOpt,24.5
JHU_IDD-CovidSP,25.2
