,predicted_cases,actual_cases,error,perc_error
OneQuietNight-ML,11614041.0,10466221,1147820.0,11.0%
JHUAPL-Bucky,11714662.3,10466221,1248441.3,11.9%
UCF-AEM,8408930.0,10466221,-2057291.0,-19.7%
IowaStateLW-STEM,8220830.0,10466221,-2245391.0,-21.5%
IBF-TimeSeries,7985084.0,10466221,-2481137.0,-23.7%
COVIDhub-baseline,7982695.0,10466221,-2483526.0,-23.7%
Covid19Sim-Simulator,7976171.6,10466221,-2490049.4,-23.8%
JCB-PRM,13947220.2,10466221,3480999.2,33.3%
UCLA-SuEIR,6575421.6,10466221,-3890799.4,-37.2%
Columbia_UNC-SurvCon,4431759.0,10466221,-6034462.0,-57.7%
USC-SI_kJalpha,4238807.0,10466221,-6227414.0,-59.5%
USACE-ERDC_SEIR,3645505.5,10466221,-6820715.5,-65.2%
