,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,2419,966.0,,,,957.0,,518.3,1754.0,,1124.0,,,-1453.0,,,,-1462.0,,-1900.7,-665.0,,-1295.0,,,,,,False,,False,True,,True,,
01003,7443,4214.0,,,,2561.0,,8671.5,7221.0,,3515.1,,,-3229.0,,,,-4882.0,,1228.5,-222.0,,-3927.9,,,,,,False,,True,True,,False,,
01005,550,112.0,,,,364.0,,135.0,316.0,,,,,-438.0,,,,-186.0,,-415.0,-234.0,,,,,,,,True,,True,True,,,,
01007,965,1001.0,,,,471.0,,4347.5,1037.0,,,,,36.0,,,,-494.0,,3382.5,72.0,,,,,,,,False,,False,False,,,,
01009,2370,1309.0,,,,1362.0,,684.7,2139.0,,1455.4,,,-1061.0,,,,-1008.0,,-1685.3,-231.0,,-914.6,,,,,,True,,False,True,,True,,
01011,293,56.0,,,,135.0,,50.4,221.0,,,,,-237.0,,,,-158.0,,-242.6,-72.0,,,,,,,,True,,False,True,,,,
01013,529,231.0,,,,257.0,,447.1,468.0,,,,,-298.0,,,,-272.0,,-81.9,-61.0,,,,,,,,True,,True,True,,,,
01015,4777,2639.0,,,,2506.0,,1229.9,4090.0,,2455.9,,,-2138.0,,,,-2271.0,,-3547.1,-687.0,,-2321.1,,,,,,False,,False,True,,False,,
01017,1050,693.0,,,,521.0,,1332.0,859.0,,,,,-357.0,,,,-529.0,,282.0,-191.0,,,,,,,,False,,True,True,,,,
01019,578,301.0,,,,544.0,,509.2,711.0,,,,,-277.0,,,,-34.0,,-68.8,133.0,,,,,,,,True,,True,True,,,,
01021,1119,630.0,,,,809.0,,786.6,1428.0,,431.3,,,-489.0,,,,-310.0,,-332.4,309.0,,-687.7,,,,,,True,,True,True,,False,,
01023,91,42.0,,,,194.0,,31.0,324.0,,,,,-49.0,,,,103.0,,-60.0,233.0,,,,,,,,False,,False,False,,,,
01025,1212,259.0,,,,393.0,,132.6,783.0,,,,,-953.0,,,,-819.0,,-1079.4,-429.0,,,,,,,,True,,False,True,,,,
01027,344,252.0,,,,247.0,,279.1,432.0,,,,,-92.0,,,,-97.0,,-64.9,88.0,,,,,,,,False,,True,True,,,,
01029,401,224.0,,,,286.0,,847.8,437.0,,,,,-177.0,,,,-115.0,,446.8,36.0,,,,,,,,True,,False,True,,,,
01031,1927,1211.0,,,,762.0,,497.3,1901.0,,928.6,,,-716.0,,,,-1165.0,,-1429.7,-26.0,,-998.4,,,,,,False,,False,True,,False,,
01033,2179,1372.0,,,,1527.0,,370.5,2185.0,,620.0,,,-807.0,,,,-652.0,,-1808.5,6.0,,-1559.0,,,,,,True,,False,True,,False,,
01035,260,112.0,,,,168.0,,52.7,324.0,,,,,-148.0,,,,-92.0,,-207.3,64.0,,,,,,,,True,,False,True,,,,
01037,261,280.0,,,,143.0,,1091.7,356.0,,,,,19.0,,,,-118.0,,830.7,95.0,,,,,,,,False,,False,False,,,,
01039,1083,511.0,,,,592.0,,492.5,1121.0,,334.2,,,-572.0,,,,-491.0,,-590.5,38.0,,-748.8,,,,,,True,,False,True,,False,,
01041,475,77.0,,,,191.0,,51.6,448.0,,,,,-398.0,,,,-284.0,,-423.4,-27.0,,,,,,,,True,,False,True,,,,
01043,3605,2303.0,,,,2372.0,,849.0,3337.0,,2403.6,,,-1302.0,,,,-1233.0,,-2756.0,-268.0,,-1201.4,,,,,,True,,False,True,,True,,
01045,1617,588.0,,,,774.0,,112.8,1181.0,,417.4,,,-1029.0,,,,-843.0,,-1504.2,-436.0,,-1199.6,,,,,,True,,False,True,,False,,
01047,773,518.0,,,,542.0,,2981.4,974.0,,212.7,,,-255.0,,,,-231.0,,2208.4,201.0,,-560.3,,,,,,True,,False,True,,False,,
01049,2816,1946.0,,,,1859.0,,3357.7,2874.0,,1708.6,,,-870.0,,,,-957.0,,541.7,58.0,,-1107.4,,,,,,False,,True,True,,False,,
01051,3715,1281.0,,,,1141.0,,2350.5,2658.0,,1274.1,,,-2434.0,,,,-2574.0,,-1364.5,-1057.0,,-2440.9,,,,,,False,,True,True,,False,,
01053,1178,301.0,,,,611.0,,643.8,742.0,,,,,-877.0,,,,-567.0,,-534.2,-436.0,,,,,,,,True,,True,True,,,,
01055,5411,3332.0,,,,2409.0,,3364.8,4423.0,,5098.2,,,-2079.0,,,,-3002.0,,-2046.2,-988.0,,-312.8,,,,,,False,,True,True,,True,,
01057,755,686.0,,,,413.0,,1143.2,710.0,,,,,-69.0,,,,-342.0,,388.2,-45.0,,,,,,,,False,,False,True,,,,
01059,1126,742.0,,,,990.0,,631.6,1178.0,,627.6,,,-384.0,,,,-136.0,,-494.4,52.0,,-498.4,,,,,,True,,False,True,,False,,
01061,774,462.0,,,,444.0,,259.3,771.0,,,,,-312.0,,,,-330.0,,-514.7,-3.0,,,,,,,,False,,False,True,,,,
01063,331,210.0,,,,103.0,,849.2,232.0,,,,,-121.0,,,,-228.0,,518.2,-99.0,,,,,,,,False,,False,True,,,,
01065,789,420.0,,,,235.0,,342.7,487.0,,,,,-369.0,,,,-554.0,,-446.3,-302.0,,,,,,,,False,,False,True,,,,
01067,673,126.0,,,,259.0,,53.5,497.0,,,,,-547.0,,,,-414.0,,-619.5,-176.0,,,,,,,,True,,False,True,,,,
01069,3300,1827.0,,,,1489.0,,1990.7,3284.0,,1715.1,,,-1473.0,,,,-1811.0,,-1309.3,-16.0,,-1584.9,,,,,,False,,True,True,,False,,
01071,2584,2233.0,,,,1347.0,,1164.3,2773.0,,1677.6,,,-351.0,,,,-1237.0,,-1419.7,189.0,,-906.4,,,,,,False,,False,True,,False,,
01073,29441,16009.0,,,,12338.0,,22473.5,23890.0,,19964.1,,,-13432.0,,,,-17103.0,,-6967.5,-5551.0,,-9476.9,,,,,,False,,True,True,,True,,
01075,498,490.0,,,,334.0,,379.5,561.0,,,,,-8.0,,,,-164.0,,-118.5,63.0,,,,,,,,False,,False,False,,,,
01077,3459,2562.0,,,,2605.0,,3503.2,3957.0,,2849.3,,,-897.0,,,,-854.0,,44.2,498.0,,-609.7,,,,,,True,,True,True,,True,,
01079,1146,546.0,,,,952.0,,3533.0,1190.0,,,,,-600.0,,,,-194.0,,2387.0,44.0,,,,,,,,True,,False,True,,,,
01081,4636,1953.0,,,,2234.0,,1492.0,4126.0,,945.8,,,-2683.0,,,,-2402.0,,-3144.0,-510.0,,-3690.2,,,,,,True,,False,True,,False,,
01083,3711,1967.0,,,,2148.0,,2486.7,3332.0,,1477.2,,,-1744.0,,,,-1563.0,,-1224.3,-379.0,,-2233.8,,,,,,True,,True,True,,False,,
01085,297,119.0,,,,94.0,,179.6,185.0,,,,,-178.0,,,,-203.0,,-117.4,-112.0,,,,,,,,False,,True,True,,,,
01087,406,343.0,,,,176.0,,225.8,466.0,,,,,-63.0,,,,-230.0,,-180.2,60.0,,,,,,,,False,,False,True,,,,
01089,13629,7917.0,,,,6691.0,,5925.6,11179.0,,9429.5,,,-5712.0,,,,-6938.0,,-7703.4,-2450.0,,-4199.5,,,,,,False,,False,True,,True,,
01091,763,378.0,,,,321.0,,143.3,624.0,,,,,-385.0,,,,-442.0,,-619.7,-139.0,,,,,,,,False,,False,True,,,,
01093,1044,504.0,,,,811.0,,190.6,973.0,,,,,-540.0,,,,-233.0,,-853.4,-71.0,,,,,,,,True,,False,True,,,,
01095,3886,3934.0,,,,2520.0,,3561.5,4908.0,,1719.9,,,48.0,,,,-1366.0,,-324.5,1022.0,,-2166.1,,,,,,False,,False,False,,False,,
01097,10199,4690.0,,,,5538.0,,3469.9,9856.0,,4044.0,,,-5509.0,,,,-4661.0,,-6729.1,-343.0,,-6155.0,,,,,,True,,False,True,,False,,
01099,661,168.0,,,,306.0,,242.7,604.0,,,,,-493.0,,,,-355.0,,-418.3,-57.0,,,,,,,,True,,True,True,,,,
01101,6534,2730.0,,,,2837.0,,1103.7,5675.0,,2406.4,,,-3804.0,,,,-3697.0,,-5430.3,-859.0,,-4127.6,,,,,,True,,False,True,,False,,
01103,5549,4165.0,,,,3049.0,,6787.9,5193.0,,4814.7,,,-1384.0,,,,-2500.0,,1238.9,-356.0,,-734.3,,,,,,False,,True,True,,True,,
01105,285,154.0,,,,121.0,,306.2,254.0,,,,,-131.0,,,,-164.0,,21.2,-31.0,,,,,,,,False,,True,True,,,,
01107,728,714.0,,,,383.0,,428.1,706.0,,,,,-14.0,,,,-345.0,,-299.9,-22.0,,,,,,,,False,,False,False,,,,
01109,890,385.0,,,,485.0,,127.3,686.0,,,,,-505.0,,,,-405.0,,-762.7,-204.0,,,,,,,,True,,False,True,,,,
01111,359,273.0,,,,389.0,,126.7,654.0,,,,,-86.0,,,,30.0,,-232.3,295.0,,,,,,,,True,,False,False,,,,
01113,1053,427.0,,,,881.0,,8831.5,931.0,,267.2,,,-626.0,,,,-172.0,,7778.5,-122.0,,-785.8,,,,,,True,,False,True,,False,,
01115,3307,1855.0,,,,1637.0,,928.1,3263.0,,1957.6,,,-1452.0,,,,-1670.0,,-2378.9,-44.0,,-1349.4,,,,,,False,,False,True,,True,,
01117,8106,4802.0,,,,3455.0,,3075.3,8126.0,,4975.8,,,-3304.0,,,,-4651.0,,-5030.7,20.0,,-3130.2,,,,,,False,,False,True,,True,,
01119,312,203.0,,,,150.0,,116.0,323.0,,,,,-109.0,,,,-162.0,,-196.0,11.0,,,,,,,,False,,False,True,,,,
01121,2631,1372.0,,,,1478.0,,814.9,2407.0,,1487.9,,,-1259.0,,,,-1153.0,,-1816.1,-224.0,,-1143.1,,,,,,True,,False,True,,True,,
01123,851,574.0,,,,571.0,,206.2,1193.0,,,,,-277.0,,,,-280.0,,-644.8,342.0,,,,,,,,False,,False,False,,,,
