,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1155,903.0,,955.8,,877.0,722.0,,,,,830.1,571.9,,,906.0,,1342.5,,632.5,796.0,,1460.5,708.0,,,1262.0,937.0,505.1,,,,,870.9,,,,917.1,-252.0,,-199.2,,-278.0,-433.0,,,,,-324.9,-583.1,,,-249.0,,187.5,,-522.5,-359.0,,305.5,-447.0,,,107.0,-218.0,-649.9,,,,,-284.1,,,,-237.9,,True,,False,False,,,,,False,False,,,True,,True,,False,False,,False,False,,,True,True,False,,,,,False,,,,True
01003,3468,2958.0,,2959.9,,2691.0,2436.0,,,,,2582.5,2239.2,,,2528.0,,2651.9,,2112.9,2713.5,,3706.0,2423.8,,,3925.0,2974.0,3133.5,,,,,1870.5,1875.0,,,3838.3,-510.0,,-508.1,,-777.0,-1032.0,,,,,-885.5,-1228.8,,,-940.0,,-816.1,,-1355.1,-754.5,,238.0,-1044.2,,,457.0,-494.0,-334.5,,,,,-1597.5,-1593.0,,,370.3,,True,,False,False,,,,,False,False,,,False,,False,,False,False,,True,False,,,True,True,True,,,,,False,False,,,True
01005,325,204.0,,197.1,,221.0,219.0,,,,,263.9,154.0,,,321.0,,272.2,,120.9,,,414.0,172.5,,,267.0,228.0,218.6,,,,,,,,,236.7,-121.0,,-127.9,,-104.0,-106.0,,,,,-61.1,-171.0,,,-4.0,,-52.8,,-204.1,,,89.0,-152.5,,,-58.0,-97.0,-106.4,,,,,,,,,-88.3,,False,,True,True,,,,,True,False,,,True,,True,,False,,,True,False,,,True,True,True,,,,,,,,,True
01007,405,414.0,,398.1,,392.0,299.0,,,,,357.2,308.7,,,351.0,,538.2,,258.3,,,755.0,312.1,,,527.0,400.0,349.9,,,,,,,,,687.2,9.0,,-6.9,,-13.0,-106.0,,,,,-47.8,-96.3,,,-54.0,,133.2,,-146.7,,,350.0,-92.9,,,122.0,-5.0,-55.1,,,,,,,,,282.2,,True,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,,,False,True,False,,,,,,,,,False
01009,846,765.0,,742.6,,807.0,555.0,,,,,895.0,568.9,,,1083.0,,946.1,,576.9,694.5,,1231.5,543.1,,,1055.0,881.0,847.4,,,,,801.9,,,,885.5,-81.0,,-103.4,,-39.0,-291.0,,,,,49.0,-277.1,,,237.0,,100.1,,-269.1,-151.5,,385.5,-302.9,,,209.0,35.0,1.4,,,,,-44.1,,,,39.5,,False,,True,False,,,,,True,False,,,False,,False,,False,False,,False,False,,,False,True,True,,,,,True,,,,True
01011,163,219.0,,210.5,,115.0,3.0,,,,,138.0,347.1,,,117.0,,88.5,,97.8,,,67.0,122.5,,,285.0,168.0,123.6,,,,,,,,,115.2,56.0,,47.5,,-48.0,-160.0,,,,,-25.0,184.1,,,-46.0,,-74.5,,-65.2,,,-96.0,-40.5,,,122.0,5.0,-39.4,,,,,,,,,-47.8,,True,,True,False,,,,,True,False,,,True,,False,,False,,,False,True,,,False,True,True,,,,,,,,,True
01013,238,159.0,,167.8,,172.0,15.0,,,,,272.5,138.1,,,230.0,,161.9,,158.8,,,247.0,142.8,,,227.0,208.0,230.7,,,,,,,,,133.8,-79.0,,-70.2,,-66.0,-223.0,,,,,34.5,-99.9,,,-8.0,,-76.1,,-79.2,,,9.0,-95.2,,,-11.0,-30.0,-7.3,,,,,,,,,-104.2,,True,,True,False,,,,,True,False,,,True,,True,,False,,,True,False,,,True,True,True,,,,,,,,,False
01015,1880,1812.0,,1674.4,,1702.0,1253.0,,,,,1788.2,1388.8,,,2161.0,,1776.2,,1128.7,1381.5,,2352.5,1239.8,,,2403.0,1788.0,2131.9,,,,,1218.1,,,,17.1,-68.0,,-205.6,,-178.0,-627.0,,,,,-91.8,-491.2,,,281.0,,-103.8,,-751.3,-498.5,,472.5,-640.2,,,523.0,-92.0,251.9,,,,,-661.9,,,,-1862.9,,False,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,,,False,False,False,,,,,False,,,,False
01017,615,261.0,,271.0,,272.0,258.0,,,,,369.8,231.5,,,475.0,,186.0,,200.8,322.5,,296.0,223.8,,,304.0,342.0,300.2,,,,,257.4,,,,232.3,-354.0,,-344.0,,-343.0,-357.0,,,,,-245.2,-383.5,,,-140.0,,-429.0,,-414.2,-292.5,,-319.0,-391.2,,,-311.0,-273.0,-314.8,,,,,-357.6,,,,-382.7,,True,,True,False,,,,,True,False,,,True,,False,,False,True,,True,False,,,True,True,True,,,,,False,,,,False
01019,232,270.0,,263.1,,270.0,262.0,,,,,257.3,230.4,,,438.0,,273.3,,185.9,,,367.0,197.0,,,343.0,325.0,312.3,,,,,,,,,216.8,38.0,,31.1,,38.0,30.0,,,,,25.3,-1.6,,,206.0,,41.3,,-46.1,,,135.0,-35.0,,,111.0,93.0,80.3,,,,,,,,,-15.2,,True,,False,True,,,,,True,True,,,False,,False,,False,,,False,True,,,False,False,False,,,,,,,,,True
